Unnamed: 0,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Sep 2023
Equity Capital,39,39,39,39,42,42,42,42,42,42,42,43,44
Reserves,859,863,796,789,879,1036,1414,1639,1610,1666,1762,2069,2438
Borrowings +,1083,1242,1326,1089,858,754,660,476,505,724,582,838,1031
Other Liabilities +,214,234,296,296,255,264,296,633,300,266,998,657,636
Total Liabilities,2195,2378,2456,2212,2034,2096,2413,2790,2457,2698,3383,3607,4149
Fixed Assets +,785,849,1139,1148,1101,1103,1099,1097,1389,1380,1480,1452,1479
CWIP,272,316,56,10,27,9,18,126,158,160,77,94,66
Investments,271,157,248,103,133,167,353,232,47,66,113,132,272
Other Assets +,866,1056,1013,951,773,817,943,1336,863,1092,1713,1929,2331
Total Assets,2195,2378,2456,2212,2034,2096,2413,2790,2457,2698,3383,3607,4149
