Stock Symbol,Close Price,SMA 25,SMA 44,SMA 200,EMA 44,EMA 200,SMA Crossover Percentage,EMA Crossover Percentage,Close vs SMA,Declined Percentage,Positive Incline Percentage
ADANIPOWER.NS,533.7999877929688,545.5959985351562,551.1818181818181,408.5577502441406,538.7122845998072,432.1851348885168,34.90915735962666%,24.648499245298957%,Negative,3.1535565607346725%,-3.1535565607346725%
ATGL.NS,926.5499877929688,985.446005859375,997.1068212335759,777.3721423339844,975.6498079713616,858.3952052044822,28.26634335517344%,13.659745773969892%,Negative,7.07615592813992%,-7.07615592813992%
APOLLOHOSP.NS,6356.7998046875,6260.47998046875,6327.3100474964485,5456.393017578125,6193.988858892122,5540.923854806829,15.961405769573553%,11.786211491044952%,Positive,-0.4660709996773399%,0.4660709996773399%
BAJAJFINSV.NS,1643.8499755859375,1590.57201171875,1594.6988719593394,1588.8073699951171,1599.5096650348012,1564.3979627567564,0.37081285469114794%,2.244422654205677%,Positive,-3.082155790717292%,3.082155790717292%
BRITANNIA.NS,4911.25,4897.016015625,4961.157958984375,4836.925251464843,4935.924435742235,4807.900393157892,2.5684231419931147%,2.6627848356953003%,Negative,1.0059739963327419%,-1.0059739963327419%
HEROMOTOCO.NS,4722.2998046875,4566.14197265625,4617.516135475852,3560.7066845703125,4517.445520326329,3727.620368085296,29.679767094690355%,21.188454677500566%,Positive,-2.2692648198152887%,2.2692648198152887%
HINDALCO.NS,560.25,527.5260021972656,540.7852304632014,496.20216583251954,538.6922462606241,503.88684805638513,8.984858934640311%,6.90738373872862%,Positive,-3.5993530222943306%,3.5993530222943306%
IOC.NS,167.75,169.64800048828124,170.21931769631126,114.09163585662841,163.54750427821608,124.10653302643689,49.19526433139663%,31.779931555559255%,Negative,1.450668308233253%,-1.450668308233253%
INFY.NS,1498.050048828125,1607.3779931640624,1638.9545371315696,1468.8622015380859,1599.0264363954307,1501.9053802509281,11.579870148157902%,6.466522952882438%,Negative,8.597217623256945%,-8.597217623256945%
JSWSTEEL.NS,830.2000122070312,813.642001953125,814.8068209561435,798.777593383789,814.9081646755927,790.893537448185,2.0067197308892055%,3.0363918897214393%,Positive,-1.8891829148931834%,1.8891829148931834%
LICI.NS,916.1500244140625,974.686005859375,984.8957880193537,740.9968014526368,943.3047536533414,780.5350196674233,32.914985069919574%,20.85361064968903%,Negative,6.980003817819186%,-6.980003817819186%
PFC.NS,390.25,398.8541625976562,413.61492295698685,290.6585771942139,398.33923775369465,310.9460569752247,42.30267241713473%,28.1055761338801%,Negative,5.648955504300467%,-5.648955504300467%
RECLTD.NS,451.0,450.258603515625,463.1590687144886,315.82526382446287,447.68621289826604,340.2318601524841,46.650417736028416%,31.582683849073796%,Negative,2.6252468181690736%,-2.6252468181690736%
SHREECEM.NS,25682.849609375,25524.4640625,26414.858132102272,25892.60197265625,26052.446233677972,26182.3236998384,2.017009182767905%,-0.4960501888578779%,Negative,2.771199902215844%,-2.771199902215844%
TECHM.NS,1248.0999755859375,1280.37400390625,1298.8977328213778,1213.971683959961,1282.488642636342,1220.5132704406974,6.9957190916009715%,5.0778122365901766%,Negative,3.91083577650881%,-3.91083577650881%
ULTRACEMCO.NS,9749.150390625,9752.690078125,9853.492054332386,8950.404609375,9753.364090448122,9093.098792837009,10.089906371511484%,7.261169296117513%,Negative,1.0589308149034238%,-1.0589308149034238%
VEDL.NS,271.6499938964844,270.1439990234375,270.74772574684835,247.45930641174317,267.8621073294419,251.3254014423504,9.411009702078443%,6.579798855264042%,Positive,-0.33325049994313094%,0.33325049994313094%
