Stock Symbol,Close Price,SMA 25,SMA 44,SMA 200,EMA 44,EMA 200,SMA Crossover Percentage,EMA Crossover Percentage,Close vs SMA,Declined Percentage,Positive Incline Percentage,52 Week High,52 Week Low
3MINDIA.NS,30348.44921875,30537.21390625,31149.76824396307,30688.664755859376,31077.673022363153,30163.83151019431,1.5025205292310921%,3.029593610679051%,Negative,2.572471868609707%,-2.572471868609707%,,
ACC.NS,2575.10009765625,2546.396005859375,2575.1022782759233,2128.8820751953126,2514.190768608643,2201.2703555881126,20.96030626964965%,14.215446649983503%,Negative,8.468089565413602e-05%,-8.468089565413602e-05%,,
AIAENG.NS,3995.64990234375,3762.249990234375,3858.2499944513493,3611.555910644531,3811.455513204714,3585.270408526773,6.830687103021815%,6.308732087264879%,Positive,-3.5611976437503827%,3.5611976437503827%,,
AARTIIND.NS,696.4500122070312,659.047998046875,663.4897696755149,551.6667837524415,656.491928176059,584.2966873412461,20.270023357660346%,12.355921640310246%,Positive,-4.96770923048833%,4.96770923048833%,,
ABBOTINDIA.NS,26636.900390625,27518.04203125,27985.33416193182,24365.787373046875,27214.875549147466,24933.37047765695,14.85503724328171%,9.150407777941597%,Negative,4.818358657089331%,-4.818358657089331%,,
ADANIENT.NS,3224.800048828125,3175.033994140625,3193.8056862571025,2687.7822473144533,3140.3386976643424,2729.116265185457,18.826801890229454%,15.067970453466216%,Positive,-0.9704523573362899%,0.9704523573362899%,,
ADANIPOWER.NS,626.7000122070312,555.0459985351563,557.5625,416.88725036621094,552.9551856008808,441.03018976870857,33.74419570524503%,25.378080328439545%,Positive,-12.399957351333931%,12.399957351333931%,,
ATGL.NS,979.0,973.1440014648438,992.6420496160334,785.0361032104493,975.9701146935788,869.4305726460698,26.445401116785327%,12.253944754123507%,Negative,1.3743171187751264%,-1.3743171187751264%,,
ABCAPITAL.NS,204.8000030517578,182.65000061035155,182.83409188010475,179.15875022888184,182.22906715351752,176.28707431573818,2.051444122337047%,3.3706344386525804%,Positive,-12.014122172607406%,12.014122172607406%,,
ABFRL.NS,237.35000610351562,217.64,227.44318077780983,222.49124992370605,223.3029169097933,223.6961689373743,2.22567442800642%,-0.1757973904734503%,Positive,-4.355736360978795%,4.355736360978795%,,
AJANTPHARM.NS,2181.60009765625,2147.878017578125,2150.717296253551,1848.485343017578,2144.9088408897505,1882.9893771473673,16.350248833598616%,13.909768526638095%,Positive,-1.4359303036477822%,1.4359303036477822%,,
APLLTD.NS,1008.5499877929688,984.1439965820313,993.3749958385121,807.6821514892578,969.5797084615236,820.2810953128687,22.99083172840474%,18.20090868871115%,Positive,-1.5276196821973973%,1.5276196821973973%,,
ALKEM.NS,4912.64990234375,4992.20197265625,5080.8277365944605,4272.2428369140625,4998.2511498814565,4435.300884929272,18.92647329627117%,12.692493239072816%,Negative,3.3100479482785112%,-3.3100479482785112%,,
ALLCARGO.NS,77.5999984741211,74.75799896240234,76.61818140203303,72.59831237792969,75.39922164705771,75.25191801417377,5.537138388530098%,0.19574734674032124%,Positive,-1.2814413682520671%,1.2814413682520671%,,
ALOKINDS.NS,28.700000762939453,27.95599998474121,28.698863462968305,22.069749970436096,28.16453812931122,23.179792228855533,30.037102828135115%,21.50470483618223%,Positive,-0.003962874601692253%,0.003962874601692253%,,
AMBER.NS,3750.800048828125,3588.447998046875,3789.6102239435368,3105.62974609375,3661.4439737082776,3176.1265011205996,22.023889960163316%,15.280168230593095%,Negative,1.0241204984671273%,-1.0241204984671273%,,
ANGELONE.NS,2977.89990234375,2778.227978515625,2963.2761396928267,2465.0695660400393,2930.921136229971,2548.234653957605,20.210649651284335%,15.017709679052688%,Positive,-0.4934998279451322%,0.4934998279451322%,,
APOLLOHOSP.NS,6397.75,6203.7759765625,6344.2186279296875,5493.4060571289065,6239.37568198937,5583.978177451468,15.487887877806958%,11.737107196880665%,Positive,-0.8437819566092322%,0.8437819566092322%,,
