Stock Symbol,Close Price,SMA 25,SMA 44,SMA 200,EMA 44,EMA 200,SMA Crossover Percentage,EMA Crossover Percentage,Close vs SMA,Declined Percentage,Positive Incline Percentage,52 Week High,52 Week Low
3MINDIA.NS,30050.0,30462.211953125,30964.048872514206,30714.39220703125,30985.836791372596,30204.10976298133,0.8128328368021638%,2.588147886250115%,Negative,2.9519681882609925%,-2.9519681882609925%,,
ACC.NS,2524.300048828125,2542.56400390625,2576.8590975674715,2135.9857049560546,2517.5389293572234,2207.937925009452,20.640278237278153%,14.022178832153804%,Negative,2.0396555166311465%,-2.0396555166311465%,,
AIAENG.NS,4100.0,3796.025986328125,3844.0579445578837,3619.5554931640627,3836.2434347001126,3597.8837482504273,6.202486792033418%,6.624996890619228%,Positive,-6.6581216811380015%,6.6581216811380015%,,
ABBOTINDIA.NS,26420.5,27349.110078125,27959.64324396307,24408.898046875,27144.979183735308,24958.136611377246,14.546929526557056%,8.762042641281093%,Negative,5.504874402485072%,-5.504874402485072%,,
ABFRL.NS,237.3000030517578,218.46400024414064,227.13295364379883,222.75424987792968,224.60864205035958,224.0075909398344,1.9657105389767857%,0.268317295857454%,Positive,-4.4762546538726635%,4.4762546538726635%,,
ALKEM.NS,4882.60009765625,4981.66798828125,5080.488503196023,4287.588383789062,4988.443109403613,4440.708398815877,18.492916027220236%,12.334399410999145%,Negative,3.895066496367146%,-3.895066496367146%,,
APOLLOTYRE.NS,469.8500061035156,484.6560009765625,502.0352276888761,437.5183401489258,485.8856671054794,443.0691912325837,14.746098990499357%,9.66360936850148%,Negative,6.410948835906484%,-6.410948835906484%,,
BAYERCROP.NS,5314.5498046875,5295.66798828125,5551.6806751598015,5164.56376953125,5457.071671908184,5185.619590327907,7.495636086679348%,5.234708733486409%,Negative,4.271334832590598%,-4.271334832590598%,,
BDL.NS,1735.199951171875,1724.220634765625,1734.626348322088,1340.6405297851563,1709.1903536966263,1420.981279713712,29.387879135659855%,20.282397671064352%,Positive,-0.03306780450682319%,0.03306780450682319%,,
BHARATFORG.NS,1148.699951171875,1143.2819921875,1155.6740889115767,1077.6363150024415,1153.6272233341476,1077.881203371074,7.241568683490258%,7.027306880032599%,Negative,0.6034692485205795%,-0.6034692485205795%,,
BIOCON.NS,271.29998779296875,265.2740002441406,270.8284093683416,257.8150468444824,267.00019170558113,255.95194236104686,5.047557418830189%,4.316532721970738%,Positive,-0.17412443019807156%,0.17412443019807156%,,
COFORGE.NS,5711.64990234375,5882.366015625,6185.0227161754265,5533.511572265625,5986.053973834321,5570.418618302326,11.773918521743491%,7.461474334556693%,Negative,7.653533957016596%,-7.653533957016596%,,
CONCOR.NS,924.4000244140625,905.8200024414062,930.6664303866299,779.0567102050782,906.6330459756202,803.0784308713675,19.46067830436146%,12.894707555760462%,Negative,0.6733245949318454%,-0.6733245949318454%,,
DEEPAKNTR.NS,2192.0,2159.32400390625,2203.059093128551,2174.7452349853515,2200.8656919383593,2160.665553313503,1.3019390817697403%,1.8605442458786376%,Negative,0.501988038498144%,-0.501988038498144%,,
DELHIVERY.NS,445.3999938964844,453.4939990234375,455.68068278919566,417.96650192260745,448.5027024910621,415.199247860063,9.02325442185114%,8.021077784375844%,Negative,2.2561168996200953%,-2.2561168996200953%,,
ENDURANCE.NS,1903.5999755859375,1822.672001953125,1848.7954517711294,1729.5895239257814,1849.6104672152283,1720.7746874018787,6.892151357090624%,7.487080136439765%,Positive,-2.9643367935758334%,2.9643367935758334%,,
FEDERALBNK.NS,155.8000030517578,151.8760009765625,151.88295433738014,144.86870468139648,151.6379794786866,145.51942560595566,4.841797730855536%,4.20463030777694%,Positive,-2.578991652793812%,2.578991652793812%,,
FACT.NS,687.5999755859375,670.1939965820312,719.2840881347656,639.7356784057617,707.5609305672726,635.8129494198314,12.434574530412409%,11.284447920242904%,Negative,4.404951127306429%,-4.404951127306429%,,
FORTIS.NS,436.8500061035156,408.42400024414064,420.14431832053447,368.82445068359374,416.50122459223104,373.24168446305714,13.914442912291328%,11.590222081278721%,Positive,-3.9761784354860983%,3.9761784354860983%,,
GMRINFRA.NS,84.80000305175781,81.54800079345704,84.44659129056063,65.80125005722046,82.19244417308884,69.09933060511622,28.33584653350244%,18.948249503017887%,Positive,-0.4185032880500453%,0.4185032880500453%,,
GICRE.NS,334.5,345.5220007324219,370.23295662619853,270.9785177612305,350.095288686004,286.3568292161936,36.62815771707222%,22.258403839808246%,Negative,9.651479152969058%,-9.651479152969058%,,
GLAND.NS,1800.3499755859375,1772.77798828125,1846.5761274857955,1648.3802478027344,1820.106092578524,1682.6582195392095,12.023674752670276%,8.168496218855081%,Negative,2.503343957056197%,-2.503343957056197%,,
GLAXO.NS,1909.5,1985.5200244140624,2106.7852367054334,1718.0636181640625,2026.8954761178761,1786.901872871401,22.625566040258864%,13.430709704323352%,Negative,9.36427848782279%,-9.36427848782279%,,
