Symbol,Result
ABB.NS,Pass
AIAENG.NS,Pass
AARTIIND.NS,Pass
ACE.NS,Pass
ADANIPORTS.NS,Pass
ADANIPOWER.NS,Pass
AMBUJACEM.NS,Pass
APARINDS.NS,Pass
AUROPHARMA.NS,Pass
DMART.NS,Pass
BEML.NS,Pass
BSE.NS,Pass
BANKINDIA.NS,Pass
MAHABANK.NS,Pass
BEL.NS,Pass
BHEL.NS,Pass
BIKAJI.NS,Pass
BLUESTARCO.NS,Pass
BOSCHLTD.NS,Pass
CESC.NS,Pass
CSBBANK.NS,Pass
CANBK.NS,Pass
CENTURYTEX.NS,Pass
CHAMBLFERT.NS,Pass
CHOLAHLDNG.NS,Pass
COCHINSHIP.NS,Pass
CUMMINSIND.NS,Pass
CYIENT.NS,Pass
DATAPATTNS.NS,Pass
DIXON.NS,Pass
EIHOTEL.NS,Pass
EICHERMOT.NS,Pass
ELECON.NS,Pass
FINPIPE.NS,Pass
FORTIS.NS,Pass
GAIL.NS,Pass
GRSE.NS,Pass
GLENMARK.NS,Pass
MEDANTA.NS,Pass
GODREJIND.NS,Pass
GODREJPROP.NS,Pass
GRAPHITE.NS,Pass
GESHIP.NS,Pass
GSPL.NS,Pass
HEG.NS,Pass
HAVELLS.NS,Pass
HINDALCO.NS,Pass
HAL.NS,Pass
HINDCOPPER.NS,Pass
POWERINDIA.NS,Pass
HOMEFIRST.NS,Pass
HUDCO.NS,Pass
ICICIGI.NS,Pass
IDBI.NS,Pass
IRB.NS,Pass
INDHOTEL.NS,Pass
IRCTC.NS,Pass
INDUSTOWER.NS,Pass
NAUKRI.NS,Pass
INDIGO.NS,Pass
IPCALAB.NS,Pass
JBCHEPHARM.NS,Pass
JKCEMENT.NS,Pass
JSWENERGY.NS,Pass
JINDALSTEL.NS,Pass
JUBLPHARMA.NS,Pass
JUSTDIAL.NS,Pass
KEI.NS,Pass
KALYANKJIL.NS,Pass
KARURVYSYA.NS,Pass
KEC.NS,Pass
L&TFH.NS,Pass
LTTS.NS,Pass
LICHSGFIN.NS,Pass
LATENTVIEW.NS,Pass
LAURUSLABS.NS,Pass
M&M.NS,Pass
MAHLIFE.NS,Pass
MANAPPURAM.NS,Pass
MANKIND.NS,Pass
MARUTI.NS,Pass
MINDACORP.NS,Pass
MSUMI.NS,Pass
MOTILALOFS.NS,Pass
MUTHOOTFIN.NS,Pass
NBCC.NS,Pass
NCC.NS,Pass
NHPC.NS,Pass
NTPC.NS,Pass
NATIONALUM.NS,Pass
NAM-INDIA.NS,Pass
OBEROIRLTY.NS,Pass
OIL.NS,Pass
OFSS.NS,Pass
POLICYBZR.NS,Pass
PIDILITIND.NS,Pass
PPLPHARMA.NS,Pass
POONAWALLA.NS,Pass
PRESTIGE.NS,Pass
PRSMJOHNSN.NS,Pass
PNB.NS,Pass
QUESS.NS,Pass
RAINBOW.NS,Pass
SJVN.NS,Pass
SCHNEIDER.NS,Pass
SHRIRAMFIN.NS,Pass
SIEMENS.NS,Pass
SOBHA.NS,Pass
SAIL.NS,Pass
SPARC.NS,Pass
SUNDARMFIN.NS,Pass
TATACOMM.NS,Pass
TATAMTRDVR.NS,Pass
TATAMOTORS.NS,Pass
TATAPOWER.NS,Pass
TATASTEEL.NS,Pass
THERMAX.NS,Pass
TORNTPOWER.NS,Pass
TRITURBINE.NS,Pass
UNOMINDA.NS,Pass
UTIAMC.NS,Pass
UNIONBANK.NS,Pass
UBL.NS,Pass
USHAMART.NS,Pass
VGUARD.NS,Pass
VBL.NS,Pass
VIJAYA.NS,Pass
VOLTAS.NS,Pass
WELCORP.NS,Pass
ZENSARTECH.NS,Pass
ZOMATO.NS,Pass
ZYDUSLIFE.NS,Pass
