Symbol,Result
AARTIIND.NS,Pass
ACE.NS,Pass
ANGELONE.NS,Pass
APARINDS.NS,Pass
BLUESTARCO.NS,Pass
CANFINHOME.NS,Pass
CENTURYTEX.NS,Pass
CHALET.NS,Pass
CHAMBLFERT.NS,Pass
CHOLAHLDNG.NS,Pass
COCHINSHIP.NS,Pass
DATAPATTNS.NS,Pass
EIHOTEL.NS,Pass
FINPIPE.NS,Pass
GRSE.NS,Pass
GLENMARK.NS,Pass
MEDANTA.NS,Pass
GODFRYPHLP.NS,Pass
GRANULES.NS,Pass
GRAPHITE.NS,Pass
GPPL.NS,Pass
HEG.NS,Pass
HINDCOPPER.NS,Pass
POWERINDIA.NS,Pass
JBCHEPHARM.NS,Pass
JINDALSAW.NS,Pass
JWL.NS,Pass
JUSTDIAL.NS,Pass
KSB.NS,Pass
KARURVYSYA.NS,Pass
KEC.NS,Pass
LATENTVIEW.NS,Pass
LEMONTREE.NS,Pass
MAHLIFE.NS,Pass
MANAPPURAM.NS,Pass
MOTILALOFS.NS,Pass
NSLNISP.NS,Pass
NATIONALUM.NS,Pass
PPLPHARMA.NS,Pass
PRSMJOHNSN.NS,Pass
QUESS.NS,Pass
RAINBOW.NS,Pass
SANOFI.NS,Pass
SCHNEIDER.NS,Pass
SOBHA.NS,Pass
SPARC.NS,Pass
TRITURBINE.NS,Pass
USHAMART.NS,Pass
VARROC.NS,Pass
ZENSARTECH.NS,Pass
