Symbol,Close,Volume,ADR,Mod_ADR,RSI
ACE.NS,1573.85,406844,6.13,8.55,79.97
APARINDS.NS,7346.15,207569,5.28,5.17,87.02
BSE.NS,2875.6,887938,5.22,5.5,84.51
COCHINSHIP.NS,1081.2,5566690,5.95,6.42,85.99
HEG.NS,2089.5,709547,5.13,5.66,70.12
HINDCOPPER.NS,322.4,20958999,5.33,5.92,75.98
HUDCO.NS,206.4,24370150,5.43,6.62,72.7
IRB.NS,67.2,61806407,5.13,6.03,75.45
NCC.NS,272.7,32794515,6.16,7.39,63.51
OIL.NS,628.4,5179614,5.7,5.57,63.73
PRESTIGE.NS,1291.8,794266,5.21,5.49,73.45
RAINBOW.NS,1349.4,89586,5.0,4.77,78.79
SJVN.NS,135.4,48760930,5.33,6.66,71.28
SCHNEIDER.NS,787.25,142136,5.09,5.67,73.55
SOBHA.NS,1555.0,315984,6.09,6.93,73.73
SPARC.NS,433.65,770561,5.06,5.12,79.91
TORNTPOWER.NS,1490.45,1295625,6.55,6.42,80.44
