Symbol,Close,Volume,ADR,Mod_ADR,RSI
ACE.NS,1571.2,610341,9.12,8.79,67.89
ANGELONE.NS,3171.3,663984,6.19,5.74,75.86
APARINDS.NS,6924.95,96488,5.57,4.98,70.13
CENTURYTEX.NS,1674.95,215722,5.43,5.26,70.3
CHALET.NS,871.55,304616,6.07,5.79,76.0
COCHINSHIP.NS,1074.65,15834277,7.41,6.29,74.29
DATAPATTNS.NS,2739.0,283982,6.11,6.75,63.35
EIHOTEL.NS,470.2,726040,6.19,5.54,68.4
GRSE.NS,882.75,7045898,5.34,4.8,66.12
GODFRYPHLP.NS,3297.0,91650,6.02,6.32,51.81
GPPL.NS,221.05,7174913,7.27,6.48,63.64
HEG.NS,2026.3,806740,5.86,5.57,63.77
HINDCOPPER.NS,311.45,12997372,6.3,5.66,68.13
JINDALSAW.NS,500.05,1099112,6.63,5.91,61.71
JWL.NS,397.9,2547162,5.41,5.65,70.36
MOTILALOFS.NS,1825.2,88315,5.43,5.27,73.96
NSLNISP.NS,62.0,13055622,6.16,5.5,57.28
NATIONALUM.NS,174.75,75955052,5.72,5.22,66.79
RAINBOW.NS,1334.1,363841,5.25,5.26,81.54
SCHNEIDER.NS,799.2,604985,5.3,5.59,72.05
SOBHA.NS,1569.05,212264,7.45,7.15,62.38
SPARC.NS,393.35,289889,5.31,5.18,56.86
TRITURBINE.NS,550.0,1066403,5.44,5.45,71.45
