Symbol,Close,Volume,ADR Value,ADR,Mod ADR,RSI
ACE.NS,1398.85,283829,77.27,5.5,5.5,50.65
AEGISCHEM.NS,503.95,2873730,23.79,5.53,5.53,78.38
ANGELONE.NS,2792.8,2686390,145.29,5.25,5.25,53.36
BSE.NS,2781.1,730376,128.14,5.16,5.16,72.91
CGCL.NS,230.45,385638,13.17,6.31,6.31,62.69
COCHINSHIP.NS,1077.85,2552265,51.88,5.32,5.32,69.78
ENGINERSIN.NS,207.5,5019839,10.12,5.08,5.08,51.19
HEG.NS,2459.1,1380718,114.58,5.62,5.62,82.39
HINDCOPPER.NS,355.5,10582705,15.8,5.24,5.24,82.93
IIFL.NS,419.65,1253915,22.66,6.24,6.24,75.62
INOXWIND.NS,544.3,1031067,28.17,5.58,5.58,61.23
JAIBALAJI.NS,1025.7,65085,54.21,5.81,5.81,68.04
MMTC.NS,70.95,1516575,3.55,5.14,5.14,62.38
MRPL.NS,223.15,3214220,11.01,5.03,5.03,49.43
METROBRAND.NS,1074.55,180272,54.78,5.13,5.13,34.7
NCC.NS,244.0,4037057,13.07,5.48,5.48,50.1
NUVAMA.NS,5285.2,32368,231.98,5.08,5.08,81.27
PRESTIGE.NS,1227.15,1086324,58.51,5.04,5.04,59.65
SCHNEIDER.NS,756.2,349639,37.91,5.34,5.34,60.23
SOBHA.NS,1615.0,129464,78.92,5.56,5.56,75.12
STLTECH.NS,129.95,21929957,6.36,5.18,5.18,62.43
TORNTPOWER.NS,1511.35,1381297,89.86,6.65,6.65,62.06
IDEA.NS,13.2,791868513,0.65,5.03,5.03,48.21
