Symbol,Close,Volume,ADR Value,ADR,Mod ADR,RSI
BAJAJHIND.NS,34.3,20441903,1.56,5.0,5.0,54.49
BCG.NS,14.7,14853916,0.75,5.11,5.11,13.21
CAMLINFINE.NS,109.3,331038,5.09,5.13,5.13,64.01
DBREALTY.NS,221.35,6755522,10.56,5.1,5.1,56.89
DHANI.NS,51.6,2408964,3.2,7.53,7.53,72.4
DHANUKA.NS,1349.8,73465,57.63,5.09,5.09,87.29
EDELWEISS.NS,76.9,7594700,3.67,5.22,5.22,59.03
ELECTCAST.NS,199.35,1909472,9.61,5.34,5.34,67.18
EPIGRAL.NS,1333.0,64991,64.63,5.17,5.17,46.04
HCC.NS,38.2,6175607,1.84,5.24,5.24,58.78
HINDOILEXP.NS,198.65,723192,9.33,5.04,5.04,57.16
IFBIND.NS,1656.25,62560,78.86,5.42,5.42,59.1
IIFLSEC.NS,143.3,667457,7.32,5.59,5.59,54.34
INOXINDIA.NS,1375.1,366178,67.67,5.34,5.34,62.18
JPASSOCIAT.NS,19.8,18431772,1.14,5.79,5.79,49.74
JYOTICNC.NS,795.15,266969,45.31,6.08,6.08,54.79
KIRLOSBROS.NS,1335.0,226611,65.63,5.81,5.81,70.0
LLOYDSENGG.NS,64.45,11219020,3.58,6.56,6.56,68.29
MOIL.NS,430.7,11707123,19.66,6.03,6.03,86.52
PAISALO.NS,76.7,1607126,3.98,5.64,5.64,64.81
PURVA.NS,394.9,321965,19.89,7.07,7.07,89.93
RAMKY.NS,607.85,142053,35.11,6.44,6.44,46.85
RELINFRA.NS,192.65,2893721,15.56,6.72,6.72,12.91
SANDUMA.NS,544.85,637700,22.33,5.24,5.24,90.14
SANGHVIMOV.NS,1366.95,269670,74.66,5.88,5.88,50.19
SINDHUTRAD.NS,24.25,1120742,1.67,6.33,6.33,23.12
SUDARSCHEM.NS,728.35,660593,32.85,5.13,5.13,59.69
TDPOWERSYS.NS,345.1,684216,15.32,5.18,5.18,75.06
TIMETECHNO.NS,274.85,855704,13.71,5.42,5.42,54.06
WABAG.NS,1000.1,1229640,45.69,5.47,5.47,73.76
EMUDHRA.NS,764.35,162605,48.38,6.76,6.76,63.21
