Symbol,Close,Volume,ADR Value,ADR %,Mod_ADR %,RSI
BSE.NS,2875.6,887938,123.42,5.5,5.5,84.51
FACT.NS,699.1,354776,37.84,6.01,6.01,57.09
GICRE.NS,341.75,1153254,19.26,5.84,5.84,52.77
JSWINFRA.NS,250.75,3003919,11.68,5.03,5.03,61.77
KALYANKJIL.NS,430.5,3841134,19.64,5.11,5.11,73.9
LINDEINDIA.NS,6782.65,194970,355.18,5.7,5.7,58.49
LODHA.NS,1159.7,1256137,66.02,6.14,6.14,70.18
METROBRAND.NS,1079.45,267349,55.53,5.18,5.18,55.21
OIL.NS,628.4,5179614,32.09,5.57,5.57,63.73
POLICYBZR.NS,1278.3,2469457,58.87,5.35,5.35,68.06
PHOENIXLTD.NS,2849.9,428680,144.07,5.51,5.51,73.42
PRESTIGE.NS,1291.8,794266,61.31,5.49,5.49,73.45
RVNL.NS,264.1,12817238,11.92,5.02,5.02,69.54
SJVN.NS,135.4,48760930,7.57,6.66,6.66,71.28
SOLARINDS.NS,8658.4,146659,512.37,6.42,6.42,59.0
SUZLON.NS,42.65,15830518,2.04,5.39,5.39,65.0
TATACHEM.NS,1132.55,8082508,61.7,5.69,5.69,49.52
NIACL.NS,239.15,1026782,14.16,6.21,6.21,54.12
TORNTPOWER.NS,1490.45,1295625,79.7,6.42,6.42,80.44
IDEA.NS,13.3,690376450,0.69,5.4,5.4,53.7
