Symbol,Close,Volume,ADR Value,ADR,Mod ADR,RSI
360ONE.NS,784.05,423741,39.04,5.21,5.21,62.32
AEGISCHEM.NS,687.2,1519713,32.7,6.45,6.45,86.96
ARE&M.NS,1099.7,840798,52.81,5.55,5.55,76.21
BSE.NS,2790.15,2419171,148.28,5.34,5.34,49.59
CGCL.NS,221.0,198724,11.86,5.5,5.5,47.43
CHENNPETRO.NS,1022.85,933917,47.43,5.09,5.09,64.9
COCHINSHIP.NS,1303.9,3366779,69.16,6.35,6.35,66.69
DATAPATTNS.NS,2969.95,232604,150.05,5.46,5.46,63.56
EXIDEIND.NS,472.4,15661566,22.83,5.75,5.75,74.86
GRSE.NS,989.05,697121,46.52,5.26,5.26,62.28
HEG.NS,2361.9,185420,112.53,5.09,5.09,68.74
POWERINDIA.NS,9578.75,396583,485.66,6.23,6.23,70.92
ITI.NS,307.0,4978162,14.03,5.25,5.25,69.5
INOXWIND.NS,627.6,717951,31.83,5.74,5.74,69.92
JAIBALAJI.NS,1027.15,81528,50.12,5.05,5.05,46.41
JUBLINGREA.NS,553.0,685477,26.01,5.11,5.11,72.07
MAZDOCK.NS,2348.95,853149,111.6,5.2,5.2,57.06
MOTILALOFS.NS,2376.9,415993,114.37,5.53,5.53,70.59
NSLNISP.NS,64.5,14900471,3.08,5.01,5.01,57.55
SCHNEIDER.NS,807.4,150354,39.58,5.27,5.27,47.83
SWSOLAR.NS,656.05,896007,29.45,5.34,5.34,79.64
STLTECH.NS,137.5,2682623,6.56,5.14,5.14,58.4
TEJASNET.NS,1144.35,1912856,53.37,6.26,6.26,79.49
IDEA.NS,13.2,952776316,0.94,7.4,7.4,50.43
