Symbol,Close,Volume,ADR Value,ADR,Mod ADR,RSI
360ONE.NS,784.05,423741,39.04,5.21,5.21,62.32
AEGISCHEM.NS,687.2,1519713,32.7,6.45,6.45,86.96
ARE&M.NS,1099.7,840798,52.81,5.55,5.55,76.21
BSE.NS,2790.15,2419171,148.28,5.34,5.34,49.59
BAJAJHIND.NS,35.9,27671897,1.65,5.18,5.18,66.83
CGCL.NS,221.0,198724,11.86,5.5,5.5,47.43
CHENNPETRO.NS,1022.85,933917,47.43,5.09,5.09,64.9
COCHINSHIP.NS,1303.9,3366779,69.16,6.35,6.35,66.69
DATAPATTNS.NS,2969.95,232604,150.05,5.46,5.46,63.56
DHANI.NS,52.05,8647255,3.05,6.89,6.89,74.32
DHANUKA.NS,1397.1,43964,60.38,5.09,5.09,86.53
ELECTCAST.NS,192.0,959115,9.28,5.07,5.07,54.73
EXIDEIND.NS,472.4,15661566,22.83,5.75,5.75,74.86
GRSE.NS,989.05,697121,46.52,5.26,5.26,62.28
HGINFRA.NS,1189.15,155009,54.14,5.2,5.2,69.23
HINDOILEXP.NS,216.35,4568046,9.81,5.15,5.15,74.88
POWERINDIA.NS,9578.75,396583,485.66,6.23,6.23,70.92
IFBIND.NS,1533.9,35224,75.48,5.08,5.08,53.67
IIFLSEC.NS,143.5,1193205,7.04,5.16,5.16,49.73
ITI.NS,307.0,4978162,14.03,5.25,5.25,69.5
INOXWIND.NS,627.6,717951,31.83,5.74,5.74,69.92
JAIBALAJI.NS,1027.15,81528,50.12,5.05,5.05,46.41
JISLJALEQS.NS,62.5,10414197,2.84,5.05,5.05,59.59
JPASSOCIAT.NS,19.95,31087762,1.16,5.82,5.82,35.77
JCHAC.NS,1265.55,337372,59.03,5.25,5.25,62.74
JUBLINGREA.NS,553.0,685477,26.01,5.11,5.11,72.07
JYOTICNC.NS,849.8,773574,38.44,5.08,5.08,64.06
KIRLOSBROS.NS,1312.75,66400,62.51,5.37,5.37,67.9
LLOYDSENGG.NS,68.55,20245590,3.96,6.91,6.91,69.7
MOIL.NS,406.2,3350690,21.96,6.42,6.42,75.36
MAZDOCK.NS,2348.95,853149,111.6,5.2,5.2,57.06
MOTILALOFS.NS,2376.9,415993,114.37,5.53,5.53,70.59
NSLNISP.NS,64.5,14900471,3.08,5.01,5.01,57.55
ORIENTCEM.NS,221.4,2187904,10.56,5.02,5.02,49.15
PAISALO.NS,71.4,769616,4.15,5.75,5.75,33.15
PURVA.NS,390.95,175397,21.06,7.01,7.01,81.73
RAMKY.NS,568.3,106819,32.58,5.71,5.71,31.13
RELINFRA.NS,177.9,4012992,15.06,6.78,6.78,7.81
SANDUMA.NS,518.95,331027,25.09,5.55,5.55,75.43
SANGHVIMOV.NS,1315.5,131195,67.61,5.25,5.25,52.82
SCHNEIDER.NS,807.4,150354,39.58,5.27,5.27,47.83
SINDHUTRAD.NS,23.15,1354814,1.51,5.86,5.86,20.74
SWSOLAR.NS,656.05,896007,29.45,5.34,5.34,79.64
STLTECH.NS,137.5,2682623,6.56,5.14,5.14,58.4
SUDARSCHEM.NS,739.6,1037424,34.8,5.33,5.33,65.24
TEJASNET.NS,1144.35,1912856,53.37,6.26,6.26,79.49
WABAG.NS,966.05,513100,46.7,5.42,5.42,69.32
IDEA.NS,13.2,952776316,0.94,7.4,7.4,50.43
EMUDHRA.NS,758.2,525845,46.33,6.46,6.46,51.75
