Ticker,Close,Volume,ADR Value,ADR PCT,RSI
ACE.NS,1415.0,292003,77.27,5.5,50.65
AEGISCHEM.NS,494.55,1220091,23.79,5.53,78.38
ANGELONE.NS,2688.1,1161489,145.29,5.25,53.36
BSE.NS,2768.55,613212,128.14,5.16,72.91
CGCL.NS,226.55,398172,13.17,6.31,62.69
COCHINSHIP.NS,1099.0,4929035,51.88,5.32,69.78
ENGINERSIN.NS,204.75,5446857,10.12,5.08,51.19
HEG.NS,2459.8,629054,114.58,5.62,82.39
HINDCOPPER.NS,364.1,13836495,15.8,5.24,82.93
IIFL.NS,406.1,1009559,22.66,6.24,75.62
INOXWIND.NS,569.05,1819240,28.17,5.58,61.23
JAIBALAJI.NS,998.15,109093,54.21,5.81,68.04
MMTC.NS,70.85,2230990,3.55,5.14,62.38
MRPL.NS,227.0,4316377,11.01,5.03,49.43
METROBRAND.NS,1068.85,115795,54.78,5.13,34.7
NCC.NS,242.5,4205719,13.07,5.48,50.1
NUVAMA.NS,5297.65,26005,231.98,5.08,81.27
PRESTIGE.NS,1231.05,448356,58.51,5.04,59.65
SCHNEIDER.NS,718.4,264395,37.91,5.34,60.23
SOBHA.NS,1578.3,100617,78.92,5.56,75.12
STLTECH.NS,126.35,8407148,6.36,5.18,62.43
TORNTPOWER.NS,1501.15,603329,89.86,6.65,62.06
IDEA.NS,12.9,720274197,0.65,5.03,48.21
