Stock Symbol,Close Price,SMA 25,SMA 44,SMA 200,EMA 44,EMA 200,SMA Crossover Percentage,EMA Crossover Percentage,Close vs SMA,Declined Percentage,Positive Incline Percentage,52 Week High,52 Week Low
3MINDIA.NS,29850.900390625,30377.141953125,30895.460227272728,30725.387314453124,30935.388967245697,30164.307976325945,0.5535256922200026%,2.5562694543661504%,Negative,3.3809492688043883%,-3.3809492688043883%,,
ACC.NS,2524.699951171875,2535.73400390625,2577.7340975674715,2139.3790966796873,2517.8576200403772,2213.660668998676,20.489823499169006%,13.741805837807162%,Negative,2.0573939897696665%,-2.0573939897696665%,,
AIAENG.NS,4010.85009765625,3809.0019921875,3836.9590787020597,3622.2979125976562,3844.0031268214666,3598.352896113391,5.926104679514437%,6.826740950655623%,Positive,-4.532000873280435%,4.532000873280435%,,
ABBOTINDIA.NS,27021.80078125,27301.31609375,27935.831898082386,24431.145341796873,27139.500553144575,24954.33095076369,14.345158637690576%,8.756674769972182%,Negative,3.271895106496286%,-3.271895106496286%,,
ABFRL.NS,238.25,218.80400024414064,226.91022630171344,222.90099990844726,225.21499041661355,224.54141933811837,1.7986578772248198%,0.29997631638771155%,Positive,-4.99747141550532%,4.99747141550532%,,
AJANTPHARM.NS,2139.64990234375,2148.278017578125,2150.1931707208805,1859.045194091797,2144.532353354134,1887.607611376003,15.661156466468729%,13.611130853135393%,Negative,0.4903405201308377%,-0.4903405201308377%,,
ALKEM.NS,4824.5,4969.553984375,5079.10693359375,4294.890625,4981.156946565305,4445.685556745799,18.259284742408312%,12.044742773293802%,Negative,5.012828769360079%,-5.012828769360079%,,
APOLLOTYRE.NS,488.75,483.0140014648438,500.74545496160334,437.9065138244629,486.0129889002377,443.63474155473295,14.349853028751655%,9.552508714035502%,Negative,2.3955194885439632%,-2.3955194885439632%,,
BAYERCROP.NS,5397.2001953125,5285.76400390625,5544.3886385830965,5170.839460449219,5454.410686740971,5187.553611613058,7.224149598746692%,5.144179609643291%,Negative,2.654728101964574%,-2.654728101964574%,,
BDL.NS,1768.449951171875,1721.6959765625,1734.9738575328481,1343.6236126708984,1711.8240614098734,1424.1497240936928,29.12647866347117%,20.199725664325925%,Positive,-1.9294869195683593%,1.9294869195683593%,,
BHARATFORG.NS,1177.4000244140625,1143.0079931640626,1153.5969460227273,1079.3701849365234,1154.6837954911812,1078.9055945112036,6.876858571980016%,7.023617392058176%,Positive,-2.0633791094369194%,2.0633791094369194%,,
BIOCON.NS,278.29998779296875,265.45,270.68409104780716,257.9891248321533,267.502517079705,256.8627037910555,4.920736958936982%,4.142218053308532%,Positive,-2.813573829064266%,2.813573829064266%,,
COFORGE.NS,5702.4501953125,5850.276015625,6169.9352250532675,5539.2982104492185,5973.449664665913,5573.708022851311,11.384781801680731%,7.171915718866587%,Negative,7.5768223277697615%,-7.5768223277697615%,,
CONCOR.NS,970.7000122070312,905.5260034179687,931.6727294921875,780.6154455566407,909.4806444674607,805.8276957069436,19.351049840915074%,12.862917136346816%,Positive,-4.188947629294222%,4.188947629294222%,,
DEEPAKNTR.NS,2297.10009765625,2162.3580078125,2204.9920487837358,2175.4556744384768,2205.1433044548794,2165.189571685883,1.3577097751202332%,1.8452764271299882%,Positive,-4.177250839671764%,4.177250839671764%,,
