Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Client ID,OB3975,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,P&L Statement for Equity from 2023-04-01 to 2024-03-28,,,,,,,,,,,,
,,,,,,,,,,,,,
,Summary,,,,,,,,,,,,
,,,,,,,,,,,,,
,Charges,648.1626,,,,,,,,,,,
,Other Credit & Debit,-994.1382,,,,,,,,,,,
,Realized P&L,56402.8829,,,,,,,,,,,
,Unrealized P&L,53771.9971,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Charges,,,,,,,,,,,,
,,,,,,,,,,,,,
,Account Head,Amount,,,,,,,,,,,
,Brokerage - Z,0.69,,,,,,,,,,,
,Exchange Transaction Charges - Z,20.3902,,,,,,,,,,,
,Clearing Charges - Z,0,,,,,,,,,,,
,Central GST - Z,0,,,,,,,,,,,
,State GST - Z,0,,,,,,,,,,,
,Integrated GST - Z,3.9824,,,,,,,,,,,
,Securities Transaction Tax - Z,573,,,,,,,,,,,
,SEBI Turnover Fees - Z,0.5855,,,,,,,,,,,
,Stamp Duty - Z,49,,,,,,,,,,,
,IPFT,0.5145,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Symbol,ISIN,Quantity,Buy Value,Sell Value,Realized P&L,Realized P&L Pct.,Previous Closing Price,Open Quantity,Open Quantity Type,Open Value,Unrealized P&L,Unrealized P&L Pct.
,3IINFOTECH-T,INE748C01020,0,0,0,0,0,8.56,128,,894.6,201.08,22.4771
,AGI,INE415A01038,21,11662.65,18597.35,6934.7,59.4608,0,0,,0,0,0
,ASAHIINDIA,INE439A01020,2,1165.85,1126.6,-39.25,-3.3666,0,0,,0,0,0
,BANKBARODA,INE028A01039,0,0,0,0,0,254.7,50,,11162.5,1572.5,14.0873
,BCG,INE425B01027,125,474,2402.5,1928.5,406.8565,0,0,,0,0,0
,BCLIND,INE412G01024,0,0,0,0,0,58.16,100,,8095,-2279,-28.1532
,BEL,INE263A01024,33,4446.45,6053.85,1607.4,36.1502,0,0,,0,0,0
,BHARATWIRE-T,INE316L01019,0,0,0,0,0,293.45,25,,7217.5,118.75,1.6453
,BIOCON,INE376G01013,1,306.4,257.2,-49.2,-16.0574,0,0,,0,0,0
,BLACKROSE-X,INE761G01016,2,377.5,293.9,-83.6,-22.1457,0,0,,0,0,0
,CHENNPETRO,INE178A01016,10,4946,6330,1384,27.9822,0,0,,0,0,0
,COCHINSHIP,INE704P01025,0,0,0,0,0,1103.85,19,,17088.6,3884.55,22.7318
,CPSEETF,INF457M01133,33,2096.28,2252.91,156.63,7.4718,0,0,,0,0,0
,DEEPAKFERT,INE501A01019,11,6030.75,5501.1,-529.65,-8.7825,0,0,,0,0,0
