Stock,Close,Volume,ADR,Mod_ADR,RSI
AGI.NS,726.5,181530,5.61,5.46,35.48
ACCELYA.NS,1680.25,19914,5.11,4.47,39.79
ANANTRAJ.NS,311.35,616973,5.14,4.96,34.33
ARVIND.NS,270.45,364084,5.87,5.18,49.88
ASHOKA.NS,156.6,1126377,5.73,5.77,41.33
ASTRAMICRO.NS,596.45,1916979,5.79,5.12,46.43
AZAD.NS,1367.85,389490,5.24,5.28,58.38
BAJAJHIND.NS,29.05,9750067,6.04,6.04,37.87
BALMLAWRIE.NS,238.4,636490,5.9,5.37,49.0
BANCOINDIA.NS,596.95,100128,6.63,5.57,42.03
BOMDYEING.NS,158.25,2527672,6.35,6.27,41.69
BCG.NS,13.8,59490923,6.33,6.19,15.94
CAMLINFINE.NS,89.25,3794478,5.83,5.2,11.59
CONFIPET.NS,84.05,2675246,6.27,6.08,25.11
DBREALTY.NS,196.35,5199068,7.73,6.94,16.14
DBCORP.NS,263.3,106638,5.88,5.49,42.08
DCXINDIA.NS,294.2,1238170,7.43,6.46,46.06
DEN.NS,47.05,3202664,6.24,5.76,38.2
DHANI.NS,38.05,5716135,7.33,6.59,50.0
DBL.NS,456.9,4209899,5.56,5.16,57.29
DISHTV.NS,16.75,28677512,6.84,6.56,34.08
DCAL.NS,235.55,397526,7.52,7.93,47.05
EDELWEISS.NS,63.55,3819676,5.64,4.83,27.86
EMIL.NS,191.55,206939,6.01,6.34,40.79
ELECTCAST.NS,178.2,1698998,7.08,6.55,60.01
EPIGRAL.NS,1097.95,84393,5.99,5.45,44.82
ETHOSLTD.NS,2587.45,13702,5.97,5.88,43.05
FCL.NS,367.95,1198562,5.57,5.54,43.49
GABRIEL.NS,333.85,218244,6.2,5.22,49.0
GANESHHOUC.NS,740.55,27029,6.22,6.07,49.16
GRWRHITECH.NS,1748.5,39531,6.63,6.14,44.2
GOCOLORS.NS,1205.2,177783,5.37,4.34,63.58
GRAVITA.NS,998.75,178171,6.66,5.99,61.68
GULFOILLUB.NS,937.9,74031,5.75,5.43,36.35
HMAAGRO.NS,51.05,834232,6.0,5.81,27.94
HATHWAY.NS,19.6,6715698,5.61,5.11,36.91
HEMIPROP.NS,199.95,601203,6.59,5.97,45.5
HCC.NS,31.6,10948234,7.45,7.23,36.81
HINDWAREAP.NS,376.7,124069,6.65,5.84,49.86
IFBIND.NS,1505.95,317182,5.03,4.78,67.59
IFCI.NS,39.65,7861316,5.97,6.0,40.71
IIFLSEC.NS,122.85,1551736,6.87,7.15,47.68
INOXINDIA.NS,1222.65,421846,5.94,6.09,63.12
ITDCEM.NS,334.0,522881,7.31,6.78,48.17
IPL.NS,203.2,1046432,9.12,7.53,5.59
IBREALEST.NS,115.95,16603082,7.92,7.45,57.37
IMFA.NS,639.6,90567,5.23,5.01,52.4
ICIL.NS,354.1,1373875,6.63,6.52,65.7
INFIBEAM.NS,34.1,40543504,7.65,7.3,38.01
INGERRAND.NS,3680.35,17196,5.2,4.95,53.16
IONEXCHANG.NS,506.65,346163,5.03,4.76,56.33
JKIL.NS,631.05,129134,5.96,5.44,48.87
JKTYRE.NS,432.05,336778,5.08,4.67,23.95
JSWHL.NS,7212.25,18035,6.71,5.99,51.93
JTEKTINDIA.NS,175.15,3228580,6.96,6.52,61.4
JTLIND.NS,183.25,1581165,7.74,7.0,26.04
JAICORPLTD.NS,282.85,587852,5.08,4.89,45.09
JISLJALEQS.NS,48.9,8328196,8.03,6.87,42.13
JPASSOCIAT.NS,17.95,16442299,5.57,5.69,44.93
JPPOWER.NS,15.25,21324963,5.09,5.4,32.0
JINDWORLD.NS,312.6,64099,5.21,6.44,7.87
JLHL.NS,1196.5,27506,5.3,5.89,40.31
JYOTICNC.NS,821.45,844305,6.84,6.48,77.12
KPIGREEN.NS,1523.0,258488,5.15,5.65,35.89
KIRLOSBROS.NS,1095.05,313254,7.97,7.35,52.33
KIRLOSENG.NS,859.45,508828,5.33,4.95,54.19
KOLTEPATIL.NS,463.15,82482,5.89,5.54,49.35
LTFOODS.NS,187.65,1507557,5.65,5.03,57.26
LLOYDSENGG.NS,49.05,3688872,7.87,7.62,40.58
MSTCLTD.NS,831.7,211284,6.19,5.99,38.28
MANINFRA.NS,204.35,588811,6.34,5.87,49.71
MIDHANI.NS,394.25,3244136,5.68,5.2,42.72
NIITMTS.NS,506.7,379048,7.09,6.42,43.17
NRBBEARING.NS,268.05,135966,6.03,5.36,36.6
NFL.NS,87.6,2199552,5.29,4.86,33.47
NAVA.NS,485.65,418197,5.48,5.19,43.88
NETWEB.NS,1607.65,98635,5.85,5.86,45.39
NEULANDLAB.NS,6322.15,16249,5.74,5.2,44.43
NEWGEN.NS,795.2,139704,6.03,6.27,48.3
OPTIEMUS.NS,251.45,340275,5.37,4.87,21.11
PGEL.NS,1662.0,203191,5.35,4.89,48.63
PTC.NS,185.95,1862255,5.61,5.52,46.24
PAISALO.NS,60.6,1825618,10.07,10.14,23.17
PATELENG.NS,56.9,5293916,6.3,6.24,35.63
PURVA.NS,209.75,288449,8.35,7.58,42.08
RALLIS.NS,250.5,551944,6.03,5.31,48.49
RAMKY.NS,485.8,639163,7.07,6.47,33.67
RATEGAIN.NS,716.9,3742293,5.79,5.16,38.22
RTNPOWER.NS,8.25,14282868,5.66,5.68,31.25
RELINFRA.NS,270.95,2272474,9.21,7.86,64.68
RESPONIND.NS,277.7,498973,5.88,5.55,46.87
KALAMANDIR.NS,200.4,641860,6.71,6.21,47.04
SANDUMA.NS,359.4,207786,5.65,5.31,38.39
SANGHIIND.NS,90.35,979898,7.75,6.74,35.32
SANGHVIMOV.NS,1352.1,439981,7.83,7.91,74.19
SARDAEN.NS,202.85,473813,5.99,5.46,50.05
SEQUENT.NS,115.5,1589443,6.09,6.08,43.33
SHILPAMED.NS,460.55,517478,5.43,5.28,67.76
SCI.NS,208.8,4851003,5.09,5.02,39.19
SHOPERSTOP.NS,755.0,222083,5.21,4.58,56.54
SINDHUTRAD.NS,28.5,2669457,10.22,9.87,46.77
SOUTHBANK.NS,27.25,47401730,5.84,5.51,37.9
SPANDANA.NS,840.55,739662,5.12,4.68,36.42
STARCEMENT.NS,227.55,666702,5.81,4.94,63.18
SUNCLAY.NS,1403.75,9527,5.71,4.95,50.07
SURYAROSNI.NS,508.2,909923,5.12,5.15,36.86
TARC.NS,139.75,303406,5.46,5.51,32.79
TDPOWERSYS.NS,296.7,499928,5.34,5.51,46.43
TECHNOE.NS,771.75,506469,6.19,5.67,59.1
TEXRAIL.NS,164.8,1858004,7.36,6.77,42.58
TIRUMALCHM.NS,233.95,209059,5.22,5.0,46.65
THOMASCOOK.NS,166.0,1050734,5.41,5.25,61.85
TI.NS,210.5,877946,5.79,5.35,54.68
TIMETECHNO.NS,249.65,1986422,6.64,6.18,65.73
TIPSINDLTD.NS,460.65,124784,6.0,5.82,42.86
WABAG.NS,763.45,323672,5.21,5.04,55.94
VOLTAMP.NS,9670.95,28344,5.9,5.79,67.0
WOCKPHARMA.NS,585.7,682740,5.23,5.3,56.36
WONDERLA.NS,993.7,780473,5.72,5.14,51.94
YATHARTH.NS,420.3,178308,5.26,5.66,55.64
EMUDHRA.NS,756.9,542507,9.09,8.14,69.95
