Stock Name,Start Date,End Date,Average Buying Price,Quantity,Current Price,Invested Amount,Total Loss/Gain,Returns Loss/Gains,Returns Percentage,ADR Value,ADR Percentage,Modified ADR,RSI,44 SMA,25 EMA,Buy/Sell (ADR),Buy/Sell (RSI),Bull/Bear (44 SMA),Bull/Bear (25 EMA)
VBL.NS,2022-08-24,2024-04-28,490.12,26,1459.699951171875,12743.12,37952.2,25209.08,197.83%,36.975010463169646,2.628644683030945,2.8920788933961896,38.28239986898502,1429.2931712757456,1424.423945252928,Sell,Sell,Bullish,Bullish
TATAPOWER.NS,2023-03-31,2024-04-28,189.37,40,436.8999938964844,7574.8,17476.0,9901.2,130.71%,10.625006539481026,2.513651165814701,2.361247017451949,76.20688252065374,402.07841075550425,417.7862607953895,Sell,Buy,Bullish,Bullish
COCHINSHIP.NS,2024-03-15,2024-04-28,899.4,19,1352.050048828125,17088.6,25688.95,8600.35,50.33%,69.75356619698661,6.262235343336031,6.250847274155321,77.65821373081062,,1098.1533124537568,Buy,Buy,Bearish,Bullish
TRIDENT.NS,2020-12-31,2024-04-28,10.35,200,39.79999923706055,2070.0,7960.0,5890.0,284.54%,1.1392860412597656,2.9157384568405664,3.4333543051901203,40.90907829850394,39.9227272380482,39.62177441603816,Sell,Sell,Bearish,Bullish
HSCL.NS,2024-03-14,2024-04-28,287.88,60,371.25,17272.8,22275.0,5002.2,28.96%,15.517857142857142,4.716816933430024,5.016626570627803,66.2831804393667,,333.1216675489886,Sell,Buy,Bearish,Bullish
JPPOWER.NS,2023-06-06,2024-04-28,6.05,325,18.100000381469727,1966.25,5882.5,3916.25,199.17%,0.6999999455043248,3.9956396987478993,3.541043120134578,46.46464451857198,17.32727271860296,17.487292207678966,Sell,Sell,Bullish,Bullish
SAIL.NS,2024-01-24,2024-04-28,112.18,61,168.5500030517578,6842.98,10281.55,3438.57,50.25%,6.307141985212054,4.23447797730856,4.3089106893133415,75.85812333008838,138.26931832053444,147.76833399662974,Sell,Buy,Bullish,Bullish
MOTHERSON.NS,2022-02-15,2024-04-28,109.08,124,131.10000610351562,13525.92,16256.4,2730.48,20.19%,4.225000108991351,3.4897900378029867,3.0625949554808765,80.10475846953412,118.8965910131281,122.3898761231038,Sell,Buy,Bullish,Bullish
MARKSANS.NS,2024-02-13,2024-04-29,144.72,90,172.14999389648438,13024.8,15493.5,2468.7,18.95%,8.346426827566964,5.134377986322347,4.605194630571136,59.21500568949669,156.10113629427823,162.70048869984572,Buy,Buy,Bullish,Bullish
BANKBARODA.NS,2024-01-24,2024-04-29,223.25,50,268.04998779296875,11162.5,13402.5,2240.0,20.07%,5.985713413783482,2.2986914766948363,2.3466361692311324,48.55369178086079,265.7920448996804,263.4781513257006,Sell,Sell,Bullish,Bullish
