Stock Symbol,Close Price,SMA 25,SMA 44,SMA 200,EMA 44,EMA 200,SMA Crossover Percentage,EMA Crossover Percentage,Close vs SMA,Declined Percentage,Positive Incline Percentage
AFFLE.NS,1090.550048828125,1089.5659985351563,1133.5329492742364,1112.3522482299804,1115.1340824282456,1104.3702935487597,1.904136129356469%,0.9746539672755751%,Negative,3.7919409818331236%,-3.7919409818331236%
AMBER.NS,3552.89990234375,3653.762001953125,3853.5533946644177,3042.471495361328,3638.890821563693,3124.389686786419,26.658652366659712%,16.46725237102105%,Negative,7.801980705313409%,-7.801980705313409%
ANGELONE.NS,2660.64990234375,2809.837998046875,2981.9514881480823,2402.163487548828,2900.808756363629,2502.2427189071504,24.136075816840883%,15.928352371449863%,Negative,10.774876354674506%,-10.774876354674506%
BLS.NS,324.29998779296875,351.85558715820315,368.64100993763316,283.8482348632813,349.90386627307265,292.944979058079,29.872574375948922%,19.443544449246566%,Negative,12.028239113213704%,-12.028239113213704%
BSE.NS,2197.800048828125,2217.004013671875,2269.3511463512073,1607.8293341064452,2223.06122276561,1732.9620507398258,41.143783000600884%,28.281010066928708%,Negative,3.152931957582951%,-3.152931957582951%
BALAMINES.NS,2106.699951171875,2193.88400390625,2242.156815962358,2232.287275390625,2221.0726227646414,2224.3435469843826,0.4421268122852159%,-0.1470512153653432%,Negative,6.041364449896581%,-6.041364449896581%
BIKAJI.NS,489.8500061035156,514.377998046875,534.9909099232067,499.1214567565918,523.7166418481064,496.83640523061865,7.186517966929936%,5.410279185360952%,Negative,8.437695479007418%,-8.437695479007418%
BSOFT.NS,730.9000244140625,771.9120043945312,796.7170507257634,578.693879699707,765.1304416441524,610.6383810125247,37.675043520279125%,25.300090108233608%,Negative,8.261028962759791%,-8.261028962759791%
CESC.NS,119.69999694824219,124.1539990234375,128.51203554326838,97.85788902282715,123.9569688822645,103.83571163299942,31.325166347386247%,19.377974044596876%,Negative,6.856975346919389%,-6.856975346919389%
CANFINHOME.NS,747.0999755859375,768.2199975585937,778.3079542680221,765.7396755981446,767.5446533207601,740.6184445071124,1.641325253267044%,3.6356384334402176%,Negative,4.009721153554808%,-4.009721153554808%
CDSL.NS,1787.3499755859375,1815.16400390625,1826.1670476740057,1502.2709533691407,1806.8355913748335,1560.6767654766345,21.560431131179353%,15.772569397034719%,Negative,2.1256035770391137%,-2.1256035770391137%
CHAMBLFERT.NS,343.8500061035156,355.4520007324219,358.85454628684306,308.2747868347168,354.6289506753544,320.6274489458303,16.40736174744154%,10.60467587579149%,Negative,4.1812317382023245%,-4.1812317382023245%
CUB.NS,135.4499969482422,133.93400024414063,135.72499986128375,135.64543312072755,136.03710688525882,136.58094469339167,0.05865788381197221%,-0.39817985543569206%,Negative,0.20261772946960763%,-0.20261772946960763%
