Stock,Close,Volume,ADR,Mod_ADR,RSI
HFCL.NS,90.1,23353125,7.04,6.85,29.1
INDUSTOWER.NS,248.35,14024872,5.19,4.78,54.1
ITI.NS,259.95,5647031,6.8,6.06,31.71
MMTC.NS,67.05,2428721,5.65,5.45,22.96
GPPL.NS,205.85,12708758,7.14,6.91,46.77
REDINGTON.NS,211.65,5550846,5.33,5.32,51.18
SOBHA.NS,1243.45,426053,7.66,7.47,34.95
SWANENERGY.NS,569.3,12599099,9.39,7.99,32.83
PHOENIXLTD.NS,2646.85,1518565,6.37,5.78,40.2
NHPC.NS,82.95,160183221,5.81,5.6,37.24
SJVN.NS,124.6,119509864,7.64,6.78,54.13
NLCINDIA.NS,209.1,14114208,6.18,5.77,32.66
OIL.NS,555.65,17276038,5.96,6.39,41.8
MRPL.NS,215.65,8757494,7.63,8.23,35.93
CASTROLIND.NS,197.15,3891138,5.21,4.84,45.59
NATIONALUM.NS,136.4,41641387,5.4,5.21,31.95
HINDCOPPER.NS,271.15,39164127,5.74,5.37,53.15
SAIL.NS,121.7,38312218,5.41,4.97,44.32
TV18BRDCST.NS,48.9,6186499,6.27,5.72,15.69
NETWORK18.NS,84.65,2634033,5.51,5.38,14.86
INTELLECT.NS,1119.25,814800,5.57,5.05,73.56
SPARC.NS,350.0,234625,5.13,5.1,50.63
CENTURYTEX.NS,1418.3,197853,5.37,4.77,48.87
HUDCO.NS,188.8,42797939,7.76,6.91,44.68
IRFC.NS,136.95,122337843,6.48,5.75,35.48
INFIBEAM.NS,36.65,75081165,8.56,7.24,54.21
GODFRYPHLP.NS,2942.9,190420,7.39,6.54,55.42
AVANTIFEED.NS,483.25,337983,5.25,4.66,43.71
EIHOTEL.NS,417.05,514050,5.37,6.26,53.83
BLS.NS,353.75,15240607,7.37,6.56,44.73
CHALET.NS,735.25,2257194,5.15,5.07,17.34
KALYANKJIL.NS,370.05,4403727,5.74,5.09,43.97
NBCC.NS,111.85,17995457,5.35,5.16,17.9
KPIL.NS,1030.45,528242,5.59,5.51,56.12
IRB.NS,57.3,36564735,6.12,5.35,32.38
RVNL.NS,245.55,28212318,6.07,5.77,39.34
SOLARINDS.NS,8855.5,769363,6.87,5.56,73.61
TATACHEM.NS,1128.75,1603137,5.7,4.46,61.27
COCHINSHIP.NS,890.45,11812467,5.99,5.27,54.29
JBMA.NS,1892.0,200381,6.44,6.59,30.49
OLECTRA.NS,1748.75,3188227,5.68,5.95,31.93
