Unnamed: 0,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023
Sales +,11969,13295,12217,12731,15862,15531,17290,16130,16226,16398,15828,16550,16483
Expenses +,7654,8822,8225,8116,10760,10306,11642,10266,10003,10189,9578,10508,10459
Operating Profit,4315,4473,3992,4615,5102,5224,5648,5864,6223,6209,6250,6042,6024
OPM %,36%,34%,33%,36%,32%,34%,33%,36%,38%,38%,39%,37%,37%
Other Income +,972,772,429,677,810,674,313,507,872,819,709,896,1130
Interest,14,3,10,10,11,10,9,11,10,12,11,11,12
Depreciation,392,388,395,401,409,446,412,422,407,422,402,413,417
Profit before tax,4880,4854,4015,4880,5492,5442,5540,5939,6678,6595,6546,6514,6725
Tax %,24%,23%,25%,24%,24%,23%,25%,25%,25%,23%,25%,24%,17%
Net Profit +,3688,3748,3013,3697,4156,4191,4169,4466,5031,5087,4903,4927,5572
EPS in Rs,3.00,3.05,2.45,3.00,3.37,3.40,3.38,3.60,4.05,4.09,3.94,3.95,4.47
Raw PDF,,,,,,,,,,,,,
