Stock Symbol,Close Price,SMA 25,SMA 44,SMA 200,EMA 44,EMA 200,SMA Crossover Percentage,EMA Crossover Percentage,Close vs SMA
360ONE.NS,628.2999877929688,641.5312280273438,648.602949662642,516.8878298950195,626.8219159998368,544.2966843779365,25.48234107086134%,15.161810459348377%,Negative
ABB.NS,4400.0,4727.04201171875,4736.235240589489,4288.706556396484,4640.972447750222,4238.91523518304,10.43505024902038%,9.48490805454432%,Negative
APLAPOLLO.NS,1389.9000244140625,1508.715986328125,1546.8386258212004,1476.7453399658202,1537.2105032008071,1489.9177936642657,4.746470766381594%,3.174182477560119%,Negative
AUBANK.NS,622.5999755859375,730.9819897460937,742.2761313698509,730.1206707763672,721.4413758054237,714.7808933821175,1.664856383337054%,0.9318215532862014%,Negative
ATGL.NS,995.6500244140625,1029.9859985351563,1030.6318179043856,746.0432949829102,964.6804383406804,867.6940076317431,38.14638169598381%,11.177492279063793%,Negative
ACI.NS,621.5499877929688,625.8780029296875,626.4681826504794,576.2745402526856,617.5876005646703,599.3863153705403,8.710022548590272%,3.036653444928587%,Negative
ASAHIINDIA.NS,546.4000244140625,554.106005859375,557.0920465642756,538.5033657836914,554.6567511058258,544.6870245344292,3.4519154311193354%,1.8303587422370295%,Negative
ASTRAL.NS,1889.199951171875,1836.7479931640626,1875.654541015625,1855.1572302246093,1865.3299932814075,1826.45428800363,1.1048826728575474%,2.128479509896188%,Positive
DMART.NS,3720.0,3799.6480078125,3905.6977206143465,3740.949246826172,3830.6398230937134,3745.566041883008,4.403921649777726%,2.2713197487217793%,Negative
AXISBANK.NS,1056.25,1093.526005859375,1101.7568165172231,997.6523361206055,1081.4582846060393,1010.2538963081519,10.434945784964567%,7.048167649547814%,Negative
BSE.NS,2465.25,2282.1040234375,2307.635242808949,1337.2348321533202,2251.036346416896,1552.6653487810963,72.567688735195%,44.978848673608155%,Positive
BAJFINANCE.NS,6643.2001953125,7273.11396484375,7313.9840531782675,7231.540446777344,7232.576514155447,7139.042834080237,1.140055939777857%,1.310171156680835%,Negative
BAJAJFINSV.NS,1590.0,1637.53,1661.7272755015981,1556.828384399414,1637.2693005130907,1561.5734861311912,6.737986804027309%,4.847406481614668%,Negative
BERGEPAINT.NS,556.5,579.7299975585937,581.9431776566939,566.2444958496094,577.2789417655756,560.4995407790491,2.772421087030575%,2.9936511568242343%,Negative
BLUEDART.NS,6199.85009765625,6953.17400390625,7124.3159068714485,6698.667346191406,6914.036974588422,6749.948845142026,6.354227470663239%,2.4309536740340074%,Negative
MAPMYINDIA.NS,1862.699951171875,1962.8120068359376,2016.6056906960227,1670.7664227294922,1989.1774343409047,1748.6039297871835,20.699438488926596%,13.758032934479372%,Negative
CCL.NS,650.5999755859375,640.98,641.0693192915483,631.7716799926758,641.9968996364496,624.4338593961536,1.4716771253469698%,2.812634192719785%,Positive
CRISIL.NS,4259.7998046875,4080.97798828125,4161.229536576705,3925.65013671875,4120.888704254581,3908.3513903182597,6.00102891631763%,5.438029816428926%,Positive
CSBBANK.NS,376.1000061035156,388.7680017089844,394.5863640525124,330.87449996948243,384.7229979926124,339.79097593945767,19.255598146398807%,13.223430059884972%,Negative
CANFINHOME.NS,807.3499755859375,774.962001953125,776.2922918146306,744.4818896484375,775.5469664830972,734.3237359294455,4.272824175913106%,5.6137679522880655%,Positive
CDSL.NS,1848.550048828125,1827.6540185546876,1847.4954639781606,1369.3500192260742,1799.4775303469205,1469.4135635867513,34.91769365310437%,22.462292096617286%,Positive
CUB.NS,132.8000030517578,145.18599853515624,149.21477161754262,135.9325193786621,145.11026043275567,140.96629446848294,9.771210229599767%,2.9396856744356192%,Negative
COROMANDEL.NS,1107.0999755859375,1158.015986328125,1191.3727222789419,1068.8971520996095,1155.7133022044952,1084.3574748350625,11.458124847536224%,6.580470834148712%,Negative
CRAFTSMAN.NS,4139.9501953125,4737.77197265625,4961.890891335227,4471.928953857422,4795.863628502811,4507.8624307934115,10.95638912275587%,6.388863948953942%,Negative
CREDITACC.NS,1616.0,1642.542001953125,1658.1318248401988,1417.9512496948241,1630.6403119168772,1435.3152977233187,16.938563663388784%,13.608509189819188%,Negative
DALBHARAT.NS,2216.699951171875,2259.387998046875,2284.4454456676135,2156.7008361816406,2250.2431911883687,2156.355973512197,5.923149253845518%,4.353975819829567%,Negative
DEEPAKFERT.NS,535.0,637.6400024414063,650.8306829279119,604.1268630981446,632.9626167923584,623.0283152135788,7.73079673866116%,1.594518473108887%,Negative
DIXON.NS,6356.39990234375,6215.9020703125,6257.39208984375,4886.471473388672,6096.258788872237,5056.267884232881,28.055430670597392%,20.568350578939697%,Positive
LALPATHLAB.NS,2500.050048828125,2486.4980078125,2526.5886396928267,2333.212009277344,2504.842066066945,2364.5159526209213,8.288000818038674%,5.934665540762397%,Negative
EPL.NS,191.75,197.8659991455078,198.82499902898616,195.7638331604004,197.39789250577243,190.73282637909514,1.5637034784037835%,3.4944515074872284%,Negative
EICHERMOT.NS,3935.0,3800.234013671875,3907.4374944513493,3552.8579223632814,3820.8262983064647,3588.153300137753,9.980122477067967%,6.484477632540927%,Positive
ESCORTS.NS,2953.39990234375,2910.4380078125,2983.9056895862927,2730.886038208008,2979.6843971164967,2785.3779113675505,9.265112049286206%,6.975946960588433%,Negative
NYKAA.NS,160.9499969482422,171.36000061035156,171.49090922962534,148.51875049591064,167.95733044932666,153.90530760359317,15.467514140140326%,9.130304253006425%,Negative
FEDERALBNK.NS,146.85000610351562,148.21400146484376,151.05000027743253,139.76495357513429,148.644163322046,142.5630098426096,8.074303617345443%,4.265589991506238%,Negative
FINCABLES.NS,1108.75,1065.7239990234375,1070.2136369185014,972.8305123901367,1057.9770278244894,955.6223425959892,10.01028681646766%,10.710788212679217%,Positive
GALAXYSURF.NS,2670.800048828125,2741.38798828125,2744.7329489968038,2676.1821105957033,2735.944309238101,2660.7119108760717,2.5615162036129684%,2.8275289051214227%,Negative
GRASIM.NS,2086.949951171875,2088.698876953125,2090.7056163441052,1882.1771014404296,2073.4514310837194,1910.1396078649263,11.079112307980413%,8.549732309950691%,Negative
GAEL.NS,388.6000061035156,360.4100024414063,367.0613653009588,302.4269938659668,363.28298379445795,315.96486305355836,21.371892306556955%,14.975754039106185%,Positive
