Stock Symbol,Close Price,SMA 25,SMA 44,SMA 200,EMA 44,EMA 200,SMA Crossover Percentage,EMA Crossover Percentage,Close vs SMA,Declined Percentage,Positive Incline Percentage
360ONE.NS,628.5,641.539228515625,648.6074953946201,516.8888299560547,626.8308054312604,544.2986745491506,25.48297773232282%,15.16302257220673%,Negative,3.1001022247494125%,-3.1001022247494125%
ABB.NS,4403.0,4727.16201171875,4736.30342240767,4288.7215576171875,4641.105781085053,4238.945086319697,10.43625375948069%,9.487282485995047%,Negative,7.037205868838474%,-7.037205868838474%
APLAPOLLO.NS,1402.8499755859375,1509.233984375,1547.1329428932884,1476.8100897216798,1537.7860565862238,1490.0466488998068,4.761807470103461%,3.2038867858040554%,Negative,9.325828654228495%,-9.325828654228495%
AUBANK.NS,616.5,724.2019897460938,739.1568131880326,729.7424789428711,716.777314658516,713.802974044982,1.2900899312863665%,0.41668929966473445%,Negative,16.594153094389487%,-16.594153094389487%
ATGL.NS,994.9500122070312,1029.957998046875,1030.6159085360441,746.039794921875,964.6493266870347,867.6870423361507,38.14489730322895%,11.174799163742698%,Negative,3.4606390250345633%,-3.4606390250345633%
ACI.NS,616.9500122070312,625.69400390625,626.3636377507991,576.251538848877,617.3831571904213,599.3405489796468,8.696219536702023%,3.010410065110961%,Negative,1.5029010268812972%,-1.5029010268812972%
ASAHIINDIA.NS,545.7999877929688,554.0820043945313,557.0784093683416,538.500365600586,554.6300828115551,544.6810540207864,3.449959360201296%,1.8265788239421696%,Negative,2.024566270331884%,-2.024566270331884%
ASTRAL.NS,1888.75,1836.7299951171874,1875.6443148526278,1855.1549768066407,1865.30999540909,1826.4497992158217,1.104454253264398%,2.127635602684117%,Positive,-0.6987297668109306%,0.6987297668109306%
DMART.NS,3727.39990234375,3799.94400390625,3905.865900213068,3740.9862463378904,3830.9687076423243,3745.6396727521,4.4073846578981914%,2.278089788266496%,Negative,4.569178830732068%,-4.569178830732068%
AXISBANK.NS,1050.050048828125,1093.2780078125,1101.6159085360441,997.6213363647461,1081.1827312206228,1010.1922052517152,10.424253008686254%,7.0274276122748836%,Negative,4.680929106810545%,-4.680929106810545%
