Stock Symbol,Close Price,SMA 25,SMA 44,SMA 200,EMA 44,EMA 200,SMA Crossover Percentage,EMA Crossover Percentage,Close vs SMA,Declined Percentage,Positive Incline Percentage
AGI.NS,820.7000122070312,825.926005859375,846.3250038840554,738.9482272338868,840.3926465240601,742.7576879987754,14.531028385048478%,13.144927356907498%,Negative,3.0277956529020016%,-3.0277956529020016%
AHLUCONT.NS,892.75,823.0180029296876,823.0750024968928,701.0432821655273,817.5549803536669,712.8254809834833,17.40715922052754%,14.692165496902355%,Positive,-8.46520636536647%,8.46520636536647%
ASTRAMICRO.NS,660.0999755859375,589.7639916992188,597.7113564231179,439.9582021331787,581.7620229465977,464.1130919757603,35.85639579511376%,25.34919462624896%,Positive,-10.437917649109368%,10.437917649109368%
BASF.NS,3174.75,3024.13400390625,3024.5772760564632,2688.8259509277345,2993.3309416245984,2733.3569720670466,12.486911806726772%,9.511160533157572%,Positive,-4.965081405998546%,4.965081405998546%
CMSINFO.NS,384.25,375.660771484375,378.45683219216085,355.6010543823242,377.61018707228345,357.6319148813066,6.427365028356544%,5.586266594134186%,Positive,-1.5307341062606798%,1.5307341062606798%
CARTRADE.NS,704.5,715.287998046875,727.0727261629971,589.9757502746583,720.8064604827149,628.7040770479887,23.237730673593706%,14.649560388916658%,Negative,3.104603618144344%,-3.104603618144344%
CARYSIL.NS,1060.6500244140625,867.96400390625,873.6954567649148,709.9515762329102,862.5679352655194,725.1298870989294,23.064091413227032%,18.95357654012119%,Positive,-21.398138928339606%,21.398138928339606%
CIGNITITEC.NS,1005.8499755859375,1029.847998046875,1057.1443204012785,913.2419714355469,1037.1506918574826,924.3675696944506,15.75730786217896%,12.201111966780964%,Negative,4.852161036618947%,-4.852161036618947%
CONFIPET.NS,98.30000305175781,88.32000091552734,90.26818223433061,80.29677297592163,89.02002326756904,82.39430240450858,12.41819426715826%,8.041479410229108%,Positive,-8.897731868109512%,8.897731868109512%
DCXINDIA.NS,356.95001220703125,354.7259997558594,354.96022727272725,288.1285008239746,348.3684322427353,296.46606624653185,23.195111298476487%,17.5070174652107%,Positive,-0.5605656018400008%,0.5605656018400008%
