Symbol,Percentage Change
360ONE.NS,-6.077580826121174
3MINDIA.NS,-4.874972442896923
ABB.NS,-7.8544725199664756
APLAPOLLO.NS,-5.263040561357642
AUBANK.NS,-14.39091146930771
AAVAS.NS,-6.008334688494283
ADANIENSOL.NS,-6.230824501922572
ATGL.NS,-3.518236097642969
AWL.NS,-5.092865896394174
AETHER.NS,-4.192657575781226
AFFLE.NS,-5.225635371356755
AJANTPHARM.NS,-1.410171049820594
ALKEM.NS,-2.7673365674561134
ALKYLAMINE.NS,-8.612778356464457
ALLCARGO.NS,-3.144754853960187
ALOKINDS.NS,-3.634534593100243
ANGELONE.NS,-5.438307532901594
ANURAS.NS,-6.940425275868484
ASAHIINDIA.NS,-3.9473501275998357
ASIANPAINT.NS,-7.991453503029708
ATUL.NS,-5.680691262250698
AUROPHARMA.NS,-8.879452191615036
DMART.NS,-2.2110849107941757
AXISBANK.NS,-3.031764291202517
BAJFINANCE.NS,-9.291707275590305
BALAMINES.NS,-8.762011679311891
BALKRISIND.NS,-5.772477683201321
BANDHANBNK.NS,-4.189811320863808
BATAINDIA.NS,-6.48007794677174
BAYERCROP.NS,-1.0953935477514152
BERGEPAINT.NS,-2.348450575237938
BEL.NS,-0.964598960894121
BHARATFORG.NS,-0.022114287005662932
BIKAJI.NS,-4.629107473344554
BLUEDART.NS,-9.403503741603762
BRITANNIA.NS,-0.5961517363321078
MAPMYINDIA.NS,-8.044355277773288
CCL.NS,-0.8115036456108022
CGPOWER.NS,-3.531250845851093
CSBBANK.NS,-2.48017976545731
CAMPUS.NS,-7.140866575583116
CARBORUNIV.NS,-3.8446283569754978
CENTURYPLY.NS,-4.730727607547624
CHAMBLFERT.NS,-6.899596333898588
CHEMPLASTS.NS,-3.6260372681804522
CHOLAFIN.NS,-7.8352733780455015
CUB.NS,-6.927825649116165
CLEAN.NS,-6.635678490222475
CONCORDBIO.NS,-0.9310548453705482
COROMANDEL.NS,-6.437193627170696
CRAFTSMAN.NS,-12.378637293431998
CREDITACC.NS,-4.028323718861461
CROMPTON.NS,-2.9028122615131853
CYIENT.NS,-0.3078559825852969
DCMSHRIRAM.NS,-1.6990947080465664
DABUR.NS,-2.222841225502415
DALBHARAT.NS,-3.31881563322803
DATAPATTNS.NS,-1.4287824017322988
DEEPAKFERT.NS,-15.662538580461668
DEEPAKNTR.NS,-6.279486045269202
DELTACORP.NS,-7.072087461564738
DEVYANI.NS,-10.266105641632626
DIVISLAB.NS,-2.4603751321409613
LALPATHLAB.NS,-2.4543280626008324
EPL.NS,-3.285313776186396
EMAMILTD.NS,-4.555745349397141
EPIGRAL.NS,-1.941306931266891
EQUITASBNK.NS,-5.3571780996707865
ERIS.NS,-2.3000558001535936
NYKAA.NS,-6.949117672304094
FEDERALBNK.NS,-0.8774988561761111
FACT.NS,-0.14210609960039994
FINEORG.NS,-3.997663497228522
FINPIPE.NS,-4.350477844556815
GMMPFAUDLR.NS,-3.2711305394424697
GALAXYSURF.NS,-4.094622426055013
GILLETTE.NS,-0.044441431466037226
GLENMARK.NS,-0.37495363381344754
GOCOLORS.NS,-9.868492534520366
GESHIP.NS,-0.39203679727927876
GRINDWELL.NS,-3.1045072046841624
GNFC.NS,-5.647712448581715
GSFC.NS,-6.6034307030260715
HDFCBANK.NS,-7.856007704790076
HDFCLIFE.NS,-7.936615542581972
HLEGLAS.NS,-4.913809844246252
HAPPSTMNDS.NS,-3.6180604435885675
HAVELLS.NS,-1.9523783462682915
HAL.NS,-0.9068098681248785
HINDUNILVR.NS,-4.571739193586767
HINDZINC.NS,-0.22130656923260453
HOMEFIRST.NS,-0.26142998605057677
ICICIPRULI.NS,-2.1406213318624046
IDFCFIRSTB.NS,-1.7897110614145544
IDFC.NS,-2.7713829532920204
IIFL.NS,-4.136456701320104
ITC.NS,-5.156453361457341
INDIACEM.NS,-7.904249254674825
IBULHSGFIN.NS,-9.079707824253447
INDIAMART.NS,-0.22358557412671087
IEX.NS,-3.503936285813494
INDIGOPNTS.NS,-3.7150403936606375
INDUSTOWER.NS,-0.9636720204591032
INDUSINDBK.NS,-3.1168273558389243
JKPAPER.NS,-2.952866881888954
JSWSTEEL.NS,-1.1812808079710724
JUBLFOOD.NS,-7.719550537377365
JUBLINGREA.NS,-9.76977030636784
JUBLPHARMA.NS,-0.0907694826120069
JUSTDIAL.NS,-2.330282551771102
JYOTHYLAB.NS,-3.2541927042570205
