Stock Symbol,Close Price,SMA 25,SMA 44,SMA 200,EMA 44,EMA 200,SMA Crossover Percentage,EMA Crossover Percentage,Close vs SMA,Declined Percentage,Positive Incline Percentage
360ONE.NS,716.0,644.4176000976563,653.8837946111506,526.430884399414,640.3037864083109,552.6330710495786,24.210758522867255%,15.864181850757728%,Positive,-9.499578656141558%,9.499578656141558%
3MINDIA.NS,30706.25,33358.651796875,33411.52254971591,29742.472685546876,32894.75052663422,29937.227103980204,12.336061977631005%,9.879082696542756%,Negative,8.096825116815618%,-8.096825116815618%
ABB.NS,4492.0,4641.30400390625,4697.5807106711645,4340.489998779297,4604.21869577472,4279.210667319715,8.226967738487923%,7.595046229835976%,Negative,4.376310346390882%,-4.376310346390882%
APLAPOLLO.NS,1412.0,1471.1939892578125,1507.6943081942472,1483.7790350341797,1492.0884756821695,1486.1608436509155,1.6117813094398248%,0.3988553497811269%,Negative,6.347063040176858%,-6.347063040176858%
ATGL.NS,1009.2999877929688,1015.1319970703125,1021.5772718949752,749.6164282226563,979.4878922442895,839.9247985576553,36.280000468658244%,16.616141579138535%,Negative,1.201796911479117%,-1.201796911479117%
AFFLE.NS,1167.0,1213.6699951171875,1233.202264959162,1093.7802490234376,1196.57175124586,1117.8279966255056,12.746803213918417%,7.04435341197981%,Negative,5.368321713336645%,-5.368321713336645%
ALKEM.NS,5250.0,5051.4880078125,5057.693181818182,4034.5583618164064,4977.022967632925,4221.473630356771,25.359276734843117%,17.897762805930423%,Positive,-3.802263428575277%,3.802263428575277%
ALLCARGO.NS,74.6500015258789,78.77600006103516,79.13437513871627,71.89775005340576,77.22386624417935,74.98741937822302,10.06516209469021%,2.9824294321639333%,Negative,5.666783373188465%,-5.666783373188465%
ANGELONE.NS,3280.25,3290.752900390625,3354.4834150834517,2216.978427734375,3234.919337915852,2426.7146205575514,51.30879818760986%,33.304481314437%,Negative,2.2129611596724796%,-2.2129611596724796%
ACI.NS,634.5,623.1646533203125,629.2525634765625,579.0853805541992,622.0154325927016,600.7140223237548,8.663175519014489%,3.5460151548562373%,Positive,-0.8339157959795819%,0.8339157959795819%
ASAHIINDIA.NS,546.6500244140625,546.0740063476562,554.0568195689808,541.2047216796875,550.6218766072816,544.7801560131213,2.3747202074300877%,1.072307889647063%,Negative,1.3368295260187042%,-1.3368295260187042%
ASHOKLEY.NS,174.85000610351562,174.21800048828126,175.20000006935814,170.94033065795898,174.92540893698936,169.86449615303954,2.4919042773600886%,2.9793823303665437%,Negative,0.19976824526481696%,-0.19976824526481696%
DMART.NS,3697.10009765625,3749.22599609375,3847.3488547585225,3749.7262463378906,3797.690965368601,3752.006164308704,2.603459612977705%,1.2176099680879569%,Negative,3.905254313407013%,-3.905254313407013%
AXISBANK.NS,1078.5,1079.336005859375,1092.1806834827769,1004.2430865478516,1076.8526041895573,1012.7218625259411,8.756604662046147%,6.332512808962237%,Negative,1.2526025857875027%,-1.2526025857875027%
BAJAJFINSV.NS,1570.0,1605.2800048828126,1641.6897721724076,1565.2465698242188,1619.9399189800545,1568.7750454455283,4.8837802185232455%,3.2614538128374817%,Negative,4.366828214903375%,-4.366828214903375%
BALAMINES.NS,2199.89990234375,2350.025986328125,2420.6113558682528,2240.0145007324218,2330.6494329665866,2248.578350077708,8.062307412598486%,3.6499098590912964%,Negative,9.118004548290463%,-9.118004548290463%
BALKRISIND.NS,2336.449951171875,2487.530634765625,2508.8330910422587,2440.8214892578126,2481.1154157468104,2419.1457214200723,2.7864226074610086%,2.561635447506695%,Negative,6.871048555835559%,-6.871048555835559%
BERGEPAINT.NS,555.3499755859375,568.813994140625,578.0977228338069,568.7151805114746,571.2134557386198,559.8961716589187,1.6497787721956105%,2.0213183537528265%,Negative,3.9349311283153%,-3.9349311283153%
BHARATFORG.NS,1099.25,1221.58599609375,1225.5249966708097,1018.5123852539062,1202.9570808298367,1062.099323611876,20.32499696754272%,13.262201951032845%,Negative,10.303747129910944%,-10.303747129910944%
BLUEDART.NS,6185.7001953125,6594.23203125,6922.70683149858,6702.8255297851565,6692.215606103702,6694.014375560499,3.2804270488071503%,-0.02687131153114415%,Negative,10.646220533746593%,-10.646220533746593%
BRITANNIA.NS,4943.25,5078.7680078125,5107.9965931285515,4797.591245117187,5037.793853563929,4806.250777845522,6.470024896916418%,4.81754045764128%,Negative,3.2252682656479084%,-3.2252682656479084%
