Date,Open,High,Low,Close,Adj Close,Volume
1993-07-20,6.375,6.875,6.375,6.875,2.628251314163208,556600.0
1993-07-21,6.875,6.875,6.625,6.875,2.628251314163208,93600.0
1993-07-22,6.875,7.0,6.75,6.9375,2.6521456241607666,67000.0
1993-07-23,7.0,7.0,6.8125,6.875,2.628251314163208,46800.0
1993-07-26,7.0,7.0,6.875,7.0,2.6760385036468506,43200.0
1993-07-27,7.0,7.125,7.0,7.0,2.6760385036468506,44400.0
1993-07-28,7.0,7.125,6.875,7.0,2.6760385036468506,48400.0
1993-07-29,6.875,7.0,6.875,7.0,2.6760385036468506,9200.0
1993-07-30,7.0,7.0,6.875,7.0,2.6760385036468506,13400.0
1993-08-02,7.0,7.0,6.75,7.0,2.6760385036468506,54200.0
1993-08-03,6.75,7.0,6.75,7.0,2.6760385036468506,37400.0
1993-08-04,6.75,6.8125,6.75,6.8125,2.6043591499328613,22000.0
1993-08-05,6.75,6.875,6.75,6.875,2.628251314163208,30000.0
1993-08-06,7.0,7.0,6.75,6.75,2.580465316772461,20400.0
1993-08-09,6.75,6.8125,6.75,6.75,2.580465316772461,31000.0
1993-08-10,6.625,6.875,6.625,6.6875,2.5565719604492188,85200.0
1993-08-11,6.875,6.875,6.5,6.625,2.532679319381714,150400.0
1993-08-12,6.75,6.75,6.5,6.5625,2.508786678314209,35000.0
1993-08-13,6.625,6.75,6.5625,6.5625,2.508786678314209,49800.0
1993-08-16,6.5,6.6875,6.5,6.625,2.532679319381714,22200.0
1993-08-17,6.5625,6.75,6.5,6.5625,2.508786678314209,21000.0
1993-08-18,6.75,6.75,6.5,6.5,2.484891891479492,6800.0
1993-08-19,6.75,6.75,6.625,6.6875,2.5565719604492188,20600.0
1993-08-20,6.75,6.75,6.625,6.75,2.580465316772461,41200.0
1993-08-23,6.75,6.75,6.5,6.75,2.580465316772461,51600.0
1993-08-24,6.75,6.75,6.5,6.625,2.532679319381714,35800.0
1993-08-25,6.75,6.75,6.6875,6.75,2.580465316772461,7400.0
1993-08-26,6.75,6.75,6.625,6.75,2.580465316772461,58200.0
1993-08-27,6.625,6.75,6.625,6.6875,2.5565719604492188,166400.0
1993-08-30,6.75,6.75,6.5,6.625,2.532679319381714,14000.0
1993-08-31,6.75,6.75,6.5,6.6875,2.5565719604492188,95600.0
1993-09-01,6.75,6.75,6.5,6.5,2.484891891479492,102200.0
1993-09-02,6.5,6.75,6.5,6.625,2.532679319381714,64000.0
1993-09-03,6.75,6.75,6.5,6.625,2.532679319381714,8600.0
1993-09-07,6.625,6.625,6.5,6.5,2.484891891479492,4800.0
1993-09-08,6.75,6.75,6.5,6.5,2.484891891479492,74800.0
1993-09-09,6.5625,6.75,6.5,6.75,2.580465316772461,122200.0
1993-09-10,6.75,6.875,6.75,6.875,2.628251314163208,600.0
1993-09-13,6.5,6.75,6.5,6.5625,2.508786678314209,29800.0
1993-09-14,6.75,6.75,6.75,6.75,2.580465316772461,200.0
1993-09-15,6.75,6.75,6.625,6.625,2.532679319381714,16200.0
1993-09-16,6.875,6.875,6.75,6.875,2.628251314163208,22400.0
1993-09-17,7.0,7.125,6.875,7.0625,2.6999318599700928,69400.0
1993-09-20,6.875,7.25,6.875,7.0625,2.6999318599700928,23000.0
1993-09-21,7.0625,7.0625,6.875,6.875,2.628251314163208,60200.0
1993-09-22,7.125,7.125,7.125,7.125,2.723825216293335,23000.0
1993-09-23,7.0625,7.125,7.0625,7.125,2.723825216293335,9600.0
1993-09-24,7.0625,7.25,7.0,7.25,2.7716119289398193,9000.0
1993-09-27,7.25,7.25,7.0,7.25,2.7716119289398193,32200.0
1993-09-28,7.25,7.375,7.125,7.25,2.7716119289398193,32600.0
1993-09-29,7.375,7.375,7.375,7.375,2.819396734237671,1600.0
1993-09-30,7.375,7.625,7.375,7.625,2.914971351623535,47000.0
1993-10-01,7.625,7.75,7.5,7.625,2.914971351623535,47000.0
1993-10-04,7.625,7.625,7.625,7.625,2.914971351623535,0.0
1993-10-05,7.75,7.75,7.5,7.75,2.9872426986694336,180400.0
1993-10-06,7.75,7.75,7.5,7.75,2.9872426986694336,15000.0
1993-10-07,7.75,7.75,7.75,7.75,2.9872426986694336,200.0
1993-10-08,7.75,7.75,7.75,7.75,2.9872426986694336,0.0
1993-10-11,7.5,7.6875,7.5,7.6875,2.963151454925537,11200.0
1993-10-12,7.6875,7.6875,7.6875,7.6875,2.963151454925537,0.0
1993-10-13,7.75,7.75,7.5,7.75,2.9872426986694336,2600.0
1993-10-14,7.5625,7.75,7.5,7.75,2.9872426986694336,15200.0
1993-10-15,7.75,7.75,7.75,7.75,2.9872426986694336,2200.0
1993-10-18,7.5,7.75,7.5,7.75,2.9872426986694336,4200.0
1993-10-19,7.625,7.625,7.625,7.625,2.9390616416931152,20200.0
1993-10-20,7.375,7.375,7.375,7.375,2.842697858810425,800.0
1993-10-21,7.625,7.75,7.5,7.5,2.8908791542053223,54000.0
1993-10-22,7.5,7.75,7.5,7.5,2.8908791542053223,22200.0
1993-10-25,7.5,7.75,7.5,7.6875,2.963151454925537,8000.0
1993-10-26,7.5,7.5,7.5,7.5,2.8908791542053223,2000.0
1993-10-27,7.5,7.75,7.5,7.75,2.9872426986694336,6400.0
1993-10-28,7.75,7.75,7.5,7.5,2.8908791542053223,9000.0
1993-10-29,7.5,7.75,7.5,7.625,2.9390616416931152,19600.0
1993-11-01,7.6875,7.6875,7.5625,7.5625,2.914970874786377,10200.0
1993-11-02,7.75,7.75,7.5,7.625,2.9390616416931152,17200.0
1993-11-03,7.5,7.5625,7.5,7.5,2.8908791542053223,31400.0
1993-11-04,7.5,7.5,7.5,7.5,2.8908791542053223,4000.0
1993-11-05,7.5,7.5,7.25,7.25,2.7945172786712646,16400.0
1993-11-08,7.5,7.5,7.5,7.5,2.8908791542053223,800.0
1993-11-09,7.375,7.375,7.375,7.375,2.842697858810425,10000.0
1993-11-10,7.375,7.375,7.375,7.375,2.842697858810425,0.0
1993-11-11,7.375,7.375,7.375,7.375,2.842697858810425,0.0
1993-11-12,7.375,7.375,7.375,7.375,2.842697858810425,0.0
1993-11-15,7.4375,7.625,7.4375,7.5,2.8908791542053223,1600.0
1993-11-16,7.5,7.5,7.5,7.5,2.8908791542053223,0.0
1993-11-17,7.4375,7.4375,7.4375,7.4375,2.866787910461426,200.0
1993-11-18,7.3125,7.5,7.125,7.125,2.74633526802063,15000.0
1993-11-19,7.0,7.25,7.0,7.25,2.7945172786712646,3400.0
1993-11-22,7.25,7.25,7.25,7.25,2.7945172786712646,0.0
1993-11-23,7.25,7.25,7.25,7.25,2.7945172786712646,0.0
1993-11-24,7.0,7.0,7.0,7.0,2.6981544494628906,2200.0
1993-11-26,7.0,7.0,7.0,7.0,2.6981544494628906,0.0
1993-11-29,7.125,7.125,7.0,7.0,2.6981544494628906,11400.0
1993-11-30,7.0,7.0,7.0,7.0,2.6981544494628906,0.0
1993-12-01,7.0625,7.0625,7.0625,7.0625,2.7222442626953125,2800.0
1993-12-02,6.875,7.125,6.875,7.125,2.74633526802063,2600.0
1993-12-03,7.125,7.125,6.75,6.75,2.601792097091675,58400.0
1993-12-06,6.75,6.75,6.75,6.75,2.601792097091675,0.0
1993-12-07,7.0,7.0,6.5,6.5625,2.5295205116271973,34000.0
1993-12-08,6.75,6.75,6.75,6.75,2.601792097091675,600.0
1993-12-09,6.75,6.75,6.75,6.75,2.601792097091675,4200.0
1993-12-10,6.75,6.75,6.75,6.75,2.601792097091675,1600.0
1993-12-13,6.75,6.75,6.75,6.75,2.601792097091675,1800.0
1993-12-14,6.75,6.875,6.625,6.875,2.649972438812256,3800.0
1993-12-15,6.6875,6.8125,6.6875,6.6875,2.5777008533477783,3200.0
1993-12-16,6.625,6.625,6.625,6.625,2.5536093711853027,22000.0
1993-12-17,6.625,6.625,6.625,6.625,2.5536093711853027,0.0
1993-12-20,6.625,7.0,6.625,7.0,2.6981544494628906,12800.0
1993-12-21,6.625,6.75,6.625,6.6875,2.5777008533477783,2800.0
1993-12-22,6.625,6.625,6.625,6.625,2.5536093711853027,1000.0
1993-12-23,6.625,6.625,6.625,6.625,2.5536093711853027,0.0
1993-12-27,6.875,6.875,6.875,6.875,2.649972438812256,600.0
1993-12-28,6.625,6.8125,6.625,6.8125,2.625882863998413,4200.0
1993-12-29,6.625,6.625,6.625,6.625,2.5536093711853027,1000.0
1993-12-30,6.875,6.875,6.75,6.75,2.601792097091675,21800.0
1993-12-31,6.875,6.9375,6.875,6.9375,2.6740639209747314,13600.0
1994-01-03,6.9375,6.9375,6.9375,6.9375,2.6740639209747314,0.0
1994-01-04,7.0,7.0,6.75,6.875,2.649972438812256,2400.0
1994-01-05,6.875,6.875,6.875,6.875,2.649972438812256,1200.0
1994-01-06,6.75,7.125,6.75,6.9375,2.703557014465332,6600.0
1994-01-07,6.9375,6.9375,6.9375,6.9375,2.703557014465332,0.0
1994-01-10,6.75,6.75,6.75,6.75,2.630488872528076,1800.0
1994-01-11,6.75,6.75,6.75,6.75,2.630488872528076,0.0
1994-01-12,6.9375,6.9375,6.9375,6.9375,2.703557014465332,1200.0
1994-01-13,6.75,7.125,6.75,7.125,2.776625156402588,1600.0
1994-01-14,7.125,7.125,7.125,7.125,2.776625156402588,0.0
1994-01-17,7.125,7.125,7.125,7.125,2.776625156402588,0.0
1994-01-18,7.125,7.125,7.125,7.125,2.776625156402588,0.0
1994-01-19,7.125,7.125,7.125,7.125,2.776625156402588,200.0
1994-01-20,7.125,7.125,7.125,7.125,2.776625156402588,0.0
1994-01-21,6.75,7.125,6.75,7.125,2.776625156402588,600.0
1994-01-24,6.75,7.125,6.75,7.125,2.776625156402588,2000.0
1994-01-25,7.125,7.125,7.125,7.125,2.776625156402588,0.0
1994-01-26,7.125,7.25,7.0,7.25,2.825338125228882,9800.0
1994-01-27,7.25,7.25,7.25,7.25,2.825338125228882,0.0
1994-01-28,7.25,7.25,7.25,7.25,2.825338125228882,400.0
1994-01-31,7.25,7.25,7.25,7.25,2.825338125228882,1200.0
1994-02-01,6.875,6.875,6.875,6.875,2.6791999340057373,1000.0
1994-02-02,6.875,6.875,6.875,6.875,2.6791999340057373,0.0
1994-02-03,6.875,6.875,6.875,6.875,2.6791999340057373,2400.0
1994-02-04,7.25,7.25,7.0,7.0,2.727912664413452,3800.0
1994-02-07,6.75,7.0,6.75,7.0,2.727912664413452,17800.0
1994-02-08,7.125,7.125,6.875,6.9375,2.703557014465332,24800.0
1994-02-09,6.875,7.125,6.875,7.0,2.727912664413452,7000.0
1994-02-10,7.0,7.0,6.875,6.875,2.6791999340057373,3400.0
1994-02-11,6.875,6.875,6.875,6.875,2.6791999340057373,1000.0
1994-02-14,6.875,7.125,6.875,7.125,2.776625156402588,400.0
1994-02-15,6.875,7.0625,6.875,7.0625,2.752269744873047,3000.0
1994-02-16,7.0,7.125,7.0,7.125,2.776625156402588,1800.0
1994-02-17,7.0625,7.0625,7.0,7.0,2.727912664413452,9400.0
1994-02-18,6.875,6.875,6.875,6.875,2.6791999340057373,1000.0
1994-02-22,7.0,7.0,6.875,6.875,2.6791999340057373,12000.0
1994-02-23,7.0,7.0,6.9375,6.9375,2.703557014465332,2200.0
1994-02-24,6.875,6.875,6.875,6.875,2.6791999340057373,2000.0
1994-02-25,7.0,7.0,7.0,7.0,2.727912664413452,10000.0
1994-02-28,6.9375,7.0,6.875,6.875,2.6791999340057373,34000.0
1994-03-01,7.0,7.0,7.0,7.0,2.727912664413452,800.0
1994-03-02,7.0,7.0,7.0,7.0,2.727912664413452,0.0
1994-03-03,7.0,7.0,7.0,7.0,2.727912664413452,0.0
1994-03-04,7.0,7.0,7.0,7.0,2.727912664413452,0.0
1994-03-07,6.875,6.875,6.875,6.875,2.6791999340057373,200.0
1994-03-08,6.875,6.875,6.875,6.875,2.6791999340057373,2000.0
1994-03-09,6.875,6.875,6.875,6.875,2.6791999340057373,14800.0
1994-03-10,6.875,6.875,6.875,6.875,2.6791999340057373,0.0
1994-03-11,6.75,6.75,6.75,6.75,2.630488872528076,3000.0
1994-03-14,6.75,6.75,6.75,6.75,2.630488872528076,6000.0
1994-03-15,7.0,7.0,7.0,7.0,2.727912664413452,200.0
1994-03-16,6.75,6.8125,6.75,6.75,2.630488872528076,5000.0
1994-03-17,7.0,7.0,6.75,6.875,2.6791999340057373,5200.0
1994-03-18,6.875,6.875,6.875,6.875,2.6791999340057373,0.0
1994-03-21,6.75,6.75,6.75,6.75,2.630488872528076,2000.0
1994-03-22,6.75,7.0,6.75,7.0,2.727912664413452,400.0
1994-03-23,7.0,7.0,7.0,7.0,2.727912664413452,0.0
1994-03-24,6.75,6.875,6.75,6.875,2.6791999340057373,10200.0
1994-03-25,6.9375,6.9375,6.9375,6.9375,2.703557014465332,600.0
1994-03-28,6.9375,6.9375,6.9375,6.9375,2.703557014465332,0.0
