Date,Open,High,Low,Close,Adj Close,Volume
2010-10-20,22.344999313354492,22.344999313354492,22.344999313354492,22.344999313354492,22.344999313354492,499.0
2010-10-21,22.344999313354492,22.344999313354492,22.344999313354492,22.344999313354492,22.344999313354492,0.0
2010-10-22,22.344999313354492,22.344999313354492,22.344999313354492,22.344999313354492,22.344999313354492,0.0
2010-10-25,22.344999313354492,22.344999313354492,22.344999313354492,22.344999313354492,22.344999313354492,0.0
2010-10-26,22.344999313354492,22.344999313354492,22.344999313354492,22.344999313354492,22.344999313354492,0.0
2010-10-27,22.344999313354492,22.344999313354492,22.344999313354492,22.344999313354492,22.344999313354492,0.0
2010-10-28,22.344999313354492,22.344999313354492,22.344999313354492,22.344999313354492,22.344999313354492,0.0
2010-10-29,22.344999313354492,22.344999313354492,22.344999313354492,22.344999313354492,22.344999313354492,0.0
2010-11-01,22.344999313354492,22.344999313354492,22.344999313354492,22.344999313354492,22.344999313354492,0.0
2010-11-02,22.344999313354492,22.344999313354492,22.344999313354492,22.344999313354492,22.344999313354492,0.0
2010-11-03,22.344999313354492,22.344999313354492,22.344999313354492,22.344999313354492,22.344999313354492,0.0
2010-11-04,22.344999313354492,22.344999313354492,22.344999313354492,22.344999313354492,22.344999313354492,0.0
2010-11-05,22.344999313354492,22.344999313354492,22.344999313354492,22.344999313354492,22.344999313354492,0.0
2010-11-08,22.344999313354492,22.344999313354492,22.344999313354492,22.344999313354492,22.344999313354492,0.0
2010-11-09,22.344999313354492,22.344999313354492,22.344999313354492,22.344999313354492,22.344999313354492,0.0
2010-11-10,22.344999313354492,22.344999313354492,22.344999313354492,22.344999313354492,22.344999313354492,0.0
2010-11-11,22.344999313354492,22.344999313354492,22.344999313354492,22.344999313354492,22.344999313354492,0.0
2010-11-12,22.344999313354492,22.344999313354492,22.344999313354492,22.344999313354492,22.344999313354492,0.0
2010-11-15,22.344999313354492,22.344999313354492,22.344999313354492,22.344999313354492,22.344999313354492,0.0
2010-11-16,22.344999313354492,22.344999313354492,22.344999313354492,22.344999313354492,22.344999313354492,0.0
2010-11-17,22.299999237060547,22.299999237060547,22.299999237060547,22.299999237060547,22.299999237060547,0.0
2010-11-18,22.299999237060547,22.299999237060547,22.299999237060547,22.299999237060547,22.299999237060547,0.0
2010-11-19,22.299999237060547,22.299999237060547,22.299999237060547,22.299999237060547,22.299999237060547,0.0
2011-02-04,23.5,23.5,23.5,23.5,23.5,10.0
2011-11-17,23.5,23.5,23.5,23.5,23.5,0.0
2011-11-18,23.5,23.5,23.5,23.5,23.5,0.0
2011-11-21,23.5,23.5,23.5,23.5,23.5,0.0
2011-11-22,23.5,23.5,23.5,23.5,23.5,0.0
2011-11-23,23.5,23.5,23.5,23.5,23.5,0.0
2011-11-25,23.5,23.5,23.5,23.5,23.5,0.0
2011-11-28,23.5,23.5,23.5,23.5,23.5,0.0
2011-11-29,23.5,23.5,23.5,23.5,23.5,0.0
2011-11-30,23.5,23.5,23.5,23.5,23.5,0.0
2011-12-01,23.5,23.5,23.5,23.5,23.5,0.0
2011-12-02,23.5,23.5,23.5,23.5,23.5,0.0
2011-12-05,23.5,23.5,23.5,23.5,23.5,0.0
2011-12-06,23.5,23.5,23.5,23.5,23.5,0.0
2011-12-07,23.5,23.5,23.5,23.5,23.5,0.0
2011-12-08,23.5,23.5,23.5,23.5,23.5,0.0
2011-12-09,23.5,23.5,23.5,23.5,23.5,0.0
2011-12-12,23.5,23.5,23.5,23.5,23.5,0.0
2011-12-13,23.5,23.5,23.5,23.5,23.5,0.0
2011-12-14,23.5,23.5,23.5,23.5,23.5,0.0
2011-12-15,23.5,23.5,23.5,23.5,23.5,0.0
2011-12-16,23.5,23.5,23.5,23.5,23.5,0.0
2011-12-19,23.5,23.5,23.5,23.5,23.5,0.0
2011-12-20,23.5,23.5,23.5,23.5,23.5,0.0
2011-12-21,23.5,23.5,23.5,23.5,23.5,0.0
2011-12-22,23.5,23.5,23.5,23.5,23.5,0.0
2011-12-23,23.5,23.5,23.5,23.5,23.5,0.0
2011-12-27,23.5,23.5,23.5,23.5,23.5,0.0
2011-12-28,23.5,23.5,23.5,23.5,23.5,0.0
2011-12-29,23.5,23.5,23.5,23.5,23.5,0.0
2011-12-30,23.5,23.5,23.5,23.5,23.5,0.0
2012-01-03,23.5,23.5,23.5,23.5,23.5,0.0
2012-01-04,23.5,23.5,23.5,23.5,23.5,0.0
2012-01-05,23.5,23.5,23.5,23.5,23.5,0.0
2012-01-06,23.5,23.5,23.5,23.5,23.5,0.0
2012-01-09,23.5,23.5,23.5,23.5,23.5,0.0
2012-01-10,23.5,23.5,23.5,23.5,23.5,0.0
2012-01-11,23.5,23.5,23.5,23.5,23.5,0.0
2012-01-12,23.5,23.5,23.5,23.5,23.5,0.0
2012-01-13,23.5,23.5,23.5,23.5,23.5,0.0
2012-01-17,23.5,23.5,23.5,23.5,23.5,0.0
2012-01-18,23.5,23.5,23.5,23.5,23.5,0.0
2012-01-19,23.5,23.5,23.5,23.5,23.5,0.0
2012-01-20,23.5,23.5,23.5,23.5,23.5,0.0
2012-01-23,23.5,23.5,23.5,23.5,23.5,0.0
2012-01-24,23.5,23.5,23.5,23.5,23.5,0.0
2012-01-25,23.5,23.5,23.5,23.5,23.5,0.0
2012-01-26,23.5,23.5,23.5,23.5,23.5,0.0
2012-01-27,23.5,23.5,23.5,23.5,23.5,0.0
2012-01-30,23.5,23.5,23.5,23.5,23.5,0.0
2012-01-31,23.5,23.5,23.5,23.5,23.5,0.0
2012-02-01,23.5,23.5,23.5,23.5,23.5,0.0
2012-02-02,23.5,23.5,23.5,23.5,23.5,0.0
2012-02-03,23.5,23.5,23.5,23.5,23.5,0.0
2012-02-06,23.5,23.5,23.5,23.5,23.5,0.0
2012-02-07,23.5,23.5,23.5,23.5,23.5,0.0
2012-02-08,23.5,23.5,23.5,23.5,23.5,0.0
2012-02-09,23.5,23.5,23.5,23.5,23.5,0.0
2012-02-10,23.5,23.5,23.5,23.5,23.5,0.0
2012-02-13,23.5,23.5,23.5,23.5,23.5,0.0
2012-02-14,23.5,23.5,23.5,23.5,23.5,0.0
2012-02-15,23.5,23.5,23.5,23.5,23.5,0.0
2012-02-16,23.5,23.5,23.5,23.5,23.5,0.0
2012-02-17,23.5,23.5,23.5,23.5,23.5,0.0
2012-02-21,23.5,23.5,23.5,23.5,23.5,0.0
2012-02-22,23.5,23.5,23.5,23.5,23.5,0.0
2012-02-23,23.5,23.5,23.5,23.5,23.5,0.0
2012-02-24,23.5,23.5,23.5,23.5,23.5,0.0
2012-02-27,23.5,23.5,23.5,23.5,23.5,0.0
2012-02-28,23.5,23.5,23.5,23.5,23.5,0.0
2012-02-29,23.5,23.5,23.5,23.5,23.5,0.0
2012-03-01,23.5,23.5,23.5,23.5,23.5,0.0
2012-03-02,23.5,23.5,23.5,23.5,23.5,0.0
2012-03-05,23.5,23.5,23.5,23.5,23.5,0.0
2012-03-06,23.5,23.5,23.5,23.5,23.5,0.0
2012-03-07,23.5,23.5,23.5,23.5,23.5,0.0
2012-03-08,23.5,23.5,23.5,23.5,23.5,0.0
2012-03-09,23.5,23.5,23.5,23.5,23.5,0.0
2012-03-12,23.5,23.5,23.5,23.5,23.5,0.0
2012-03-13,23.5,23.5,23.5,23.5,23.5,0.0
2012-03-14,23.5,23.5,23.5,23.5,23.5,0.0
2012-03-15,23.5,23.5,23.5,23.5,23.5,0.0
2012-03-16,23.5,23.5,23.5,23.5,23.5,0.0
2012-03-19,23.5,23.5,23.5,23.5,23.5,0.0
2012-03-20,23.5,23.5,23.5,23.5,23.5,0.0
2012-03-21,23.5,23.5,23.5,23.5,23.5,0.0
2012-03-22,23.5,23.5,23.5,23.5,23.5,0.0
2012-03-23,23.5,23.5,23.5,23.5,23.5,0.0
2012-03-26,23.5,23.5,23.5,23.5,23.5,0.0
2012-03-27,23.5,23.5,23.5,23.5,23.5,0.0
2012-03-28,23.5,23.5,23.5,23.5,23.5,0.0
2012-03-29,23.5,23.5,23.5,23.5,23.5,0.0
2012-03-30,23.5,23.5,23.5,23.5,23.5,0.0
2012-04-02,23.5,23.5,23.5,23.5,23.5,0.0
2012-04-03,23.5,23.5,23.5,23.5,23.5,0.0
2012-04-04,23.5,23.5,23.5,23.5,23.5,0.0
2012-04-05,23.5,23.5,23.5,23.5,23.5,0.0
2012-04-09,23.5,23.5,23.5,23.5,23.5,0.0
2012-04-10,23.5,23.5,23.5,23.5,23.5,0.0
2012-04-11,23.5,23.5,23.5,23.5,23.5,0.0
2012-04-12,23.5,23.5,23.5,23.5,23.5,0.0
2012-04-13,23.5,23.5,23.5,23.5,23.5,0.0
2012-04-16,23.5,23.5,23.5,23.5,23.5,0.0
2012-04-17,23.5,23.5,23.5,23.5,23.5,0.0
2012-04-18,23.5,23.5,23.5,23.5,23.5,0.0
2012-04-19,23.5,23.5,23.5,23.5,23.5,0.0
2012-04-20,23.5,23.5,23.5,23.5,23.5,0.0
2012-04-23,23.5,23.5,23.5,23.5,23.5,0.0
2012-04-24,23.5,23.5,23.5,23.5,23.5,0.0
2012-04-25,23.5,23.5,23.5,23.5,23.5,0.0
2012-04-26,23.5,23.5,23.5,23.5,23.5,0.0
2012-04-27,23.5,23.5,23.5,23.5,23.5,0.0
2012-04-30,23.5,23.5,23.5,23.5,23.5,0.0
2012-05-01,23.5,23.5,23.5,23.5,23.5,0.0
2012-05-02,23.5,23.5,23.5,23.5,23.5,0.0
2012-05-03,23.5,23.5,23.5,23.5,23.5,0.0
2012-05-04,23.5,23.5,23.5,23.5,23.5,0.0
2012-05-07,23.5,23.5,23.5,23.5,23.5,0.0
2012-05-08,23.5,23.5,23.5,23.5,23.5,0.0
2012-05-09,23.5,23.5,23.5,23.5,23.5,0.0
2012-05-10,23.5,23.5,23.5,23.5,23.5,0.0
2012-05-11,23.5,23.5,23.5,23.5,23.5,0.0
2012-05-14,23.5,23.5,23.5,23.5,23.5,0.0
2012-05-15,23.5,23.5,23.5,23.5,23.5,0.0
2012-05-16,23.5,23.5,23.5,23.5,23.5,0.0
2012-05-17,23.5,23.5,23.5,23.5,23.5,0.0
2012-05-18,23.5,23.5,23.5,23.5,23.5,0.0
2012-05-21,23.5,23.5,23.5,23.5,23.5,0.0
2012-05-22,23.5,23.5,23.5,23.5,23.5,0.0
2012-05-23,23.5,23.5,23.5,23.5,23.5,0.0
2012-05-24,23.5,23.5,23.5,23.5,23.5,0.0
2012-05-25,23.5,23.5,23.5,23.5,23.5,0.0
