Title,Description,Date,Source,Link
LIC's PSU Stocks Holding Value Rises Nearly Rs 1 Lakh Crore Since Oct. 1,"State Bank of India, IDBI Bank Ltd., and Oil and Natural Gas Corp. currently make for the largest holdings in value terms.","05:54 PM, 09 Feb 2024",Facebook,
"LIC's VNB Margin At 20% Is Sustainable, Says Chairman Siddhartha Mohanty","Digitisation over the next two years will help improve expense ratio, increase customer acquisition through technology and grow agent business, he said.","05:36 PM, 09 Feb 2024",Facebook,
Supreme Court Denies Recall Of Ruling That Held Telecom Licence Fee As Capex,"However, the top court has decided to consider whether to waive the interest on dues payable and whether to give the judgment a prospective effect.","05:07 PM, 09 Feb 2024",Facebook,
"Paytm Payments Bank Seeks To Hire External Firm To Audit Compliance, KYC — Exclusive","The bank has floated this RFP on a restricted basis, to external auditors and hence, it is not available in the public domain.","04:25 PM, 09 Feb 2024",Facebook,
Licious Lays Off 80 Employees In 'Operational Reset',"Licious will unveil a 'renewed market expansion plan, resetting the growth triggers in the coming weeks', it said.","04:21 PM, 09 Feb 2024",Facebook,
"Gainers & Losers: IREDA, RVNL among top 5 stocks in spotlight on Friday",For more such web stories click on the ET icon below,"04:19 PM, 09 Feb 2024",Facebook,
"What to eat: If you complain of hypertension, avoid these foods to lower high blood pressure","High blood pressure can cause serious complications such as stroke, heart attack, and kidney failure. Its symptoms could include headaches, dizziness, or shortness of breath. To lower your blood pressure, you should eat a balanced diet that is low in sodium, caffeine, alcohol, trans fats, and added sugars.","04:06 PM, 09 Feb 2024",Facebook,
GST Applicable To Transfer Development Rights In Joint Development Agreements: Telangana HC,"The petitioner contended that relying on the Income Tax Act would not be helpful, emphasising that under GST, the crucial aspect is 'when' the transfer occurs, not 'whether' as in the Income Tax Act.","03:10 PM, 09 Feb 2024",Facebook,
Now people are reposing faith in LIC and we expect this to continue:  Siddhartha Mohanty,"LIC has enabling provisions to invest in banks like HDFC Bank. Their equity investment is about 20-25% of total AUM, and they have a balanced approach to ensure sustainability. LIC is monitoring the market and taking a mixed strategy.  Non par products are giving good returns and are getting traction in the market.","03:06 PM, 09 Feb 2024",Facebook,
Temasek-backed Licious lays off 80 employees as part of operational reset,The development comes months after Moneycontrol reported that the Bengaluru-based unicorn had seen its revenues stagnate while its monthly cash burn remained unchanged.,"03:02 PM, 09 Feb 2024",Facebook,
Max Life Selects Oracle Exadata Database Service To Move Core Applications To Cloud,Max Life said it has improved application performance by up to 70% after it moved its core application to Oracle Exadata Database Service,"02:13 PM, 09 Feb 2024",Facebook,
Supreme Court To Hear Plea Against Google's User Choice Billing Policy,The case has reached the top court after the Madras High Court dismissed appeals filed by Indian companies challenging Google LLC's new billing policy.,"01:17 PM, 09 Feb 2024",Facebook,
Supreme Court agrees to hear startups' pleas against Google's billing policy,"A bench led by Chief Justice of India DY Chandrachud, however, refused to pass an interim order protecting these startups from being removed from Google's Play Store","12:50 PM, 09 Feb 2024",Facebook,
Top 10 Most Valuable Firms In India; LIC Now At 5th,LIC crossed ICICI Bank to become the fifth most valued firm after its market cap crossed Rs 7 Lakh crore.,"12:23 PM, 09 Feb 2024",Facebook,
Vladimir Putin tells Tucker Carlson Russia has no interest in attacking Poland or Latvia,"In his first interview with an American journalist since before Russia's invasion of Ukraine nearly two years ago, Putin said Western leaders had come to realize it was impossible inflict a strategic defeat on Russia and were wondering what to do next.","12:12 PM, 09 Feb 2024",Facebook,
LIC Becomes India's Fifth Most Valued Firm After Market Cap Crosses Rs 7 Lakh Crore,LIC's market cap had earlier this week crossed the Rs 6-lakh-crore mark after its share price hit record high.,"11:00 AM, 09 Feb 2024",Facebook,
"Pakistani operatives targeting Indian establishments with malicious emails, says govt circular","This circular comes at a time when Indian government establishments, including its critical infrastructure such as telecom, banking and other sectors, have been routinely targeted by cyber attackers","10:50 AM, 09 Feb 2024",Facebook,
Go contra as dumb money sells largecap private banks;one realty stock could double & avoid ITC: Sanjiv Bhasin,"Sanjiv Bhasin says: Insurance companies, including LIC, SBI Life, ICICI Pru, and HDFC Life, are expected to perform well in the long term. These companies, along with other intermediaries like brokers and AMCs, are set to benefit from changing daily habits and increased technology adoption.  the dumb money is now selling the largecap private banks, which were the most sought after and getting into PSUs. So, it is time to be contrarian,","10:32 AM, 09 Feb 2024",Facebook,
