Company Name,Industry,Symbol,Series,ISIN Code
ABB India Ltd.,Capital Goods,ABB.NS,EQ,INE117A01022
Adani Energy Solutions Ltd.,Power,ADANIENSOL.NS,EQ,INE931S01010
Adani Enterprises Ltd.,Metals & Mining,ADANIENT.NS,EQ,INE423A01024
Adani Green Energy Ltd.,Power,ADANIGREEN.NS,EQ,INE364U01010
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS.NS,EQ,INE742F01042
Adani Power Ltd.,Power,ADANIPOWER.NS,EQ,INE814H01011
Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL.NS,EQ,INE399L01023
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM.NS,EQ,INE079A01024
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP.NS,EQ,INE437A01024
Asian Paints Ltd.,Consumer Durables,ASIANPAINT.NS,EQ,INE021A01026
Avenue Supermarts Ltd.,Consumer Services,DMART.NS,EQ,INE192R01011
Axis Bank Ltd.,Financial Services,AXISBANK.NS,EQ,INE238A01034
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO.NS,EQ,INE917I01010
Bajaj Finance Ltd.,Financial Services,BAJFINANCE.NS,EQ,INE296A01024
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV.NS,EQ,INE918I01026
Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG.NS,EQ,INE118A01012
Bank of Baroda,Financial Services,BANKBARODA.NS,EQ,INE028A01039
Berger Paints India Ltd.,Consumer Durables,BERGEPAINT.NS,EQ,INE463A01038
Bharat Electronics Ltd.,Capital Goods,BEL.NS,EQ,INE263A01024
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL.NS,EQ,INE029A01011
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL.NS,EQ,INE397D01024
Bosch Ltd.,Automobile and Auto Components,BOSCHLTD.NS,EQ,INE323A01026
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA.NS,EQ,INE216A01030
Canara Bank,Financial Services,CANBK.NS,EQ,INE476A01014
Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN.NS,EQ,INE121A01024
Cipla Ltd.,Healthcare,CIPLA.NS,EQ,INE059A01026
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA.NS,EQ,INE522F01014
Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL.NS,EQ,INE259A01022
DLF Ltd.,Realty,DLF.NS,EQ,INE271C01023
Dabur India Ltd.,Fast Moving Consumer Goods,DABUR.NS,EQ,INE016A01026
Divi's Laboratories Ltd.,Healthcare,DIVISLAB.NS,EQ,INE361B01024
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY.NS,EQ,INE089A01023
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT.NS,EQ,INE066A01021
GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL.NS,EQ,INE129A01019
Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP.NS,EQ,INE102D01028
Grasim Industries Ltd.,Construction Materials,GRASIM.NS,EQ,INE047A01021
HCL Technologies Ltd.,Information Technology,HCLTECH.NS,EQ,INE860A01027
HDFC Bank Ltd.,Financial Services,HDFCBANK.NS,EQ,INE040A01034
HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE.NS,EQ,INE795G01014
Havells India Ltd.,Consumer Durables,HAVELLS.NS,EQ,INE176B01034
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO.NS,EQ,INE158A01026
Hindalco Industries Ltd.,Metals & Mining,HINDALCO.NS,EQ,INE038A01020
Hindustan Aeronautics Ltd.,Capital Goods,HAL.NS,EQ,INE066F01020
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR.NS,EQ,INE030A01027
ICICI Bank Ltd.,Financial Services,ICICIBANK.NS,EQ,INE090A01021
ICICI Lombard General Insurance Company Ltd.,Financial Services,ICICIGI.NS,EQ,INE765G01017
ICICI Prudential Life Insurance Company Ltd.,Financial Services,ICICIPRULI.NS,EQ,INE726G01019
ITC Ltd.,Fast Moving Consumer Goods,ITC.NS,EQ,INE154A01025
Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC.NS,EQ,INE242A01010
Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,IRCTC.NS,EQ,INE335Y01020
Indian Railway Finance Corporation Ltd.,Financial Services,IRFC.NS,EQ,INE053F01010
IndusInd Bank Ltd.,Financial Services,INDUSINDBK.NS,EQ,INE095A01012
Info Edge (India) Ltd.,Consumer Services,NAUKRI.NS,EQ,INE663F01024
Infosys Ltd.,Information Technology,INFY.NS,EQ,INE009A01021
InterGlobe Aviation Ltd.,Services,INDIGO.NS,EQ,INE646L01027
JSW Steel Ltd.,Metals & Mining,JSWSTEEL.NS,EQ,INE019A01038
Jindal Steel & Power Ltd.,Metals & Mining,JINDALSTEL.NS,EQ,INE749A01030
Jio Financial Services Ltd.,Financial Services,JIOFIN.NS,EQ,INE758E01017
Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK.NS,EQ,INE237A01028
LTIMindtree Ltd.,Information Technology,LTIM.NS,EQ,INE214T01019
Larsen & Toubro Ltd.,Construction,LT.NS,EQ,INE018A01030
Life Insurance Corporation of India,Financial Services,LICI.NS,EQ,INE0J1Y01017
Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M.NS,EQ,INE101A01026
Marico Ltd.,Fast Moving Consumer Goods,MARICO.NS,EQ,INE196A01026
Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI.NS,EQ,INE585B01010
NTPC Ltd.,Power,NTPC.NS,EQ,INE733E01010
Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND.NS,EQ,INE239A01024
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC.NS,EQ,INE213A01029
Pidilite Industries Ltd.,Chemicals,PIDILITIND.NS,EQ,INE318A01026
Power Finance Corporation Ltd.,Financial Services,PFC.NS,EQ,INE134E01011
Power Grid Corporation of India Ltd.,Power,POWERGRID.NS,EQ,INE752E01010
Punjab National Bank,Financial Services,PNB.NS,EQ,INE160A01022
REC Ltd.,Financial Services,RECLTD.NS,EQ,INE020B01018
Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE.NS,EQ,INE002A01018
SBI Cards and Payment Services Ltd.,Financial Services,SBICARD.NS,EQ,INE018E01016
SBI Life Insurance Company Ltd.,Financial Services,SBILIFE.NS,EQ,INE123W01016
