Company Name,Industry,Symbol,Series,ISIN Code
Alkem Laboratories Ltd.,Healthcare,ALKEM,EQ,INE540L01014
Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA,EQ,INE406A01037
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010
Bharat Electronics Ltd.,Capital Goods,BEL,EQ,INE263A01024
Bharat Forge Ltd.,Automobile and Auto Components,BHARATFORG,EQ,INE465A01025
Bharat Heavy Electricals Ltd.,Capital Goods,BHEL,EQ,INE257A01026
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,EQ,INE522F01014
Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL,EQ,INE259A01022
DLF Ltd.,Realty,DLF,EQ,INE271C01023
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY,EQ,INE089A01023
Escorts Kubota Ltd.,Capital Goods,ESCORTS,EQ,INE042A01014
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,EQ,INE158A01026
Hindustan Aeronautics Ltd.,Capital Goods,HAL,EQ,INE066F01020
Ipca Laboratories Ltd.,Healthcare,IPCALAB,EQ,INE571A01038
L&T Finance Ltd.,Financial Services,LTF,EQ,INE498L01015
Larsen & Toubro Ltd.,Construction,LT,EQ,INE018A01030
Lupin Ltd.,Healthcare,LUPIN,EQ,INE326A01037
NMDC Ltd.,Metals & Mining,NMDC,EQ,INE584A01023
NTPC Ltd.,Power,NTPC,EQ,INE733E01010
Oberoi Realty Ltd.,Realty,OBEROIRLTY,EQ,INE093I01010
Polycab India Ltd.,Capital Goods,POLYCAB,EQ,INE455K01017
Power Finance Corporation Ltd.,Financial Services,PFC,EQ,INE134E01011
Punjab National Bank,Financial Services,PNB,EQ,INE160A01022
REC Ltd.,Financial Services,RECLTD,EQ,INE020B01018
Sun TV Network Ltd.,Media Entertainment & Publication,SUNTV,EQ,INE424H01027
TVS Motor Company Ltd.,Automobile and Auto Components,TVSMOTOR,EQ,INE494B01023
Tata Motors Ltd.,Automobile and Auto Components,TATAMOTORS,EQ,INE155A01022
The Ramco Cements Ltd.,Construction Materials,RAMCOCEM,EQ,INE331A01037
Trent Ltd.,Consumer Services,TRENT,EQ,INE849A01020
Zydus Lifesciences Ltd.,Healthcare,ZYDUSLIFE,EQ,INE010B01027
