Company Name,Industry,Symbol,Series,ISIN Code
AGI Greenpac Ltd.,Capital Goods,AGI.NS,EQ,INE415A01038
ASK Automotive Ltd.,Automobile and Auto Components,ASKAUTOLTD.NS,EQ,INE491J01022
Aarti Drugs Ltd.,Healthcare,AARTIDRUGS.NS,EQ,INE767A01016
Aarti Pharmalabs Ltd.,Healthcare,AARTIPHARM.NS,EQ,INE0LRU01027
Accelya Solutions India Ltd.,Information Technology,ACCELYA.NS,EQ,INE793A01012
Advanced Enzyme Tech Ltd.,Healthcare,ADVENZYMES.NS,EQ,INE837H01020
Ahluwalia Contracts (India) Ltd.,Construction,AHLUCONT.NS,EQ,INE758C01029
Ami Organics Ltd.,Healthcare,AMIORG.NS,EQ,INE00FF01017
Anant Raj Ltd.,Realty,ANANTRAJ.NS,EQ,INE242C01024
Arvind Fashions Ltd.,Consumer Services,ARVINDFASN.NS,EQ,INE955V01021
Arvind Ltd.,Textiles,ARVIND.NS,EQ,INE034A01011
Ashoka Buildcon Ltd.,Construction,ASHOKA.NS,EQ,INE442H01029
Astra Microwave Products Ltd.,Capital Goods,ASTRAMICRO.NS,EQ,INE386C01029
Avalon Technologies Ltd.,Capital Goods,AVALON.NS,EQ,INE0LCL01028
Azad Engineering Ltd.,Capital Goods,AZAD.NS,EQ,INE02IJ01035
BASF India Ltd.,Chemicals,BASF.NS,EQ,INE373A01013
Bajaj Consumer Care Ltd.,Fast Moving Consumer Goods,BAJAJCON.NS,EQ,INE933K01021
Bajaj Hindusthan Sugar Ltd.,Fast Moving Consumer Goods,BAJAJHIND.NS,EQ,INE306A01021
Balmer Lawrie & Co. Ltd.,Diversified,BALMLAWRIE.NS,EQ,INE164A01016
Banco Products (India) Ltd.,Automobile and Auto Components,BANCOINDIA.NS,EQ,INE213C01025
Barbeque Nation Hospitality Ltd.,Consumer Services,BARBEQUE.NS,EQ,INE382M01027
Bhansali Engineering Polymers Ltd.,Chemicals,BEPL.NS,EQ,INE922A01025
Blue Jet Healthcare Ltd.,Healthcare,BLUEJET.NS,EQ,INE0KBH01020
Bombay Dyeing & Manufacturing Co. Ltd.,Textiles,BOMDYEING.NS,EQ,INE032A01023
Brightcom Group Ltd.,Information Technology,BCG.NS,EQ,INE425B01027
CARE Ratings Ltd.,Financial Services,CARERATING.NS,EQ,INE752H01013
CMS Info Systems Ltd.,Services,CMSINFO.NS,EQ,INE925R01014
Camlin Fine Sciences Ltd.,Chemicals,CAMLINFINE.NS,EQ,INE052I01032
Cartrade Tech Ltd.,Consumer Services,CARTRADE.NS,EQ,INE290S01011
Choice International Ltd.,Financial Services,CHOICEIN.NS,EQ,INE102B01014
Cigniti Technologies Ltd.,Information Technology,CIGNITITEC.NS,EQ,INE675C01017
Confidence Petroleum India Ltd.,Oil Gas & Consumable Fuels,CONFIPET.NS,EQ,INE552D01024
Cyient DLM Ltd.,Capital Goods,CYIENTDLM.NS,EQ,INE055S01018
D B Realty Ltd.,Realty,DBREALTY.NS,EQ,INE879I01012
D.B.Corp Ltd.,Media Entertainment & Publication,DBCORP.NS,BE,INE950I01011
DCB Bank Ltd.,Financial Services,DCBBANK.NS,EQ,INE503A01015
DCX Systems Ltd.,Capital Goods,DCXINDIA.NS,EQ,INE0KL801015
Dalmia Bharat Sugar and Industries Ltd.,Fast Moving Consumer Goods,DALMIASUG.NS,EQ,INE495A01022
Datamatics Global Services Ltd.,Information Technology,DATAMATICS.NS,EQ,INE365B01017
Delta Corp Ltd.,Consumer Services,DELTACORP.NS,EQ,INE124G01033
Den Networks Ltd.,Media Entertainment & Publication,DEN.NS,EQ,INE947J01015
Dhani Services Ltd.,Financial Services,DHANI.NS,EQ,INE274G01010
Dhanuka Agritech Ltd.,Chemicals,DHANUKA.NS,EQ,INE435G01025
Dilip Buildcon Ltd.,Construction,DBL.NS,EQ,INE917M01012
Dish TV India Ltd.,Media Entertainment & Publication,DISHTV.NS,EQ,INE836F01026
Dishman Carbogen Amcis Ltd.,Healthcare,DCAL.NS,EQ,INE385W01011
Dodla Dairy Ltd.,Fast Moving Consumer Goods,DODLA.NS,EQ,INE021O01019
Dreamfolks Services Ltd.,Services,DREAMFOLKS.NS,EQ,INE0JS101016
ESAF Small Finance Bank Ltd.,Financial Services,ESAFSFB.NS,EQ,INE818W01011
Edelweiss Financial Services Ltd.,Financial Services,EDELWEISS.NS,EQ,INE532F01054
Electronics Mart India Ltd.,Consumer Services,EMIL.NS,EQ,INE02YR01019
Electrosteel Castings Ltd.,Capital Goods,ELECTCAST.NS,EQ,INE086A01029
Epigral Ltd.,Chemicals,EPIGRAL.NS,EQ,INE071N01016
Ethos Ltd.,Consumer Durables,ETHOSLTD.NS,EQ,INE04TZ01018
Eveready Industries India Ltd.,Fast Moving Consumer Goods,EVEREADY.NS,EQ,INE128A01029
Fedbank Financial Services Ltd.,Financial Services,FEDFINA.NS,EQ,INE007N01010
Fiem Industries Ltd,Automobile and Auto Components,FIEMIND.NS,EQ,INE737H01014
Fineotex Chemical Ltd.,Chemicals,FCL.NS,EQ,INE045J01026
Flair Writing Industries Ltd.,Fast Moving Consumer Goods,FLAIR.NS,EQ,INE00Y201027
Fusion Micro Finance Ltd.,Financial Services,FUSION.NS,EQ,INE139R01012
G R Infraprojects Ltd.,Construction,GRINFRA.NS,EQ,INE201P01022
GHCL Ltd.,Chemicals,GHCL.NS,EQ,INE539A01019
Gabriel India Ltd.,Automobile and Auto Components,GABRIEL.NS,EQ,INE524A01029
Galaxy Surfactants Ltd.,Chemicals,GALAXYSURF.NS,EQ,INE600K01018
Ganesh Housing Corporation Ltd.,Realty,GANESHHOUC.NS,EQ,INE460C01014
Garware Hi-Tech Films Ltd.,Capital Goods,GRWRHITECH.NS,EQ,INE291A01017
Gateway Distriparks Ltd.,Services,GATEWAY.NS,EQ,INE079J01017
Globus Spirits Ltd.,Fast Moving Consumer Goods,GLOBUSSPR.NS,EQ,INE615I01010
Go Fashion (India) Ltd.,Consumer Services,GOCOLORS.NS,EQ,INE0BJS01011
Godrej Agrovet Ltd.,Fast Moving Consumer Goods,GODREJAGRO.NS,EQ,INE850D01014
Gokaldas Exports Ltd.,Textiles,GOKEX.NS,EQ,INE887G01027
Gravita India Ltd.,Metals & Mining,GRAVITA.NS,EQ,INE024L01027
Greaves Cotton Ltd.,Capital Goods,GREAVESCOT.NS,EQ,INE224A01026
Greenpanel Industries Ltd.,Consumer Durables,GREENPANEL.NS,EQ,INE08ZM01014
Greenply Industries Ltd.,Consumer Durables,GREENPLY.NS,EQ,INE461C01038
Gufic Biosciences Ltd.,Healthcare,GUFICBIO.NS,EQ,INE742B01025
Gujarat Alkalies & Chemicals Ltd.,Chemicals,GUJALKALI.NS,EQ,INE186A01019
Gulf Oil Lubricants India Ltd.,Oil Gas & Consumable Fuels,GULFOILLUB.NS,EQ,INE635Q01029
H.G. Infra Engineering Ltd.,Construction,HGINFRA.NS,EQ,INE926X01010
HLE Glascoat Ltd.,Capital Goods,HLEGLAS.NS,EQ,INE461D01028
