Company Name,Industry,Symbol,Series,ISIN Code
3M India Ltd.,Diversified,3MINDIA.NS,EQ,INE470A01017
ACC Ltd.,Construction Materials,ACC.NS,EQ,INE012A01025
AIA Engineering Ltd.,Capital Goods,AIAENG.NS,EQ,INE212H01026
APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO.NS,EQ,INE702C01027
AU Small Finance Bank Ltd.,Financial Services,AUBANK.NS,EQ,INE949L01017
Abbott India Ltd.,Healthcare,ABBOTINDIA.NS,EQ,INE358A01014
Adani Wilmar Ltd.,Fast Moving Consumer Goods,AWL.NS,EQ,INE699H01024
Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL.NS,EQ,INE674K01013
Aditya Birla Fashion and Retail Ltd.,Consumer Services,ABFRL.NS,EQ,INE647O01011
Ajanta Pharmaceuticals Ltd.,Healthcare,AJANTPHARM.NS,EQ,INE031B01049
Alkem Laboratories Ltd.,Healthcare,ALKEM.NS,EQ,INE540L01014
Apollo Tyres Ltd.,Automobile and Auto Components,APOLLOTYRE.NS,EQ,INE438A01022
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY.NS,EQ,INE208A01029
Astral Ltd.,Capital Goods,ASTRAL.NS,EQ,INE006I01046
Atul Ltd.,Chemicals,ATUL.NS,EQ,INE100A01010
Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA.NS,EQ,INE406A01037
BSE Ltd.,Financial Services,BSE.NS,EQ,INE118H01025
Balkrishna Industries Ltd.,Automobile and Auto Components,BALKRISIND.NS,EQ,INE787D01026
Bandhan Bank Ltd.,Financial Services,BANDHANBNK.NS,EQ,INE545U01014
Bank of India,Financial Services,BANKINDIA.NS,EQ,INE084A01016
Bank of Maharashtra,Financial Services,MAHABANK.NS,EQ,INE457A01014
Bata India Ltd.,Consumer Durables,BATAINDIA.NS,EQ,INE176A01028
Bayer Cropscience Ltd.,Chemicals,BAYERCROP.NS,EQ,INE462A01022
Bharat Dynamics Ltd.,Capital Goods,BDL.NS,EQ,INE171Z01018
Bharat Forge Ltd.,Automobile and Auto Components,BHARATFORG.NS,EQ,INE465A01025
Bharat Heavy Electricals Ltd.,Capital Goods,BHEL.NS,EQ,INE257A01026
Biocon Ltd.,Healthcare,BIOCON.NS,EQ,INE376G01013
CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER.NS,EQ,INE067A01029
CRISIL Ltd.,Financial Services,CRISIL.NS,EQ,INE007A01025
Carborundum Universal Ltd.,Capital Goods,CARBORUNIV.NS,EQ,INE120A01034
Coforge Ltd.,Information Technology,COFORGE.NS,EQ,INE591G01017
Container Corporation of India Ltd.,Services,CONCOR.NS,EQ,INE111A01025
Coromandel International Ltd.,Chemicals,COROMANDEL.NS,EQ,INE169A01031
Cummins India Ltd.,Capital Goods,CUMMINSIND.NS,EQ,INE298A01020
Dalmia Bharat Ltd.,Construction Materials,DALBHARAT.NS,EQ,INE00R701025
Deepak Nitrite Ltd.,Chemicals,DEEPAKNTR.NS,EQ,INE288B01029
Delhivery Ltd.,Services,DELHIVERY.NS,EQ,INE148O01028
Devyani International Ltd.,Consumer Services,DEVYANI.NS,EQ,INE872J01023
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON.NS,EQ,INE935N01020
Dr. Lal Path Labs Ltd.,Healthcare,LALPATHLAB.NS,EQ,INE600L01024
Emami Ltd.,Fast Moving Consumer Goods,EMAMILTD.NS,EQ,INE548C01032
