Company Name,Industry,Symbol,Series,ISIN Code
ABB India Ltd.,Capital Goods,ABB.NS,EQ,INE117A01022
Adani Energy Solutions Ltd.,Power,ADANIENSOL.NS,EQ,INE931S01010
Adani Green Energy Ltd.,Power,ADANIGREEN.NS,EQ,INE364U01010
Adani Power Ltd.,Power,ADANIPOWER.NS,EQ,INE814H01011
Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL.NS,EQ,INE399L01023
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM.NS,EQ,INE079A01024
Avenue Supermarts Ltd.,Consumer Services,DMART.NS,EQ,INE192R01011
Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG.NS,EQ,INE118A01012
Bank of Baroda,Financial Services,BANKBARODA.NS,EQ,INE028A01039
Berger Paints India Ltd.,Consumer Durables,BERGEPAINT.NS,EQ,INE463A01038
Bharat Electronics Ltd.,Capital Goods,BEL.NS,EQ,INE263A01024
Bosch Ltd.,Automobile and Auto Components,BOSCHLTD.NS,EQ,INE323A01026
Canara Bank,Financial Services,CANBK.NS,EQ,INE476A01014
Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN.NS,EQ,INE121A01024
Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL.NS,EQ,INE259A01022
DLF Ltd.,Realty,DLF.NS,EQ,INE271C01023
Dabur India Ltd.,Fast Moving Consumer Goods,DABUR.NS,EQ,INE016A01026
GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL.NS,EQ,INE129A01019
Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP.NS,EQ,INE102D01028
Havells India Ltd.,Consumer Durables,HAVELLS.NS,EQ,INE176B01034
Hindustan Aeronautics Ltd.,Capital Goods,HAL.NS,EQ,INE066F01020
ICICI Lombard General Insurance Company Ltd.,Financial Services,ICICIGI.NS,EQ,INE765G01017
ICICI Prudential Life Insurance Company Ltd.,Financial Services,ICICIPRULI.NS,EQ,INE726G01019
Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC.NS,EQ,INE242A01010
Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,IRCTC.NS,EQ,INE335Y01020
Indian Railway Finance Corporation Ltd.,Financial Services,IRFC.NS,EQ,INE053F01010
Info Edge (India) Ltd.,Consumer Services,NAUKRI.NS,EQ,INE663F01024
InterGlobe Aviation Ltd.,Services,INDIGO.NS,EQ,INE646L01027
Jindal Steel & Power Ltd.,Metals & Mining,JINDALSTEL.NS,EQ,INE749A01030
Jio Financial Services Ltd.,Financial Services,JIOFIN.NS,EQ,INE758E01017
Life Insurance Corporation of India,Financial Services,LICI.NS,EQ,INE0J1Y01017
Marico Ltd.,Fast Moving Consumer Goods,MARICO.NS,EQ,INE196A01026
Pidilite Industries Ltd.,Chemicals,PIDILITIND.NS,EQ,INE318A01026
Power Finance Corporation Ltd.,Financial Services,PFC.NS,EQ,INE134E01011
Punjab National Bank,Financial Services,PNB.NS,EQ,INE160A01022
REC Ltd.,Financial Services,RECLTD.NS,EQ,INE020B01018
SBI Cards and Payment Services Ltd.,Financial Services,SBICARD.NS,EQ,INE018E01016
SRF Ltd.,Chemicals,SRF.NS,EQ,INE647A01010
Samvardhana Motherson International Ltd.,Automobile and Auto Components,MOTHERSON.NS,EQ,INE775A01035
Shree Cement Ltd.,Construction Materials,SHREECEM.NS,EQ,INE070A01015
Siemens Ltd.,Capital Goods,SIEMENS.NS,EQ,INE003A01024
TVS Motor Company Ltd.,Automobile and Auto Components,TVSMOTOR.NS,EQ,INE494B01023
Tata Power Co. Ltd.,Power,TATAPOWER.NS,EQ,INE245A01021
Torrent Pharmaceuticals Ltd.,Healthcare,TORNTPHARM.NS,EQ,INE685A01028
Trent Ltd.,Consumer Services,TRENT.NS,EQ,INE849A01020
United Spirits Ltd.,Fast Moving Consumer Goods,MCDOWELL-N.NS,EQ,INE854D01024
Varun Beverages Ltd.,Fast Moving Consumer Goods,VBL.NS,EQ,INE200M01021
Vedanta Ltd.,Metals & Mining,VEDL.NS,EQ,INE205A01025
Zomato Ltd.,Consumer Services,ZOMATO.NS,EQ,INE758T01015
Zydus Lifesciences Ltd.,Healthcare,ZYDUSLIFE.NS,EQ,INE010B01027
