Company Name,Industry,Symbol,Series,ISIN Code
360 ONE WAM Ltd.,Financial Services,360ONE.NS,EQ,INE466L01038
3M India Ltd.,Diversified,3MINDIA.NS,EQ,INE470A01017
ACC Ltd.,Construction Materials,ACC.NS,EQ,INE012A01025
AIA Engineering Ltd.,Capital Goods,AIAENG.NS,EQ,INE212H01026
APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO.NS,EQ,INE702C01027
AU Small Finance Bank Ltd.,Financial Services,AUBANK.NS,EQ,INE949L01017
Aarti Industries Ltd.,Chemicals,AARTIIND.NS,EQ,INE769A01020
Aavas Financiers Ltd.,Financial Services,AAVAS.NS,EQ,INE216P01012
Abbott India Ltd.,Healthcare,ABBOTINDIA.NS,EQ,INE358A01014
Action Construction Equipment Ltd.,Capital Goods,ACE.NS,EQ,INE731H01025
Adani Wilmar Ltd.,Fast Moving Consumer Goods,AWL.NS,EQ,INE699H01024
Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL.NS,EQ,INE674K01013
Aditya Birla Fashion and Retail Ltd.,Consumer Services,ABFRL.NS,EQ,INE647O01011
Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,AEGISCHEM.NS,EQ,INE208C01025
Aether Industries Ltd.,Chemicals,AETHER.NS,EQ,INE0BWX01014
Affle (India) Ltd.,Information Technology,AFFLE.NS,EQ,INE00WC01027
Ajanta Pharmaceuticals Ltd.,Healthcare,AJANTPHARM.NS,EQ,INE031B01049
Alembic Pharmaceuticals Ltd.,Healthcare,APLLTD.NS,EQ,INE901L01018
Alkem Laboratories Ltd.,Healthcare,ALKEM.NS,EQ,INE540L01014
Alkyl Amines Chemicals Ltd.,Chemicals,ALKYLAMINE.NS,EQ,INE150B01039
Allcargo Logistics Ltd.,Services,ALLCARGO.NS,EQ,INE418H01029
Alok Industries Ltd.,Textiles,ALOKINDS.NS,EQ,INE270A01029
Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,ARE&M.NS,EQ,INE885A01032
Amber Enterprises India Ltd.,Consumer Durables,AMBER.NS,EQ,INE371P01015
Anand Rathi Wealth Ltd.,Financial Services,ANANDRATHI.NS,EQ,INE463V01026
Angel One Ltd.,Financial Services,ANGELONE.NS,EQ,INE732I01013
Anupam Rasayan India Ltd.,Chemicals,ANURAS.NS,EQ,INE930P01018
Apar Industries Ltd.,Capital Goods,APARINDS.NS,EQ,INE372A01015
Apollo Tyres Ltd.,Automobile and Auto Components,APOLLOTYRE.NS,EQ,INE438A01022
Aptus Value Housing Finance India Ltd.,Financial Services,APTUS.NS,EQ,INE852O01025
Archean Chemical Industries Ltd.,Chemicals,ACI.NS,EQ,INE128X01021
Asahi India Glass Ltd.,Automobile and Auto Components,ASAHIINDIA.NS,EQ,INE439A01020
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY.NS,EQ,INE208A01029
Aster DM Healthcare Ltd.,Healthcare,ASTERDM.NS,EQ,INE914M01019
AstraZenca Pharma India Ltd.,Healthcare,ASTRAZEN.NS,EQ,INE203A01020
Astral Ltd.,Capital Goods,ASTRAL.NS,EQ,INE006I01046
Atul Ltd.,Chemicals,ATUL.NS,EQ,INE100A01010
Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA.NS,EQ,INE406A01037
Avanti Feeds Ltd.,Fast Moving Consumer Goods,AVANTIFEED.NS,EQ,INE871C01038
BEML Ltd.,Capital Goods,BEML.NS,EQ,INE258A01016
BLS International Services Ltd.,Consumer Services,BLS.NS,EQ,INE153T01027
BSE Ltd.,Financial Services,BSE.NS,EQ,INE118H01025
Balaji Amines Ltd.,Chemicals,BALAMINES.NS,EQ,INE050E01027
Balkrishna Industries Ltd.,Automobile and Auto Components,BALKRISIND.NS,EQ,INE787D01026
Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,BALRAMCHIN.NS,EQ,INE119A01028
Bandhan Bank Ltd.,Financial Services,BANDHANBNK.NS,EQ,INE545U01014
Bank of India,Financial Services,BANKINDIA.NS,EQ,INE084A01016
Bank of Maharashtra,Financial Services,MAHABANK.NS,EQ,INE457A01014
Bata India Ltd.,Consumer Durables,BATAINDIA.NS,EQ,INE176A01028
Bayer Cropscience Ltd.,Chemicals,BAYERCROP.NS,EQ,INE462A01022
Bharat Dynamics Ltd.,Capital Goods,BDL.NS,EQ,INE171Z01018
Bharat Forge Ltd.,Automobile and Auto Components,BHARATFORG.NS,EQ,INE465A01025
Bharat Heavy Electricals Ltd.,Capital Goods,BHEL.NS,EQ,INE257A01026
Bikaji Foods International Ltd.,Fast Moving Consumer Goods,BIKAJI.NS,EQ,INE00E101023
Biocon Ltd.,Healthcare,BIOCON.NS,EQ,INE376G01013
Birla Corporation Ltd.,Construction Materials,BIRLACORPN.NS,EQ,INE340A01012
Birlasoft Ltd.,Information Technology,BSOFT.NS,EQ,INE836A01035
Blue Dart Express Ltd.,Services,BLUEDART.NS,EQ,INE233B01017
Blue Star Ltd.,Consumer Durables,BLUESTARCO.NS,EQ,INE472A01039
Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods,BBTC.NS,EQ,INE050A01025
Borosil Renewables Ltd.,Capital Goods,BORORENEW.NS,EQ,INE666D01022
Brigade Enterprises Ltd.,Realty,BRIGADE.NS,EQ,INE791I01019
C.E. Info Systems Ltd.,Information Technology,MAPMYINDIA.NS,EQ,INE0BV301023
CCL Products (I) Ltd.,Fast Moving Consumer Goods,CCL.NS,EQ,INE421D01022
CESC Ltd.,Power,CESC.NS,EQ,INE486A01021
CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER.NS,EQ,INE067A01029
CIE Automotive India Ltd.,Automobile and Auto Components,CIEINDIA.NS,EQ,INE536H01010
CRISIL Ltd.,Financial Services,CRISIL.NS,EQ,INE007A01025
CSB Bank Ltd.,Financial Services,CSBBANK.NS,EQ,INE679A01013
Campus Activewear Ltd.,Consumer Durables,CAMPUS.NS,EQ,INE278Y01022
Can Fin Homes Ltd.,Financial Services,CANFINHOME.NS,EQ,INE477A01020
Caplin Point Laboratories Ltd.,Healthcare,CAPLIPOINT.NS,EQ,INE475E01026
Capri Global Capital Ltd.,Financial Services,CGCL.NS,EQ,INE180C01042
Carborundum Universal Ltd.,Capital Goods,CARBORUNIV.NS,EQ,INE120A01034
Castrol India Ltd.,Oil Gas & Consumable Fuels,CASTROLIND.NS,EQ,INE172A01027
Ceat Ltd.,Automobile and Auto Components,CEATLTD.NS,EQ,INE482A01020
Cello World Ltd.,Consumer Durables,CELLO.NS,EQ,INE0LMW01024
Central Bank of India,Financial Services,CENTRALBK.NS,EQ,INE483A01010
Central Depository Services (India) Ltd.,Financial Services,CDSL.NS,EQ,INE736A01011
Century Plyboards (India) Ltd.,Consumer Durables,CENTURYPLY.NS,EQ,INE348B01021
Century Textile & Industries Ltd.,Forest Materials,CENTURYTEX.NS,EQ,INE055A01016
Cera Sanitaryware Ltd,Consumer Durables,CERA.NS,EQ,INE739E01017
Chalet Hotels Ltd.,Consumer Services,CHALET.NS,EQ,INE427F01016
Chambal Fertilizers & Chemicals Ltd.,Chemicals,CHAMBLFERT.NS,EQ,INE085A01013
Chemplast Sanmar Ltd.,Chemicals,CHEMPLASTS.NS,EQ,INE488A01050
Chennai Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,CHENNPETRO.NS,EQ,INE178A01016
Cholamandalam Financial Holdings Ltd.,Financial Services,CHOLAHLDNG.NS,EQ,INE149A01033
City Union Bank Ltd.,Financial Services,CUB.NS,EQ,INE491A01021
Clean Science and Technology Ltd.,Chemicals,CLEAN.NS,EQ,INE227W01023
Cochin Shipyard Ltd.,Capital Goods,COCHINSHIP.NS,EQ,INE704P01025
Coforge Ltd.,Information Technology,COFORGE.NS,EQ,INE591G01017
Computer Age Management Services Ltd.,Financial Services,CAMS.NS,EQ,INE596I01012
Concord Biotech Ltd.,Healthcare,CONCORDBIO.NS,EQ,INE338H01029
Container Corporation of India Ltd.,Services,CONCOR.NS,EQ,INE111A01025
Coromandel International Ltd.,Chemicals,COROMANDEL.NS,EQ,INE169A01031
Craftsman Automation Ltd.,Automobile and Auto Components,CRAFTSMAN.NS,EQ,INE00LO01017
CreditAccess Grameen Ltd.,Financial Services,CREDITACC.NS,EQ,INE741K01010
Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,CROMPTON.NS,EQ,INE299U01018
Cummins India Ltd.,Capital Goods,CUMMINSIND.NS,EQ,INE298A01020
Cyient Ltd.,Information Technology,CYIENT.NS,EQ,INE136B01020
DCM Shriram Ltd.,Diversified,DCMSHRIRAM.NS,EQ,INE499A01024
DOMS Industries Ltd.,Fast Moving Consumer Goods,DOMS.NS,EQ,INE321T01012
Dalmia Bharat Ltd.,Construction Materials,DALBHARAT.NS,EQ,INE00R701025
Data Patterns (India) Ltd.,Capital Goods,DATAPATTNS.NS,EQ,INE0IX101010
Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals,DEEPAKFERT.NS,EQ,INE501A01019
Deepak Nitrite Ltd.,Chemicals,DEEPAKNTR.NS,EQ,INE288B01029
Delhivery Ltd.,Services,DELHIVERY.NS,EQ,INE148O01028
Devyani International Ltd.,Consumer Services,DEVYANI.NS,EQ,INE872J01023
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON.NS,EQ,INE935N01020
Dr. Lal Path Labs Ltd.,Healthcare,LALPATHLAB.NS,EQ,INE600L01024
E.I.D. Parry (India) Ltd.,Chemicals,EIDPARRY.NS,EQ,INE126A01031
EIH Ltd.,Consumer Services,EIHOTEL.NS,EQ,INE230A01023
EPL Ltd.,Capital Goods,EPL.NS,EQ,INE255A01020
Easy Trip Planners Ltd.,Consumer Services,EASEMYTRIP.NS,EQ,INE07O001026
Elecon Engineering Co. Ltd.,Capital Goods,ELECON.NS,EQ,INE205B01023
Elgi Equipments Ltd.,Capital Goods,ELGIEQUIP.NS,EQ,INE285A01027
Emami Ltd.,Fast Moving Consumer Goods,EMAMILTD.NS,EQ,INE548C01032
Endurance Technologies Ltd.,Automobile and Auto Components,ENDURANCE.NS,EQ,INE913H01037
Engineers India Ltd.,Construction,ENGINERSIN.NS,EQ,INE510A01028
Equitas Small Finance Bank Ltd.,Financial Services,EQUITASBNK.NS,EQ,INE063P01018
Eris Lifesciences Ltd.,Healthcare,ERIS.NS,EQ,INE406M01024
Escorts Kubota Ltd.,Capital Goods,ESCORTS.NS,EQ,INE042A01014
Exide Industries Ltd.,Automobile and Auto Components,EXIDEIND.NS,EQ,INE302A01020
FDC Ltd.,Healthcare,FDC.NS,EQ,INE258B01022
