Company Name,Industry,Symbol,Series,ISIN Code
360 ONE WAM Ltd.,Financial Services,360ONE.NS,EQ,INE466L01038
3M India Ltd.,Diversified,3MINDIA.NS,EQ,INE470A01017
ABB India Ltd.,Capital Goods,ABB.NS,EQ,INE117A01022
ACC Ltd.,Construction Materials,ACC.NS,EQ,INE012A01025
AGI Greenpac Ltd.,Capital Goods,AGI.NS,EQ,INE415A01038
AIA Engineering Ltd.,Capital Goods,AIAENG.NS,EQ,INE212H01026
APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO.NS,EQ,INE702C01027
ASK Automotive Ltd.,Automobile and Auto Components,ASKAUTOLTD.NS,EQ,INE491J01022
AU Small Finance Bank Ltd.,Financial Services,AUBANK.NS,EQ,INE949L01017
Aarti Drugs Ltd.,Healthcare,AARTIDRUGS.NS,EQ,INE767A01016
Aarti Industries Ltd.,Chemicals,AARTIIND.NS,EQ,INE769A01020
Aarti Pharmalabs Ltd.,Healthcare,AARTIPHARM.NS,EQ,INE0LRU01027
Aavas Financiers Ltd.,Financial Services,AAVAS.NS,EQ,INE216P01012
Abbott India Ltd.,Healthcare,ABBOTINDIA.NS,EQ,INE358A01014
Accelya Solutions India Ltd.,Information Technology,ACCELYA.NS,EQ,INE793A01012
Action Construction Equipment Ltd.,Capital Goods,ACE.NS,EQ,INE731H01025
Adani Energy Solutions Ltd.,Power,ADANIENSOL.NS,EQ,INE931S01010
Adani Enterprises Ltd.,Metals & Mining,ADANIENT.NS,EQ,INE423A01024
Adani Green Energy Ltd.,Power,ADANIGREEN.NS,EQ,INE364U01010
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS.NS,EQ,INE742F01042
Adani Power Ltd.,Power,ADANIPOWER.NS,EQ,INE814H01011
Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL.NS,EQ,INE399L01023
Adani Wilmar Ltd.,Fast Moving Consumer Goods,AWL.NS,EQ,INE699H01024
Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL.NS,EQ,INE674K01013
Aditya Birla Fashion and Retail Ltd.,Consumer Services,ABFRL.NS,EQ,INE647O01011
Advanced Enzyme Tech Ltd.,Healthcare,ADVENZYMES.NS,EQ,INE837H01020
Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,AEGISCHEM.NS,EQ,INE208C01025
Aether Industries Ltd.,Chemicals,AETHER.NS,EQ,INE0BWX01014
Affle (India) Ltd.,Information Technology,AFFLE.NS,EQ,INE00WC01027
Ahluwalia Contracts (India) Ltd.,Construction,AHLUCONT.NS,EQ,INE758C01029
Ajanta Pharmaceuticals Ltd.,Healthcare,AJANTPHARM.NS,EQ,INE031B01049
Alembic Pharmaceuticals Ltd.,Healthcare,APLLTD.NS,EQ,INE901L01018
Alkem Laboratories Ltd.,Healthcare,ALKEM.NS,EQ,INE540L01014
Alkyl Amines Chemicals Ltd.,Chemicals,ALKYLAMINE.NS,EQ,INE150B01039
Allcargo Logistics Ltd.,Services,ALLCARGO.NS,EQ,INE418H01029
Alok Industries Ltd.,Textiles,ALOKINDS.NS,BE,INE270A01029
Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,ARE&M.NS,EQ,INE885A01032
Amber Enterprises India Ltd.,Consumer Durables,AMBER.NS,EQ,INE371P01015
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM.NS,EQ,INE079A01024
Ami Organics Ltd.,Healthcare,AMIORG.NS,EQ,INE00FF01017
Anand Rathi Wealth Ltd.,Financial Services,ANANDRATHI.NS,EQ,INE463V01026
Anant Raj Ltd.,Realty,ANANTRAJ.NS,EQ,INE242C01024
Angel One Ltd.,Financial Services,ANGELONE.NS,EQ,INE732I01013
Anupam Rasayan India Ltd.,Chemicals,ANURAS.NS,EQ,INE930P01018
Apar Industries Ltd.,Capital Goods,APARINDS.NS,EQ,INE372A01015
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP.NS,EQ,INE437A01024
Apollo Tyres Ltd.,Automobile and Auto Components,APOLLOTYRE.NS,EQ,INE438A01022
Aptus Value Housing Finance India Ltd.,Financial Services,APTUS.NS,EQ,INE852O01025
Archean Chemical Industries Ltd.,Chemicals,ACI.NS,EQ,INE128X01021
Arvind Fashions Ltd.,Consumer Services,ARVINDFASN.NS,EQ,INE955V01021
Arvind Ltd.,Textiles,ARVIND.NS,EQ,INE034A01011
Asahi India Glass Ltd.,Automobile and Auto Components,ASAHIINDIA.NS,EQ,INE439A01020
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY.NS,EQ,INE208A01029
Ashoka Buildcon Ltd.,Construction,ASHOKA.NS,EQ,INE442H01029
Asian Paints Ltd.,Consumer Durables,ASIANPAINT.NS,EQ,INE021A01026
Aster DM Healthcare Ltd.,Healthcare,ASTERDM.NS,EQ,INE914M01019
Astra Microwave Products Ltd.,Capital Goods,ASTRAMICRO.NS,EQ,INE386C01029
AstraZenca Pharma India Ltd.,Healthcare,ASTRAZEN.NS,EQ,INE203A01020
Astral Ltd.,Capital Goods,ASTRAL.NS,EQ,INE006I01046
Atul Ltd.,Chemicals,ATUL.NS,EQ,INE100A01010
Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA.NS,EQ,INE406A01037
Avalon Technologies Ltd.,Capital Goods,AVALON.NS,EQ,INE0LCL01028
Avanti Feeds Ltd.,Fast Moving Consumer Goods,AVANTIFEED.NS,EQ,INE871C01038
Avenue Supermarts Ltd.,Consumer Services,DMART.NS,EQ,INE192R01011
Axis Bank Ltd.,Financial Services,AXISBANK.NS,EQ,INE238A01034
Azad Engineering Ltd.,Capital Goods,AZAD.NS,EQ,INE02IJ01035
BASF India Ltd.,Chemicals,BASF.NS,EQ,INE373A01013
BEML Ltd.,Capital Goods,BEML.NS,EQ,INE258A01016
BLS International Services Ltd.,Consumer Services,BLS.NS,EQ,INE153T01027
BSE Ltd.,Financial Services,BSE.NS,EQ,INE118H01025
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO.NS,EQ,INE917I01010
Bajaj Consumer Care Ltd.,Fast Moving Consumer Goods,BAJAJCON.NS,EQ,INE933K01021
Bajaj Finance Ltd.,Financial Services,BAJFINANCE.NS,EQ,INE296A01024
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV.NS,EQ,INE918I01026
Bajaj Hindusthan Sugar Ltd.,Fast Moving Consumer Goods,BAJAJHIND.NS,EQ,INE306A01021
Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG.NS,EQ,INE118A01012
Balaji Amines Ltd.,Chemicals,BALAMINES.NS,EQ,INE050E01027
Balkrishna Industries Ltd.,Automobile and Auto Components,BALKRISIND.NS,EQ,INE787D01026
Balmer Lawrie & Co. Ltd.,Diversified,BALMLAWRIE.NS,EQ,INE164A01016
Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,BALRAMCHIN.NS,EQ,INE119A01028
Banco Products (India) Ltd.,Automobile and Auto Components,BANCOINDIA.NS,EQ,INE213C01025
Bandhan Bank Ltd.,Financial Services,BANDHANBNK.NS,EQ,INE545U01014
Bank of Baroda,Financial Services,BANKBARODA.NS,EQ,INE028A01039
Bank of India,Financial Services,BANKINDIA.NS,EQ,INE084A01016
Bank of Maharashtra,Financial Services,MAHABANK.NS,EQ,INE457A01014
Barbeque Nation Hospitality Ltd.,Consumer Services,BARBEQUE.NS,EQ,INE382M01027
Bata India Ltd.,Consumer Durables,BATAINDIA.NS,EQ,INE176A01028
Bayer Cropscience Ltd.,Chemicals,BAYERCROP.NS,EQ,INE462A01022
Berger Paints India Ltd.,Consumer Durables,BERGEPAINT.NS,EQ,INE463A01038
Bhansali Engineering Polymers Ltd.,Chemicals,BEPL.NS,EQ,INE922A01025
Bharat Dynamics Ltd.,Capital Goods,BDL.NS,EQ,INE171Z01018
Bharat Electronics Ltd.,Capital Goods,BEL.NS,EQ,INE263A01024
Bharat Forge Ltd.,Automobile and Auto Components,BHARATFORG.NS,EQ,INE465A01025
Bharat Heavy Electricals Ltd.,Capital Goods,BHEL.NS,EQ,INE257A01026
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL.NS,EQ,INE029A01011
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL.NS,EQ,INE397D01024
Bikaji Foods International Ltd.,Fast Moving Consumer Goods,BIKAJI.NS,EQ,INE00E101023
Biocon Ltd.,Healthcare,BIOCON.NS,EQ,INE376G01013
Birla Corporation Ltd.,Construction Materials,BIRLACORPN.NS,EQ,INE340A01012
Birlasoft Ltd.,Information Technology,BSOFT.NS,EQ,INE836A01035
Blue Dart Express Ltd.,Services,BLUEDART.NS,EQ,INE233B01017
Blue Jet Healthcare Ltd.,Healthcare,BLUEJET.NS,EQ,INE0KBH01020
Blue Star Ltd.,Consumer Durables,BLUESTARCO.NS,EQ,INE472A01039
Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods,BBTC.NS,EQ,INE050A01025
Bombay Dyeing & Manufacturing Co. Ltd.,Textiles,BOMDYEING.NS,EQ,INE032A01023
Borosil Renewables Ltd.,Capital Goods,BORORENEW.NS,EQ,INE666D01022
Bosch Ltd.,Automobile and Auto Components,BOSCHLTD.NS,EQ,INE323A01026
Brigade Enterprises Ltd.,Realty,BRIGADE.NS,EQ,INE791I01019
Brightcom Group Ltd.,Information Technology,BCG.NS,EQ,INE425B01027
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA.NS,EQ,INE216A01030
C.E. Info Systems Ltd.,Information Technology,MAPMYINDIA.NS,EQ,INE0BV301023
CARE Ratings Ltd.,Financial Services,CARERATING.NS,EQ,INE752H01013
CCL Products (I) Ltd.,Fast Moving Consumer Goods,CCL.NS,EQ,INE421D01022
CESC Ltd.,Power,CESC.NS,EQ,INE486A01021
CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER.NS,EQ,INE067A01029
CIE Automotive India Ltd.,Automobile and Auto Components,CIEINDIA.NS,EQ,INE536H01010
CMS Info Systems Ltd.,Services,CMSINFO.NS,EQ,INE925R01014
CRISIL Ltd.,Financial Services,CRISIL.NS,EQ,INE007A01025
CSB Bank Ltd.,Financial Services,CSBBANK.NS,EQ,INE679A01013
Camlin Fine Sciences Ltd.,Chemicals,CAMLINFINE.NS,EQ,INE052I01032
Campus Activewear Ltd.,Consumer Durables,CAMPUS.NS,EQ,INE278Y01022
Can Fin Homes Ltd.,Financial Services,CANFINHOME.NS,EQ,INE477A01020
Canara Bank,Financial Services,CANBK.NS,EQ,INE476A01014
