Company Name,Industry,Symbol,Series,ISIN Code
AGI Greenpac Ltd.,Capital Goods,AGI,EQ,INE415A01038
Aarti Pharmalabs Ltd.,Healthcare,AARTIPHARM,EQ,INE0LRU01027
Accelya Solutions India Ltd.,Information Technology,ACCELYA,EQ,INE793A01012
Action Construction Equipment Ltd.,Capital Goods,ACE,EQ,INE731H01025
Advanced Enzyme Tech Ltd.,Healthcare,ADVENZYMES,EQ,INE837H01020
Ahluwalia Contracts (India) Ltd.,Construction,AHLUCONT,EQ,INE758C01029
Allcargo Gati Ltd.,Services,ACLGATI,EQ,INE152B01027
Ami Organics Ltd.,Healthcare,AMIORG,EQ,INE00FF01017
Anand Rathi Wealth Ltd.,Financial Services,ANANDRATHI,EQ,INE463V01026
Anant Raj Ltd.,Realty,ANANTRAJ,EQ,INE242C01024
Apcotex Industries Ltd.,Capital Goods,APCOTEXIND,EQ,INE116A01032
Apollo Pipes Ltd.,Capital Goods,APOLLOPIPE,EQ,INE126J01016
Arvind Fashions Ltd.,Consumer Services,ARVINDFASN,EQ,INE955V01021
Arvind Ltd.,Textiles,ARVIND,EQ,INE034A01011
Ashoka Buildcon Ltd.,Construction,ASHOKA,EQ,INE442H01029
Astec LifeSciences Ltd.,Chemicals,ASTEC,EQ,INE563J01010
Astra Microwave Products Ltd.,Capital Goods,ASTRAMICRO,EQ,INE386C01029
AstraZenca Pharma India Ltd.,Healthcare,ASTRAZEN,EQ,INE203A01020
Automotive Axles Ltd.,Automobile and Auto Components,AUTOAXLES,EQ,INE449A01011
Avalon Technologies Ltd.,Capital Goods,AVALON,EQ,INE0LCL01028
BASF India Ltd.,Chemicals,BASF,EQ,INE373A01013
Bajaj Consumer Care Ltd.,Fast Moving Consumer Goods,BAJAJCON,EQ,INE933K01021
Bajaj Hindusthan Sugar Ltd.,Fast Moving Consumer Goods,BAJAJHIND,EQ,INE306A01021
Balmer Lawrie & Co. Ltd.,Diversified,BALMLAWRIE,EQ,INE164A01016
Barbeque Nation Hospitality Ltd.,Consumer Services,BARBEQUE,EQ,INE382M01027
Bhansali Engineering Polymers Ltd.,Chemicals,BEPL,EQ,INE922A01025
Bombay Dyeing & Manufacturing Co. Ltd.,Textiles,BOMDYEING,EQ,INE032A01023
CARE Ratings Ltd.,Financial Services,CARERATING,EQ,INE752H01013
CMS Info Systems Ltd.,Services,CMSINFO,EQ,INE925R01014
Camlin Fine Sciences Ltd.,Chemicals,CAMLINFINE,EQ,INE052I01032
Caplin Point Laboratories Ltd.,Healthcare,CAPLIPOINT,EQ,INE475E01026
Cartrade Tech Ltd.,Consumer Services,CARTRADE,EQ,INE290S01011
Carysil Ltd.,Consumer Durables,CARYSIL,EQ,INE482D01024
Chennai Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,CHENNPETRO,EQ,INE178A01016
Choice International Ltd.,Financial Services,CHOICEIN,EQ,INE102B01014
Cigniti Technologies Ltd.,Information Technology,CIGNITITEC,EQ,INE675C01017
Confidence Petroleum India Ltd.,Oil Gas & Consumable Fuels,CONFIPET,EQ,INE552D01024
Cosmo First Ltd.,Capital Goods,COSMOFIRST,EQ,INE757A01017
D B Realty Ltd.,Realty,DBREALTY,EQ,INE879I01012
