Company Name,Industry,Symbol,Series,ISIN Code
360 ONE WAM Ltd.,Financial Services,360ONE,EQ,INE466L01038
Aarti Drugs Ltd.,Healthcare,AARTIDRUGS,EQ,INE767A01016
Aavas Financiers Ltd.,Financial Services,AAVAS,EQ,INE216P01012
Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,AEGISCHEM,EQ,INE208C01025
Aether Industries Ltd.,Chemicals,AETHER,EQ,INE0BWX01014
Affle (India) Ltd.,Information Technology,AFFLE,EQ,INE00WC01027
Alembic Pharmaceuticals Ltd.,Healthcare,APLLTD,EQ,INE901L01018
Alkyl Amines Chemicals Ltd.,Chemicals,ALKYLAMINE,EQ,INE150B01039
Allcargo Logistics Ltd.,Services,ALLCARGO,EQ,INE418H01029
Alok Industries Ltd.,Textiles,ALOKINDS,BE,INE270A01029
Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,ARE&M,EQ,INE885A01032
Amber Enterprises India Ltd.,Consumer Durables,AMBER,EQ,INE371P01015
Angel One Ltd.,Financial Services,ANGELONE,EQ,INE732I01013
Anupam Rasayan India Ltd.,Chemicals,ANURAS,EQ,INE930P01018
Apar Industries Ltd.,Capital Goods,APARINDS,EQ,INE372A01015
Aptus Value Housing Finance India Ltd.,Financial Services,APTUS,EQ,INE852O01025
Archean Chemical Industries Ltd.,Chemicals,ACI,EQ,INE128X01021
Asahi India Glass Ltd.,Automobile and Auto Components,ASAHIINDIA,EQ,INE439A01020
Aster DM Healthcare Ltd.,Healthcare,ASTERDM,EQ,INE914M01019
Avanti Feeds Ltd.,Fast Moving Consumer Goods,AVANTIFEED,EQ,INE871C01038
BEML Ltd.,Capital Goods,BEML,EQ,INE258A01016
BLS International Services Ltd.,Consumer Services,BLS,EQ,INE153T01027
BSE Ltd.,Financial Services,BSE,EQ,INE118H01025
Balaji Amines Ltd.,Chemicals,BALAMINES,EQ,INE050E01027
Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,BALRAMCHIN,EQ,INE119A01028
Bikaji Foods International Ltd.,Fast Moving Consumer Goods,BIKAJI,EQ,INE00E101023
Birla Corporation Ltd.,Construction Materials,BIRLACORPN,EQ,INE340A01012
Birlasoft Ltd.,Information Technology,BSOFT,EQ,INE836A01035
Blue Star Ltd.,Consumer Durables,BLUESTARCO,EQ,INE472A01039
Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods,BBTC,EQ,INE050A01025
Borosil Renewables Ltd.,Capital Goods,BORORENEW,EQ,INE666D01022
Brigade Enterprises Ltd.,Realty,BRIGADE,EQ,INE791I01019
Brightcom Group Ltd.,Information Technology,BCG,EQ,INE425B01027
C.E. Info Systems Ltd.,Information Technology,MAPMYINDIA,EQ,INE0BV301023
CCL Products (I) Ltd.,Fast Moving Consumer Goods,CCL,EQ,INE421D01022
CESC Ltd.,Power,CESC,EQ,INE486A01021
CIE Automotive India Ltd.,Automobile and Auto Components,CIEINDIA,EQ,INE536H01010
CSB Bank Ltd.,Financial Services,CSBBANK,EQ,INE679A01013
Campus Activewear Ltd.,Consumer Durables,CAMPUS,EQ,INE278Y01022
Can Fin Homes Ltd.,Financial Services,CANFINHOME,EQ,INE477A01020
Capri Global Capital Ltd.,Financial Services,CGCL,EQ,INE180C01026
Castrol India Ltd.,Oil Gas & Consumable Fuels,CASTROLIND,EQ,INE172A01027
Ceat Ltd.,Automobile and Auto Components,CEATLTD,EQ,INE482A01020
Central Bank of India,Financial Services,CENTRALBK,EQ,INE483A01010
Central Depository Services (India) Ltd.,Financial Services,CDSL,EQ,INE736A01011
Century Plyboards (India) Ltd.,Consumer Durables,CENTURYPLY,EQ,INE348B01021
Century Textile & Industries Ltd.,Forest Materials,CENTURYTEX,EQ,INE055A01016
Cera Sanitaryware Ltd,Consumer Durables,CERA,EQ,INE739E01017
Chalet Hotels Ltd.,Consumer Services,CHALET,EQ,INE427F01016
Chambal Fertilizers & Chemicals Ltd.,Chemicals,CHAMBLFERT,EQ,INE085A01013
Chemplast Sanmar Ltd.,Chemicals,CHEMPLASTS,EQ,INE488A01050
Cholamandalam Financial Holdings Ltd.,Financial Services,CHOLAHLDNG,EQ,INE149A01033
City Union Bank Ltd.,Financial Services,CUB,EQ,INE491A01021
Clean Science and Technology Ltd.,Chemicals,CLEAN,EQ,INE227W01023
Cochin Shipyard Ltd.,Capital Goods,COCHINSHIP,EQ,INE704P01025
Computer Age Management Services Ltd.,Financial Services,CAMS,EQ,INE596I01012
Concord Biotech Ltd.,Healthcare,CONCORDBIO,EQ,INE338H01029
Craftsman Automation Ltd.,Automobile and Auto Components,CRAFTSMAN,EQ,INE00LO01017
CreditAccess Grameen Ltd.,Financial Services,CREDITACC,EQ,INE741K01010
Cyient Ltd.,Information Technology,CYIENT,EQ,INE136B01020
DCM Shriram Ltd.,Diversified,DCMSHRIRAM,EQ,INE499A01024
Data Patterns (India) Ltd.,Capital Goods,DATAPATTNS,EQ,INE0IX101010
Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals,DEEPAKFERT,EQ,INE501A01019
Delta Corp Ltd.,Consumer Services,DELTACORP,EQ,INE124G01033
E.I.D. Parry (India) Ltd.,Chemicals,EIDPARRY,EQ,INE126A01031
EIH Ltd.,Consumer Services,EIHOTEL,EQ,INE230A01023
EPL Ltd.,Capital Goods,EPL,EQ,INE255A01020
Easy Trip Planners Ltd.,Consumer Services,EASEMYTRIP,EQ,INE07O001026
Elgi Equipments Ltd.,Capital Goods,ELGIEQUIP,EQ,INE285A01027
Engineers India Ltd.,Construction,ENGINERSIN,EQ,INE510A01028
Epigral Ltd.,Chemicals,EPIGRAL,EQ,INE071N01016
Equitas Small Finance Bank Ltd.,Financial Services,EQUITASBNK,EQ,INE063P01018
Eris Lifesciences Ltd.,Healthcare,ERIS,EQ,INE406M01024
Exide Industries Ltd.,Automobile and Auto Components,EXIDEIND,EQ,INE302A01020
FDC Ltd.,Healthcare,FDC,EQ,INE258B01022
Fine Organic Industries Ltd.,Chemicals,FINEORG,EQ,INE686Y01026
Finolex Cables Ltd.,Capital Goods,FINCABLES,EQ,INE235A01022
Finolex Industries Ltd.,Capital Goods,FINPIPE,EQ,INE183A01024
Firstsource Solutions Ltd.,Services,FSL,EQ,INE684F01012
