Symbol,Growth,Industry,sector_rank
RAYMOND.NS,17.568392182250836,Textiles,1.0
WELSPUNLIV.NS,-0.22321817391808274,Textiles,2.0
HFCL.NS,62.546816479400746,Telecommunication,1.0
ROUTE.NS,3.373592463682318,Telecommunication,2.0
TTML.NS,-6.641870458392029,Telecommunication,3.0
TEJASNET.NS,-7.236112604184131,Telecommunication,4.0
REDINGTON.NS,31.193238306070768,Services,1.0
FSL.NS,15.35411110680771,Services,2.0
SJVN.NS,42.46171351525201,Power,1.0
NLCINDIA.NS,35.87562936351467,Power,2.0
CESC.NS,27.213928829971245,Power,3.0
MRPL.NS,91.37931056082311,Oil Gas & Consumable Fuels,1.0
MGL.NS,41.1532320616288,Oil Gas & Consumable Fuels,2.0
AEGISCHEM.NS,19.252642419087927,Oil Gas & Consumable Fuels,3.0
NATIONALUM.NS,76.85333658854168,Metals & Mining,1.0
HINDCOPPER.NS,60.41014024960789,Metals & Mining,2.0
NSLNISP.NS,45.02857317243303,Metals & Mining,3.0
PVRINOX.NS,-19.66963375960572,Media Entertainment & Publication,1.0
INTELLECT.NS,47.312269889347,Information Technology,1.0
BSOFT.NS,24.034974769026608,Information Technology,2.0
SONATSOFTW.NS,20.122736468931212,Information Technology,3.0
TANLA.NS,7.110460792925322,Information Technology,4.0
MEDANTA.NS,36.170100575869846,Healthcare,1.0
NATCOPHARM.NS,26.51515069093131,Healthcare,2.0
GRANULES.NS,18.391243191418518,Healthcare,3.0
GLENMARK.NS,17.114563284433835,Healthcare,4.0
CENTURYTEX.NS,14.230356526898857,Forest Materials,1.0
HUDCO.NS,128.7215299550155,Financial Services,1.0
IOB.NS,62.62627274585579,Financial Services,2.0
UCOBANK.NS,51.97368421052631,Financial Services,3.0
CENTRALBK.NS,43.67946415816304,Financial Services,4.0
RADICO.NS,2.445388993494224,Fast Moving Consumer Goods,1.0
JYOTHYLAB.NS,1.1372634724407193,Fast Moving Consumer Goods,2.0
BIKAJI.NS,-5.678424222841749,Fast Moving Consumer Goods,3.0
RENUKA.NS,-6.024096477831742,Fast Moving Consumer Goods,4.0
BLS.NS,41.09589231985859,Consumer Services,1.0
EASEMYTRIP.NS,26.58064319241431,Consumer Services,2.0
INDIAMART.NS,2.2939437636945392,Consumer Services,3.0
MEDPLUS.NS,-12.676589498919677,Consumer Services,4.0
KALYANKJIL.NS,23.159619644443108,Consumer Durables,1.0
AMBER.NS,16.7701503210812,Consumer Durables,2.0
VIPIND.NS,-7.08423874100138,Consumer Durables,3.0
CAMPUS.NS,-10.434783714405004,Consumer Durables,4.0
BIRLACORPN.NS,17.742222210037696,Construction Materials,1.0
JKLAKSHMI.NS,15.655916978686646,Construction Materials,2.0
NBCC.NS,80.17414233189655,Construction,1.0
IRB.NS,72.05881242971115,Construction,2.0
RITES.NS,69.25295826772614,Construction,3.0
JUBLINGREA.NS,12.525975348758989,Chemicals,1.0
CHAMBLFERT.NS,10.415357374931776,Chemicals,2.0
BALAMINES.NS,10.393019588967212,Chemicals,3.0
ANURAS.NS,-5.494181581939994,Chemicals,4.0
COCHINSHIP.NS,49.502994959029564,Capital Goods,1.0
DATAPATTNS.NS,36.22655536312425,Capital Goods,2.0
ELGIEQUIP.NS,30.538408797037665,Capital Goods,3.0
KEC.NS,22.277822601766495,Capital Goods,4.0
JBMA.NS,72.13293299241528,Automobile and Auto Components,1.0
CEATLTD.NS,31.092595386159026,Automobile and Auto Components,2.0
EXIDEIND.NS,12.126931767929893,Automobile and Auto Components,3.0
ARE&M.NS,10.34191192544569,Automobile and Auto Components,4.0
