Symbol,Growth,Industry,sector_rank
ALOKINDS.NS,42.893393544874094,Textiles,1.0
RAYMOND.NS,7.637176489261721,Textiles,2.0
TRIDENT.NS,5.234164093147142,Textiles,3.0
VTL.NS,3.0574003375188896,Textiles,4.0
HFCL.NS,35.8052457316538,Telecommunication,1.0
INDUSTOWER.NS,30.935254431066284,Telecommunication,2.0
TATACOMM.NS,16.278584041717693,Telecommunication,3.0
ITI.NS,3.4024958573915853,Telecommunication,4.0
MMTC.NS,33.559649841125804,Services,1.0
GPPL.NS,29.722125792539277,Services,2.0
REDINGTON.NS,28.59380576291941,Services,3.0
GMRINFRA.NS,28.16092134019268,Services,4.0
SOBHA.NS,37.043080996604516,Realty,1.0
SWANENERGY.NS,25.526791089704993,Realty,2.0
GODREJPROP.NS,15.825166033288207,Realty,3.0
PHOENIXLTD.NS,12.233128587935859,Realty,4.0
NHPC.NS,50.797873671568915,Power,1.0
SJVN.NS,39.75264946221755,Power,2.0
NLCINDIA.NS,26.72338155898546,Power,3.0
ADANIPOWER.NS,22.12760741144757,Power,4.0
OIL.NS,84.94676853898594,Oil Gas & Consumable Fuels,1.0
MRPL.NS,70.68964588460574,Oil Gas & Consumable Fuels,2.0
HINDPETRO.NS,44.72580632911012,Oil Gas & Consumable Fuels,3.0
CASTROLIND.NS,42.541033724645196,Oil Gas & Consumable Fuels,4.0
NATIONALUM.NS,50.87999674479167,Metals & Mining,1.0
HINDCOPPER.NS,49.643980427376455,Metals & Mining,2.0
SAIL.NS,30.434780472059252,Metals & Mining,3.0
JSL.NS,27.228786593652664,Metals & Mining,4.0
TV18BRDCST.NS,-2.083333333333337,Media Entertainment & Publication,1.0
NETWORK18.NS,-3.4777600096876804,Media Entertainment & Publication,2.0
SAREGAMA.NS,-6.069943525918353,Media Entertainment & Publication,3.0
SUNTV.NS,-11.881259783743047,Media Entertainment & Publication,4.0
OFSS.NS,109.48730227843045,Information Technology,1.0
INTELLECT.NS,57.452519267997545,Information Technology,2.0
PERSISTENT.NS,29.149889817370234,Information Technology,3.0
BSOFT.NS,20.324562394670597,Information Technology,4.0
SPARC.NS,28.440366972477072,Healthcare,1.0
LUPIN.NS,27.227850237950733,Healthcare,2.0
JUBLPHARMA.NS,24.644085072811748,Healthcare,3.0
NATCOPHARM.NS,24.446141333295614,Healthcare,4.0
CENTURYTEX.NS,12.488741783867097,Forest Materials,1.0
JKPAPER.NS,-6.8728011148847195,Forest Materials,2.0
HUDCO.NS,110.79976629913442,Financial Services,1.0
TATAINVEST.NS,91.99481614074276,Financial Services,2.0
IRFC.NS,86.00795379541628,Financial Services,3.0
INFIBEAM.NS,85.85608670930102,Financial Services,4.0
GODFRYPHLP.NS,46.10117673810203,Fast Moving Consumer Goods,1.0
AVANTIFEED.NS,26.398187484656454,Fast Moving Consumer Goods,2.0
BBTC.NS,15.205154792522823,Fast Moving Consumer Goods,3.0
UBL.NS,3.0233282791940708,Fast Moving Consumer Goods,4.0
GODREJIND.NS,16.2742159199736,Diversified,1.0
3MINDIA.NS,-3.0728416892176202,Diversified,2.0
DCMSHRIRAM.NS,-10.079397940853296,Diversified,3.0
EIHOTEL.NS,77.81541296634029,Consumer Services,1.0
INDHOTEL.NS,32.58676915534513,Consumer Services,2.0
BLS.NS,30.574585173426485,Consumer Services,3.0
CHALET.NS,22.536778224793565,Consumer Services,4.0
VOLTAS.NS,28.5038928083857,Consumer Durables,1.0
BLUESTARCO.NS,27.47724974721941,Consumer Durables,2.0
KALYANKJIL.NS,15.215762508811913,Consumer Durables,3.0
DIXON.NS,14.30023794445785,Consumer Durables,4.0
ACC.NS,30.619660447638463,Construction Materials,1.0
JKCEMENT.NS,11.721970535897164,Construction Materials,2.0
JKLAKSHMI.NS,1.0937049971198265,Construction Materials,3.0
BIRLACORPN.NS,0.08422453330176882,Construction Materials,4.0
NBCC.NS,55.52578178296852,Construction,1.0
KPIL.NS,53.32334598381363,Construction,2.0
IRB.NS,49.73261421192947,Construction,3.0
RVNL.NS,47.575757575757585,Construction,4.0
SOLARINDS.NS,31.607353628054934,Chemicals,1.0
TATACHEM.NS,17.042114099967275,Chemicals,2.0
AARTIIND.NS,16.73595493657274,Chemicals,3.0
FLUOROCHEM.NS,15.476797923611718,Chemicals,4.0
POWERINDIA.NS,41.94769216738159,Capital Goods,1.0
CUMMINSIND.NS,41.862832939125425,Capital Goods,2.0
THERMAX.NS,38.32315195835469,Capital Goods,3.0
COCHINSHIP.NS,37.84061487454478,Capital Goods,4.0
JBMA.NS,49.657276348853244,Automobile and Auto Components,1.0
OLECTRA.NS,49.25820769696123,Automobile and Auto Components,2.0
MRF.NS,25.933568436767864,Automobile and Auto Components,3.0
CEATLTD.NS,14.984585383575855,Automobile and Auto Components,4.0
