security,sharetotal,trdQty,nooftrades,avgdailyturn,turnover
HDFC BANK LTD,5.10%,4646.41005,8968546,3707.363438,77854.6322
RELIANCE INDUSTRIES LTD,3.45%,1984.2471,6338963,2510.421295,52718.8472
ICICI BANK LTD.,2.38%,3737.88451,5818389,1730.649307,36343.63545
INFOSYS LIMITED,1.91%,2126.34465,6677944,1389.488694,29179.26256
HDFC LTD,1.49%,821.13037,1827275,1083.883967,22761.56331
STATE BANK OF INDIA,1.36%,3457.43995,5061978,988.0048603,20748.10207
BAJAJ FINANCE LIMITED,1.34%,269.05808,2436273,970.5396774,20381.33323
AXIS BANK LIMITED,1.26%,1999.21066,4408117,919.2667403,19304.60155
KOTAK MAHINDRA BANK LTD,1.22%,987.61385,3175252,886.8933798,18624.76098
TATA MOTORS LIMITED,1.07%,2617.53677,4373819,777.127778,16319.68334
TOTAL of Top Ten securities,20.59%,22646.87599,49086556,14963.63914,314236.4219
TOTAL,100,709116.1969,494129170,72687.21967,1526431.613
