Company Name,Industry,Symbol,Series,ISIN Code,Original_Industry
360 ONE WAM Ltd.,Financial Services,360ONE.NS,EQ,INE466L01038,Financial Services
3M India Ltd.,Diversified,3MINDIA.NS,EQ,INE470A01017,Diversified
ACC Ltd.,Construction Materials,ACC.NS,EQ,INE012A01025,Construction Materials
AIA Engineering Ltd.,Capital Goods,AIAENG.NS,EQ,INE212H01026,Capital Goods
APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO.NS,EQ,INE702C01027,Capital Goods
AU Small Finance Bank Ltd.,Financial Services,AUBANK.NS,EQ,INE949L01017,Financial Services
Aarti Drugs Ltd.,Healthcare,AARTIDRUGS.NS,EQ,INE767A01016,Healthcare
Aarti Industries Ltd.,Chemicals,AARTIIND.NS,EQ,INE769A01020,Chemicals
Aavas Financiers Ltd.,Financial Services,AAVAS.NS,EQ,INE216P01012,Financial Services
Abbott India Ltd.,Healthcare,ABBOTINDIA.NS,EQ,INE358A01014,Healthcare
Adani Power Ltd.,Power,ADANIPOWER.NS,BE,INE814H01011,Power
Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL.NS,EQ,INE674K01013,Financial Services
Aditya Birla Fashion and Retail Ltd.,Consumer Services,ABFRL.NS,EQ,INE647O01011,Consumer Services
Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,AEGISCHEM.NS,EQ,INE208C01025,Oil Gas & Consumable Fuels
Aether Industries Ltd.,Chemicals,AETHER.NS,EQ,INE0BWX01014,Chemicals
Affle (India) Ltd.,Information Technology,AFFLE.NS,EQ,INE00WC01027,Information Technology
Ajanta Pharmaceuticals Ltd.,Healthcare,AJANTPHARM.NS,EQ,INE031B01049,Healthcare
Alembic Pharmaceuticals Ltd.,Healthcare,APLLTD.NS,EQ,INE901L01018,Healthcare
Alkem Laboratories Ltd.,Healthcare,ALKEM.NS,EQ,INE540L01014,Healthcare
Alkyl Amines Chemicals Ltd.,Chemicals,ALKYLAMINE.NS,EQ,INE150B01039,Chemicals
Allcargo Logistics Ltd.,Services,ALLCARGO.NS,EQ,INE418H01029,Services
Alok Industries Ltd.,Textiles,ALOKINDS.NS,BE,INE270A01029,Textiles
Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,ARE&M.NS,EQ,INE885A01032,Automobile and Auto Components
Amber Enterprises India Ltd.,Consumer Durables,AMBER.NS,EQ,INE371P01015,Consumer Durables
Angel One Ltd.,Financial Services,ANGELONE.NS,EQ,INE732I01013,Financial Services
Anupam Rasayan India Ltd.,Chemicals,ANURAS.NS,EQ,INE930P01018,Chemicals
Apar Industries Ltd.,Capital Goods,APARINDS.NS,EQ,INE372A01015,Capital Goods
Apollo Tyres Ltd.,Automobile and Auto Components,APOLLOTYRE.NS,EQ,INE438A01022,Automobile and Auto Components
Aptus Value Housing Finance India Ltd.,Financial Services,APTUS.NS,EQ,INE852O01025,Financial Services
Archean Chemical Industries Ltd.,Chemicals,ACI.NS,EQ,INE128X01021,Chemicals
Asahi India Glass Ltd.,Automobile and Auto Components,ASAHIINDIA.NS,EQ,INE439A01020,Automobile and Auto Components
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY.NS,EQ,INE208A01029,Capital Goods
Aster DM Healthcare Ltd.,Healthcare,ASTERDM.NS,EQ,INE914M01019,Healthcare
Astral Ltd.,Capital Goods,ASTRAL.NS,EQ,INE006I01046,Capital Goods
Atul Ltd.,Chemicals,ATUL.NS,EQ,INE100A01010,Chemicals
Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA.NS,EQ,INE406A01037,Healthcare
Avanti Feeds Ltd.,Fast Moving Consumer Goods,AVANTIFEED.NS,EQ,INE871C01038,Fast Moving Consumer Goods
BEML Ltd.,Capital Goods,BEML.NS,EQ,INE258A01016,Capital Goods
BLS International Services Ltd.,Consumer Services,BLS.NS,EQ,INE153T01027,Consumer Services
BSE Ltd.,Financial Services,BSE.NS,EQ,INE118H01025,Financial Services
Balaji Amines Ltd.,Chemicals,BALAMINES.NS,EQ,INE050E01027,Chemicals
Balkrishna Industries Ltd.,Automobile and Auto Components,BALKRISIND.NS,EQ,INE787D01026,Automobile and Auto Components
Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,BALRAMCHIN.NS,EQ,INE119A01028,Fast Moving Consumer Goods
Bandhan Bank Ltd.,Financial Services,BANDHANBNK.NS,EQ,INE545U01014,Financial Services
Bank of India,Financial Services,BANKINDIA.NS,EQ,INE084A01016,Financial Services
Bank of Maharashtra,Financial Services,MAHABANK.NS,EQ,INE457A01014,Financial Services
Bata India Ltd.,Consumer Durables,BATAINDIA.NS,EQ,INE176A01028,Consumer Durables
Bayer Cropscience Ltd.,Chemicals,BAYERCROP.NS,EQ,INE462A01022,Chemicals
Bharat Dynamics Ltd.,Capital Goods,BDL.NS,EQ,INE171Z01018,Capital Goods
Bharat Forge Ltd.,Capital Goods,BHARATFORG.NS,EQ,INE465A01025,Capital Goods
Bharat Heavy Electricals Ltd.,Capital Goods,BHEL.NS,EQ,INE257A01026,Capital Goods
Bikaji Foods International Ltd.,Fast Moving Consumer Goods,BIKAJI.NS,EQ,INE00E101023,Fast Moving Consumer Goods
Biocon Ltd.,Healthcare,BIOCON.NS,EQ,INE376G01013,Healthcare
Birla Corporation Ltd.,Construction Materials,BIRLACORPN.NS,EQ,INE340A01012,Construction Materials
Birlasoft Ltd.,Information Technology,BSOFT.NS,EQ,INE836A01035,Information Technology
Blue Dart Express Ltd.,Services,BLUEDART.NS,EQ,INE233B01017,Services
Blue Star Ltd.,Consumer Durables,BLUESTARCO.NS,EQ,INE472A01039,Consumer Durables
Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods,BBTC.NS,EQ,INE050A01025,Fast Moving Consumer Goods
Borosil Renewables Ltd.,Capital Goods,BORORENEW.NS,EQ,INE666D01022,Capital Goods
Brigade Enterprises Ltd.,Realty,BRIGADE.NS,EQ,INE791I01019,Realty
Brightcom Group Ltd.,Information Technology,BCG.NS,EQ,INE425B01027,Information Technology
C.E. Info Systems Ltd.,Information Technology,MAPMYINDIA.NS,EQ,INE0BV301023,Information Technology
CCL Products (I) Ltd.,Fast Moving Consumer Goods,CCL.NS,EQ,INE421D01022,Fast Moving Consumer Goods
CESC Ltd.,Power,CESC.NS,EQ,INE486A01021,Power
CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER.NS,EQ,INE067A01029,Capital Goods
CIE Automotive India Ltd.,Automobile and Auto Components,CIEINDIA.NS,EQ,INE536H01010,Automobile and Auto Components
CRISIL Ltd.,Financial Services,CRISIL.NS,EQ,INE007A01025,Financial Services
CSB Bank Ltd.,Financial Services,CSBBANK.NS,EQ,INE679A01013,Financial Services
Campus Activewear Ltd.,Consumer Durables,CAMPUS.NS,EQ,INE278Y01022,Consumer Durables
