Company Name,Industry,Symbol,Series,ISIN Code,Original_Industry
Cochin Shipyard Ltd.,Capital Goods,COCHINSHIP.NS,EQ,INE704P01025,Capital Goods
Housing & Urban Development Corporation Ltd.,Financial Services,HUDCO.NS,EQ,INE031A01017,Financial Services
IRB Infrastructure Developers Ltd.,Construction,IRB.NS,EQ,INE821I01022,Construction
Indiamart Intermesh Ltd.,Consumer Services,INDIAMART.NS,EQ,INE933S01016,Consumer Services
Indian Energy Exchange Ltd.,Financial Services,IEX.NS,EQ,INE022Q01020,Financial Services
Indian Overseas Bank,Financial Services,IOB.NS,EQ,INE565A01014,Financial Services
Intellect Design Arena Ltd.,Information Technology,INTELLECT.NS,EQ,INE306R01017,Information Technology
J.B. Chemicals & Pharmaceuticals Ltd.,Healthcare,JBCHEPHARM.NS,EQ,INE572A01036,Healthcare
JBM Auto Ltd.,Automobile and Auto Components,JBMA.NS,EQ,INE927D01044,Automobile and Auto Components
Route Mobile Ltd.,Telecommunication,ROUTE.NS,EQ,INE450U01017,Telecommunication
SJVN Ltd.,Power,SJVN.NS,EQ,INE002L01015,Power
Shree Renuka Sugars Ltd.,Fast Moving Consumer Goods,RENUKA.NS,EQ,INE087H01022,Fast Moving Consumer Goods
Sonata Software Ltd.,Information Technology,SONATSOFTW.NS,EQ,INE269A01021,Information Technology
Suzlon Energy Ltd.,Capital Goods,SUZLON.NS,BE,INE040H01021,Capital Goods
Tanla Platforms Ltd.,Information Technology,TANLA.NS,EQ,INE483C01032,Information Technology
Tata Teleservices (Maharashtra) Ltd.,Telecommunication,TTML.NS,EQ,INE517B01013,Telecommunication
Tejas Networks Ltd.,Telecommunication,TEJASNET.NS,EQ,INE010J01012,Telecommunication
Triveni Turbine Ltd.,Capital Goods,TRITURBINE.NS,EQ,INE152M01016,Capital Goods
UCO Bank,Financial Services,UCOBANK.NS,EQ,INE691A01018,Financial Services
UTI Asset Management Company Ltd.,Financial Services,UTIAMC.NS,EQ,INE094J01016,Financial Services
V.I.P. Industries Ltd.,Consumer Durables,VIPIND.NS,EQ,INE054A01027,Consumer Durables
Welspun Living Ltd.,Textiles,WELSPUNLIV.NS,EQ,INE192B01031,Textiles
Zensar Technolgies Ltd.,Information Technology,ZENSARTECH.NS,EQ,INE520A01027,Information Technology
