Company Name,Industry,Symbol,Series,ISIN Code,Original_Industry
Aavas Financiers Ltd.,Financial Services,AAVAS.NS,EQ,INE216P01012,Financial Services
Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,AEGISCHEM.NS,EQ,INE208C01025,Oil Gas & Consumable Fuels
Affle (India) Ltd.,Information Technology,AFFLE.NS,EQ,INE00WC01027,Information Technology
Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,ARE&M.NS,EQ,INE885A01032,Automobile and Auto Components
Amber Enterprises India Ltd.,Consumer Durables,AMBER.NS,EQ,INE371P01015,Consumer Durables
Angel One Ltd.,Financial Services,ANGELONE.NS,EQ,INE732I01013,Financial Services
Anupam Rasayan India Ltd.,Chemicals,ANURAS.NS,EQ,INE930P01018,Chemicals
Apar Industries Ltd.,Capital Goods,APARINDS.NS,EQ,INE372A01015,Capital Goods
BLS International Services Ltd.,Consumer Services,BLS.NS,EQ,INE153T01027,Consumer Services
BSE Ltd.,Financial Services,BSE.NS,EQ,INE118H01025,Financial Services
Balaji Amines Ltd.,Chemicals,BALAMINES.NS,EQ,INE050E01027,Chemicals
Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,BALRAMCHIN.NS,EQ,INE119A01028,Fast Moving Consumer Goods
Bikaji Foods International Ltd.,Fast Moving Consumer Goods,BIKAJI.NS,EQ,INE00E101023,Fast Moving Consumer Goods
Birla Corporation Ltd.,Construction Materials,BIRLACORPN.NS,EQ,INE340A01012,Construction Materials
Birlasoft Ltd.,Information Technology,BSOFT.NS,EQ,INE836A01035,Information Technology
CESC Ltd.,Power,CESC.NS,EQ,INE486A01021,Power
CIE Automotive India Ltd.,Automobile and Auto Components,CIEINDIA.NS,EQ,INE536H01010,Automobile and Auto Components
Campus Activewear Ltd.,Consumer Durables,CAMPUS.NS,EQ,INE278Y01022,Consumer Durables
Can Fin Homes Ltd.,Financial Services,CANFINHOME.NS,EQ,INE477A01020,Financial Services
Ceat Ltd.,Automobile and Auto Components,CEATLTD.NS,EQ,INE482A01020,Automobile and Auto Components
Central Bank of India,Financial Services,CENTRALBK.NS,EQ,INE483A01010,Financial Services
Central Depository Services (India) Ltd.,Financial Services,CDSL.NS,EQ,INE736A01011,Financial Services
Century Textile & Industries Ltd.,Forest Materials,CENTURYTEX.NS,EQ,INE055A01016,Forest Materials
Chambal Fertilizers & Chemicals Ltd.,Chemicals,CHAMBLFERT.NS,EQ,INE085A01013,Chemicals
City Union Bank Ltd.,Financial Services,CUB.NS,EQ,INE491A01021,Financial Services
Cochin Shipyard Ltd.,Capital Goods,COCHINSHIP.NS,EQ,INE704P01025,Capital Goods
Computer Age Management Services Ltd.,Financial Services,CAMS.NS,EQ,INE596I01012,Financial Services
CreditAccess Grameen Ltd.,Financial Services,CREDITACC.NS,EQ,INE741K01010,Financial Services
Cyient Ltd.,Information Technology,CYIENT.NS,EQ,INE136B01020,Information Technology
Data Patterns (India) Ltd.,Capital Goods,DATAPATTNS.NS,EQ,INE0IX101010,Capital Goods
Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals,DEEPAKFERT.NS,EQ,INE501A01019,Chemicals
Easy Trip Planners Ltd.,Consumer Services,EASEMYTRIP.NS,EQ,INE07O001026,Consumer Services
Elgi Equipments Ltd.,Capital Goods,ELGIEQUIP.NS,EQ,INE285A01027,Capital Goods
Equitas Small Finance Bank Ltd.,Financial Services,EQUITASBNK.NS,EQ,INE063P01018,Financial Services
Exide Industries Ltd.,Automobile and Auto Components,EXIDEIND.NS,EQ,INE302A01020,Automobile and Auto Components
Finolex Cables Ltd.,Capital Goods,FINCABLES.NS,EQ,INE235A01022,Capital Goods
Firstsource Solutions Ltd.,Services,FSL.NS,EQ,INE684F01012,Services
Glenmark Pharmaceuticals Ltd.,Healthcare,GLENMARK.NS,EQ,INE935A01035,Healthcare
Global Health Ltd.,Healthcare,MEDANTA.NS,EQ,INE474Q01031,Healthcare
Granules India Ltd.,Healthcare,GRANULES.NS,EQ,INE101D01020,Healthcare
Graphite India Ltd.,Capital Goods,GRAPHITE.NS,EQ,INE371A01025,Capital Goods
Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,Chemicals,GNFC.NS,EQ,INE113A01013,Chemicals
HFCL Ltd.,Telecommunication,HFCL.NS,EQ,INE548A01028,Telecommunication
Happiest Minds Technologies Ltd.,Information Technology,HAPPSTMNDS.NS,EQ,INE419U01012,Information Technology
Hindustan Copper Ltd.,Metals & Mining,HINDCOPPER.NS,EQ,INE531E01026,Metals & Mining
Housing & Urban Development Corporation Ltd.,Financial Services,HUDCO.NS,EQ,INE031A01017,Financial Services
IDBI Bank Ltd.,Financial Services,IDBI.NS,EQ,INE008A01015,Financial Services
IDFC Ltd.,Financial Services,IDFC.NS,EQ,INE043D01016,Financial Services
IIFL Finance Ltd.,Financial Services,IIFL.NS,EQ,INE530B01024,Financial Services
IRB Infrastructure Developers Ltd.,Construction,IRB.NS,EQ,INE821I01022,Construction
Indiamart Intermesh Ltd.,Consumer Services,INDIAMART.NS,EQ,INE933S01016,Consumer Services
Indian Energy Exchange Ltd.,Financial Services,IEX.NS,EQ,INE022Q01020,Financial Services
Indian Overseas Bank,Financial Services,IOB.NS,EQ,INE565A01014,Financial Services
Intellect Design Arena Ltd.,Information Technology,INTELLECT.NS,EQ,INE306R01017,Information Technology
J.B. Chemicals & Pharmaceuticals Ltd.,Healthcare,JBCHEPHARM.NS,EQ,INE572A01036,Healthcare
JBM Auto Ltd.,Automobile and Auto Components,JBMA.NS,EQ,INE927D01044,Automobile and Auto Components
JK Lakshmi Cement Ltd.,Construction Materials,JKLAKSHMI.NS,EQ,INE786A01032,Construction Materials
Jubilant Ingrevia Ltd.,Chemicals,JUBLINGREA.NS,EQ,INE0BY001018,Chemicals
Jyothy Labs Ltd.,Fast Moving Consumer Goods,JYOTHYLAB.NS,EQ,INE668F01031,Fast Moving Consumer Goods
KEI Industries Ltd.,Capital Goods,KEI.NS,EQ,INE878B01027,Capital Goods
KRBL Ltd.,Fast Moving Consumer Goods,KRBL.NS,EQ,INE001B01026,Fast Moving Consumer Goods
Kalyan Jewellers India Ltd.,Consumer Durables,KALYANKJIL.NS,EQ,INE303R01014,Consumer Durables
Karur Vysya Bank Ltd.,Financial Services,KARURVYSYA.NS,EQ,INE036D01028,Financial Services
Kec International Ltd.,Capital Goods,KEC.NS,EQ,INE389H01022,Capital Goods
