Date,Open,High,Low,Close,P/E,P/B,Div Yield %
2000-01-03,3998.25,4291.15,3998.25,4288.6,39.45,6.0,0.62
2000-01-04,4298.75,4515.15,4298.75,4488.2,41.29,6.28,0.59
2000-01-05,4495.25,4579.35,4257.75,4291.6,39.48,6.0,0.62
2000-01-06,4294.75,4377.75,4200.4,4244.3,39.04,5.94,0.62
2000-01-07,4241.85,4241.85,4020.3,4027.8,37.05,5.63,0.66
2000-01-10,4031.25,4056.75,3933.15,3959.7,36.43,5.54,0.67
2000-01-11,3986.35,4097.4,3721.3,3928.7,36.14,5.49,0.67
2000-01-12,3929.9,4109.25,3929.9,4066.1,37.37,5.72,0.66
2000-01-13,4061.2,4117.9,3973.75,3995.0,36.33,5.57,0.67
2000-01-14,3997.9,4019.4,3896.85,3937.4,35.81,5.49,0.68
2000-01-17,3967.1,4056.3,3967.1,4034.0,36.69,5.62,0.67
2000-01-18,4035.8,4040.4,3946.2,3959.0,36.01,5.52,0.68
2000-01-19,4004.25,4169.75,4004.25,4158.7,37.82,5.79,0.65
2000-01-20,4159.05,4331.25,4159.05,4252.9,38.68,5.93,0.63
2000-01-21,4253.6,4336.9,4232.65,4325.7,39.34,6.03,0.62
2000-01-24,4341.75,4441.15,4341.75,4378.9,39.83,6.1,0.61
2000-01-25,4381.9,4385.35,4278.75,4328.8,39.37,6.03,0.62
2000-01-27,4330.15,4492.55,4330.15,4364.9,39.83,6.1,0.61
2000-01-28,4362.25,4534.9,4329.6,4509.9,41.15,6.3,0.59
2000-01-31,4506.15,4540.8,4319.25,4351.9,39.71,6.08,0.61
2000-02-01,4353.3,4469.2,4353.3,4432.9,40.19,6.19,0.6
2000-02-02,4447.1,4646.05,4447.1,4574.7,41.48,6.39,0.58
2000-02-03,4592.3,4725.15,4588.25,4715.3,42.75,6.58,0.57
2000-02-04,4717.95,4857.85,4699.1,4719.5,42.79,6.59,0.57
2000-02-07,4719.55,4755.35,4614.55,4679.4,42.43,6.53,0.57
2000-02-08,4681.65,4794.45,4655.05,4679.2,42.43,6.53,0.57
2000-02-09,4688.35,4841.25,4657.25,4684.3,42.47,6.54,0.57
2000-02-10,4676.4,4778.05,4651.7,4755.8,43.12,6.64,0.56
2000-02-11,4758.3,4882.65,4758.1,4785.3,43.39,6.68,0.56
2000-02-14,4787.65,4819.0,4661.3,4749.3,43.06,6.63,0.56
2000-02-15,4741.8,4761.55,4584.45,4611.8,42.01,6.42,0.58
2000-02-16,4613.65,4796.3,4613.65,4734.7,43.17,6.6,0.56
2000-02-17,4736.1,4893.0,4736.1,4854.7,44.26,6.76,0.55
2000-02-18,4856.05,4960.1,4825.5,4850.7,44.22,6.76,0.55
2000-02-21,4876.25,5056.8,4876.25,5042.8,45.98,7.03,0.53
2000-02-22,5043.8,5231.65,5043.8,5086.9,46.38,7.09,0.53
2000-02-23,5251.3,5365.9,4886.5,4931.3,44.75,6.86,0.55
2000-02-24,4933.75,5146.8,4887.3,4992.2,45.3,6.95,0.54
2000-02-25,4996.9,5147.05,4725.9,4766.4,43.25,6.63,0.57
2000-02-28,4764.65,4879.8,4560.25,4725.0,42.88,6.57,0.57
2000-02-29,4726.85,4903.7,4394.3,4447.2,40.36,6.19,0.61
2000-03-01,4446.45,4703.1,4395.45,4679.1,42.44,6.51,0.59
2000-03-02,4682.35,4960.75,4682.35,4893.9,44.39,6.81,0.56
2000-03-03,4886.8,5065.65,4661.0,4711.6,42.74,6.55,0.58
2000-03-06,4711.65,4853.6,4711.65,4804.8,43.58,6.68,0.57
2000-03-07,4810.1,4862.15,4640.5,4661.6,42.28,6.48,0.58
2000-03-08,4671.0,4788.0,4600.8,4630.7,41.94,6.43,0.59
2000-03-09,4634.65,4764.35,4383.15,4449.2,40.29,6.18,0.62
2000-03-10,4443.9,4502.6,4187.65,4208.4,38.11,5.85,0.65
2000-03-13,4208.4,4339.5,4009.6,4038.6,36.58,5.61,0.66
2000-03-14,4038.65,4176.25,3929.0,4149.3,37.58,5.76,0.64
2000-03-15,4188.3,4225.25,4060.15,4150.8,37.59,5.77,0.64
2000-03-16,4151.8,4151.8,3910.35,3914.3,35.45,5.44,0.68
2000-03-21,3914.3,3915.8,3716.35,3730.9,33.79,5.18,0.71
2000-03-22,3691.2,3887.35,3617.75,3670.8,33.25,5.1,0.74
2000-03-23,3668.55,3842.5,3668.55,3738.0,33.85,5.19,0.72
2000-03-24,3748.7,3893.4,3688.0,3869.2,35.04,5.37,0.7
2000-03-27,3869.4,3931.5,3816.25,3879.7,35.14,5.39,0.7
2000-03-28,3880.8,3901.25,3726.1,3772.4,34.17,5.24,0.72
2000-03-29,3773.7,3880.4,3770.5,3790.1,34.33,5.26,0.71
2000-03-30,3787.25,3794.1,3603.35,3737.5,33.85,5.19,0.72
2000-03-31,3740.4,3740.4,3569.9,3695.7,33.47,5.13,0.73
2000-04-03,3720.45,3771.8,3502.4,3504.4,31.74,4.87,0.77
2000-04-04,3504.4,3504.4,3239.6,3247.2,29.41,4.51,0.83
2000-04-05,3236.2,3236.2,3092.35,3126.5,28.32,4.34,0.97
2000-04-06,3128.15,3193.55,2926.75,3131.8,28.36,4.35,0.97
2000-04-07,3132.15,3349.55,3132.15,3345.7,30.3,4.65,0.9
2000-04-10,3351.7,3552.95,3351.7,3545.0,32.11,4.92,0.85
2000-04-11,3545.05,3633.4,3346.15,3617.1,32.76,5.02,0.84
2000-04-12,3614.0,3754.85,3594.65,3714.2,33.45,5.03,0.92
2000-04-13,3711.75,3711.75,3483.25,3535.6,31.82,4.79,0.97
2000-04-17,3528.8,3528.8,3286.75,3304.1,29.63,4.13,1.04
2000-04-18,3304.15,3414.75,3189.25,3197.5,28.68,3.99,1.07
2000-04-19,3270.35,3305.8,3022.65,3052.3,27.52,3.83,1.12
2000-04-20,3050.75,3050.75,2849.2,2901.2,26.16,3.64,1.18
2000-04-24,2900.8,2918.8,2743.4,2761.3,24.9,3.46,1.24
2000-04-25,2759.4,2798.25,2572.65,2772.8,25.0,3.48,1.23
2000-04-26,2849.3,2949.3,2849.3,2944.8,26.57,3.69,1.36
2000-04-27,2943.6,2951.25,2806.35,2823.9,25.47,3.54,1.42
2000-04-28,2824.2,2870.0,2738.65,2788.6,25.16,3.5,1.43
2000-05-02,2780.95,2820.65,2541.0,2547.8,22.98,3.2,1.49
2000-05-03,2548.15,2548.15,2340.25,2477.8,22.35,3.11,1.53
2000-05-04,2479.7,2659.2,2479.7,2651.3,23.92,3.33,1.43
2000-05-05,2656.95,2815.5,2656.95,2779.8,25.08,3.49,1.37
2000-05-08,2786.15,2870.0,2654.25,2681.4,24.08,3.36,1.42
2000-05-09,2680.05,2791.05,2553.75,2778.4,24.95,3.48,1.37
2000-05-10,2818.85,2839.6,2612.7,2618.8,23.15,3.14,1.46
2000-05-11,2617.55,2617.55,2413.7,2423.0,21.42,2.9,1.58
2000-05-12,2425.85,2426.8,2266.1,2276.0,20.1,2.7,1.68
2000-05-15,2220.6,2375.9,2105.45,2344.8,20.71,2.78,1.63
2000-05-16,2350.15,2369.8,2272.75,2321.0,20.5,2.75,1.65
2000-05-17,2325.8,2442.45,2272.05,2306.8,20.37,2.74,1.66
2000-05-18,2303.8,2357.0,2297.3,2328.1,20.56,2.76,1.64
2000-05-19,2335.75,2357.95,2250.9,2268.8,20.04,2.69,1.69
2000-05-22,2267.55,2267.55,2151.45,2160.1,19.08,2.56,1.74
2000-05-23,2154.15,2183.35,2059.2,2136.4,18.87,2.53,1.76
2000-05-24,2135.15,2183.35,2092.85,2175.4,14.99,1.96,2.15
2000-05-25,2176.3,2245.6,2175.9,2197.6,15.15,1.98,2.13
2000-05-26,2196.9,2198.5,2155.25,2187.0,15.07,1.97,2.14
2000-05-29,2185.95,2252.45,2168.7,2241.8,15.45,2.02,2.05
2000-05-30,2249.2,2350.8,2249.2,2344.2,16.16,2.11,1.98
2000-05-31,2354.0,2496.35,2354.0,2448.7,16.87,2.21,1.9
2000-06-01,2444.65,2463.05,2424.55,2438.7,16.03,2.14,1.86
2000-06-02,2446.45,2531.4,2446.45,2521.1,16.58,2.21,1.8
2000-06-05,2522.6,2684.7,2522.6,2573.2,16.92,2.26,1.71
2000-06-06,2575.45,2632.45,2542.6,2621.4,17.23,2.3,1.68
2000-06-07,2624.3,2709.8,2609.85,2685.0,17.65,2.36,1.64
2000-06-08,2699.45,2765.4,2699.45,2753.9,18.11,2.42,1.6
2000-06-09,2761.9,2774.85,2646.05,2682.4,17.64,2.35,1.64
2000-06-12,2683.85,2686.6,2606.4,2628.1,17.28,2.31,1.59
2000-06-13,2635.6,2685.05,2564.05,2677.1,17.6,2.35,1.56
2000-06-14,2694.1,2765.85,2689.55,2732.7,17.93,2.39,1.55
2000-06-15,2734.05,2770.3,2707.9,2753.4,18.07,2.41,1.53
2000-06-16,2752.8,2790.5,2732.8,2777.6,18.23,2.43,1.52
2000-06-19,2778.35,2876.8,2778.35,2856.5,18.75,2.5,1.36
2000-06-20,2858.55,2973.3,2858.55,2956.6,19.4,2.59,1.31
2000-06-21,2951.75,2989.5,2855.7,2872.7,18.89,2.52,1.36
2000-06-22,2874.15,2891.7,2833.3,2867.4,18.85,2.51,1.36
2000-06-23,2861.4,2866.25,2751.3,2768.7,18.29,2.41,1.41
2000-06-26,2778.65,2778.65,2664.7,2726.0,18.0,2.38,1.34
2000-06-27,2727.35,2772.4,2699.05,2706.0,17.43,2.32,1.35
2000-06-28,2705.4,2743.7,2690.95,2732.4,17.6,2.35,1.34
2000-06-29,2734.15,2798.0,2723.35,2735.9,17.62,2.35,1.34
2000-06-30,2732.2,2732.2,2654.6,2672.4,17.21,2.3,1.37
2000-07-03,2687.3,2764.8,2687.3,2745.1,17.68,2.36,1.33
2000-07-04,2746.3,2784.2,2744.3,2754.9,17.74,2.37,1.33
2000-07-05,2760.9,2801.9,2736.65,2758.9,17.77,2.37,1.33
2000-07-06,2753.75,2753.75,2709.1,2746.0,17.69,2.36,1.33
2000-07-07,2746.4,2757.7,2709.4,2711.7,17.47,2.33,1.35
2000-07-10,2714.8,2740.2,2678.3,2688.3,17.31,2.31,1.19
2000-07-11,2689.75,2697.25,2652.5,2662.2,17.15,2.29,1.2
2000-07-12,2664.25,2766.95,2663.9,2754.4,17.74,2.37,1.16
2000-07-13,2762.65,2812.5,2690.25,2712.9,17.47,2.33,1.18
2000-07-14,2711.1,2734.45,2674.95,2688.9,17.32,2.31,1.19
2000-07-17,2689.6,2718.95,2681.05,2688.4,17.32,2.31,1.15
2000-07-18,2691.9,2695.1,2639.7,2659.3,17.13,2.28,1.16
2000-07-19,2656.15,2680.0,2615.25,2620.5,16.88,2.25,1.35
2000-07-20,2619.6,2625.3,2567.55,2600.8,16.75,2.23,1.36
2000-07-21,2602.75,2653.05,2580.8,2591.2,16.69,2.23,1.37
2000-07-24,2588.25,2588.25,2416.5,2439.7,15.52,2.07,1.44
