Date,Open,High,Low,Close,P/E,P/B,Div Yield %
2000-01-03,1482.15,1592.9,1482.15,1592.2,25.91,4.63,0.95
2000-01-04,1594.4,1641.95,1594.4,1638.7,26.67,4.76,0.92
2000-01-05,1634.55,1635.5,1555.05,1595.8,25.97,4.64,0.95
2000-01-06,1595.8,1639.0,1595.8,1617.6,26.32,4.7,0.94
2000-01-07,1616.6,1628.25,1597.2,1613.3,26.25,4.69,0.94
2000-01-10,1615.65,1662.1,1614.95,1632.9,26.57,4.74,0.93
2000-01-11,1633.25,1639.9,1548.25,1572.5,25.59,4.57,0.96
2000-01-12,1572.3,1631.55,1571.7,1624.8,26.44,4.72,0.93
2000-01-13,1627.85,1671.15,1613.65,1621.4,26.38,4.71,0.93
2000-01-14,1622.15,1627.4,1591.4,1622.7,26.41,4.71,0.93
2000-01-17,1623.5,1668.45,1604.65,1611.6,26.22,4.68,0.94
2000-01-18,1611.65,1615.15,1587.85,1606.7,26.15,4.67,0.94
2000-01-19,1610.05,1644.45,1608.85,1634.8,26.6,4.75,0.93
2000-01-20,1634.65,1644.4,1596.65,1601.1,26.05,4.65,0.95
2000-01-21,1601.25,1626.5,1593.2,1620.6,26.37,4.71,0.93
2000-01-24,1623.05,1645.0,1608.3,1613.6,26.26,4.69,0.94
2000-01-25,1612.95,1613.65,1579.55,1586.4,25.81,4.61,0.95
2000-01-27,1600.5,1633.55,1600.05,1603.9,26.1,4.66,0.94
2000-01-28,1603.65,1610.9,1592.7,1599.1,26.02,4.65,0.95
2000-01-31,1598.35,1598.35,1538.7,1546.2,25.16,4.49,0.98
2000-02-01,1546.2,1554.15,1521.4,1549.5,25.13,4.51,0.98
2000-02-02,1554.2,1605.9,1554.2,1588.0,25.75,4.62,0.95
2000-02-03,1591.25,1616.7,1591.25,1597.9,25.91,4.65,0.95
2000-02-04,1598.5,1621.35,1596.45,1599.7,25.94,4.65,0.94
2000-02-07,1599.8,1645.9,1599.8,1636.6,26.54,4.76,0.92
2000-02-08,1636.6,1676.1,1636.6,1662.7,26.96,4.83,0.91
2000-02-09,1666.95,1731.65,1666.7,1689.6,27.4,4.91,0.93
2000-02-10,1692.1,1713.7,1692.1,1711.2,27.75,4.98,0.92
2000-02-11,1712.85,1771.65,1712.85,1756.0,28.47,5.11,0.9
2000-02-14,1777.75,1795.45,1738.75,1744.5,28.29,5.07,0.9
2000-02-15,1744.5,1744.5,1694.45,1702.5,27.19,4.93,0.92
2000-02-16,1704.85,1742.8,1704.15,1711.1,27.32,4.95,0.92
2000-02-17,1710.05,1753.1,1710.05,1742.1,27.82,5.04,0.9
2000-02-18,1742.3,1764.15,1713.45,1717.8,27.43,4.97,0.9
2000-02-21,1719.55,1767.8,1719.55,1753.5,28.0,5.08,0.89
2000-02-22,1754.2,1781.05,1733.55,1739.0,27.77,5.03,0.89
2000-02-23,1745.2,1818.15,1689.2,1696.4,27.09,4.91,0.92
2000-02-24,1696.4,1751.6,1693.1,1732.0,27.66,5.01,0.9
2000-02-25,1734.05,1757.05,1699.25,1710.4,27.29,4.95,0.91
2000-02-28,1711.15,1726.65,1670.75,1722.5,27.49,4.98,0.9
2000-02-29,1722.85,1783.3,1626.35,1654.8,26.36,4.79,0.94
2000-03-01,1661.5,1727.9,1630.0,1712.7,27.35,4.96,0.91
2000-03-02,1713.65,1773.85,1690.05,1696.5,27.09,4.92,0.91
2000-03-03,1696.45,1719.15,1644.4,1656.0,26.47,4.8,0.94
2000-03-06,1656.0,1721.0,1656.0,1688.5,26.99,4.89,0.92
2000-03-07,1711.85,1730.85,1684.9,1702.7,27.22,4.94,0.91
2000-03-08,1717.75,1765.25,1654.45,1666.3,26.64,4.83,1.03
2000-03-09,1667.45,1692.25,1595.45,1646.2,26.32,4.77,1.04
2000-03-10,1647.85,1680.45,1588.2,1602.7,25.62,4.65,1.07
2000-03-13,1601.4,1645.0,1553.45,1560.7,24.95,4.52,1.1
2000-03-14,1561.55,1571.3,1503.2,1567.0,25.05,4.54,1.09
2000-03-15,1546.8,1630.95,1538.7,1620.1,25.9,4.7,1.06
2000-03-16,1620.4,1621.2,1554.3,1562.2,24.97,4.53,1.09
2000-03-21,1563.3,1585.25,1542.65,1556.6,24.89,4.51,1.02
2000-03-22,1551.05,1604.0,1551.05,1589.6,25.41,4.61,1.03
2000-03-23,1590.3,1629.2,1544.5,1553.4,24.83,4.5,1.06
2000-03-24,1554.2,1579.4,1540.45,1569.5,25.09,4.55,1.05
2000-03-27,1570.45,1593.3,1555.75,1562.9,24.99,4.53,1.05
2000-03-28,1563.3,1575.85,1527.55,1568.6,25.08,4.55,1.04
2000-03-29,1569.3,1609.4,1553.4,1558.2,25.08,4.55,1.04
2000-03-30,1556.95,1557.85,1489.1,1549.5,24.94,4.52,1.05
2000-03-31,1545.55,1545.55,1493.9,1528.4,24.6,4.46,1.06
2000-04-03,1528.7,1555.5,1510.75,1534.7,24.7,4.48,1.06
2000-04-04,1534.05,1534.05,1420.85,1428.1,22.99,4.17,1.14
2000-04-05,1428.5,1467.4,1391.65,1434.6,23.09,4.19,1.51
2000-04-06,1436.15,1475.25,1381.05,1452.9,23.39,4.24,1.49
2000-04-07,1453.3,1558.05,1453.3,1557.1,25.06,4.54,1.39
2000-04-10,1557.55,1636.95,1557.55,1613.0,25.96,4.71,1.34
2000-04-11,1613.0,1631.6,1550.85,1624.6,25.72,4.71,1.33
2000-04-12,1624.4,1628.55,1586.0,1592.7,25.21,4.62,1.47
2000-04-13,1587.95,1587.95,1502.7,1518.6,23.98,4.38,1.54
2000-04-17,1518.55,1518.55,1412.45,1443.5,21.74,3.91,1.62
2000-04-18,1443.55,1478.85,1410.0,1414.8,21.31,3.84,1.66
2000-04-19,1417.75,1469.05,1375.05,1404.9,21.07,3.8,1.73
2000-04-20,1405.7,1425.55,1339.75,1415.6,21.23,3.83,1.71
2000-04-24,1416.05,1431.8,1371.85,1388.0,20.82,3.76,1.75
2000-04-25,1383.8,1383.8,1311.3,1359.4,20.39,3.68,1.78
2000-04-26,1362.5,1439.05,1362.5,1436.1,21.54,3.89,1.73
2000-04-27,1436.15,1455.85,1400.65,1416.9,21.25,3.84,1.75
2000-04-28,1419.9,1438.0,1396.55,1406.5,21.1,3.81,1.77
2000-05-02,1410.0,1421.5,1319.65,1333.4,20.0,3.61,1.86
2000-05-03,1330.15,1342.15,1258.1,1316.0,19.74,3.56,1.91
2000-05-04,1317.95,1385.15,1317.95,1380.5,20.71,3.74,1.82
2000-05-05,1381.9,1428.6,1381.9,1422.4,21.33,3.85,1.77
2000-05-08,1423.25,1436.6,1358.8,1365.0,20.47,3.7,1.74
2000-05-09,1362.45,1385.7,1328.05,1378.5,20.68,3.73,1.72
2000-05-10,1380.4,1391.35,1359.65,1363.1,20.57,3.71,1.74
2000-05-11,1359.1,1359.1,1295.95,1304.5,19.68,3.55,1.81
2000-05-12,1305.3,1326.3,1276.4,1282.8,19.36,3.49,1.84
2000-05-15,1281.3,1311.7,1220.7,1299.2,19.54,3.52,1.82
2000-05-16,1300.2,1310.45,1287.8,1306.8,19.66,3.54,1.81
2000-05-17,1310.8,1347.7,1303.75,1311.6,19.88,3.7,1.79
2000-05-18,1311.3,1316.2,1289.55,1293.4,19.44,3.64,1.81
2000-05-19,1293.45,1293.45,1252.7,1268.0,19.05,3.57,1.85
2000-05-22,1267.85,1267.85,1228.4,1233.0,18.53,3.47,1.89
2000-05-23,1229.25,1230.9,1203.2,1224.4,18.4,3.45,1.91
2000-05-24,1224.5,1246.25,1201.5,1235.9,20.69,4.09,1.8
2000-05-25,1237.0,1269.8,1235.7,1247.6,20.89,4.13,1.79
2000-05-26,1247.1,1278.75,1232.85,1275.3,21.35,4.22,1.75
2000-05-29,1273.7,1317.75,1267.4,1311.0,21.95,4.34,1.5
2000-05-30,1310.8,1347.3,1304.95,1344.8,22.34,4.57,1.47
2000-05-31,1355.35,1410.75,1355.35,1380.4,22.96,4.7,1.43
2000-06-01,1380.4,1380.4,1345.1,1349.0,22.46,4.52,1.46
2000-06-02,1350.15,1395.35,1350.15,1389.2,23.13,4.65,1.42
2000-06-05,1390.95,1461.05,1390.95,1404.6,23.38,4.71,1.39
2000-06-06,1405.45,1426.15,1392.7,1421.7,23.67,4.76,1.38
2000-06-07,1423.4,1442.7,1413.8,1430.3,23.7,4.78,1.39
2000-06-08,1430.5,1468.7,1430.5,1463.6,24.25,4.89,1.36
2000-06-09,1464.3,1485.5,1458.9,1467.2,24.31,4.9,1.36
2000-06-12,1464.4,1477.55,1437.15,1440.4,23.87,4.81,1.36
2000-06-13,1438.8,1438.8,1411.9,1432.9,23.74,4.79,1.36
2000-06-14,1434.95,1459.15,1423.95,1435.5,23.79,4.77,1.38
2000-06-15,1437.0,1452.8,1422.4,1445.2,23.95,4.81,1.37
2000-06-16,1443.15,1480.85,1441.6,1477.3,24.48,4.91,1.34
2000-06-19,1477.55,1510.45,1477.55,1498.7,24.84,4.98,1.27
2000-06-20,1498.0,1518.05,1497.05,1507.1,24.98,5.01,1.26
2000-06-21,1524.05,1539.1,1470.4,1475.1,24.45,4.91,1.29
2000-06-22,1475.65,1491.4,1461.3,1488.2,24.67,4.95,1.28
2000-06-23,1487.85,1499.85,1462.75,1472.2,22.95,4.89,1.29
2000-06-26,1472.15,1472.15,1431.25,1451.6,22.63,4.82,1.23
2000-06-27,1452.8,1467.15,1448.95,1454.3,22.67,4.83,1.23
2000-06-28,1453.7,1474.7,1445.6,1470.0,22.91,4.88,1.27
2000-06-29,1471.35,1505.75,1471.35,1492.3,23.26,4.96,1.25
2000-06-30,1490.2,1490.65,1462.45,1471.4,22.94,4.89,1.26
2000-07-03,1473.45,1498.7,1473.45,1495.2,23.31,4.97,1.09
2000-07-04,1496.15,1516.8,1494.8,1511.3,23.56,5.02,1.08
2000-07-05,1511.5,1530.9,1511.5,1526.0,23.5,4.86,1.11
2000-07-06,1525.15,1525.15,1504.05,1516.8,23.35,4.83,1.11
2000-07-07,1517.0,1528.15,1513.4,1517.6,23.37,4.83,1.11
2000-07-10,1518.15,1523.2,1502.7,1509.6,23.24,4.81,1.08
2000-07-11,1510.55,1523.1,1506.15,1518.5,23.38,4.84,1.08
2000-07-12,1518.7,1537.1,1507.95,1533.3,23.61,4.88,1.07
2000-07-13,1535.55,1564.75,1513.65,1522.6,23.44,4.85,1.08
2000-07-14,1522.2,1534.35,1505.9,1509.7,23.25,4.81,1.09
2000-07-17,1509.25,1512.25,1475.15,1479.6,22.78,4.71,1.06
2000-07-18,1479.3,1482.9,1458.6,1463.1,22.53,4.66,1.07
2000-07-19,1464.55,1468.55,1432.85,1435.8,22.11,4.57,1.09
2000-07-20,1434.95,1443.25,1416.0,1424.2,21.93,4.54,1.1
2000-07-21,1424.9,1435.2,1394.3,1397.2,21.51,4.45,1.12
2000-07-24,1397.05,1397.05,1310.85,1317.7,20.47,4.25,1.17
2000-07-25,1317.35,1363.45,1269.25,1348.9,20.96,4.35,1.14
