Company Name,Industry,Symbol,Series,ISIN Code
AU Small Finance Bank Ltd.,Financial Services,AUBANK,EQ,INE949L01017
Axis Bank Ltd.,Financial Services,AXISBANK,EQ,INE238A01034
Bandhan Bank Ltd.,Financial Services,BANDHANBNK,EQ,INE545U01014
Bank of Baroda,Financial Services,BANKBARODA,EQ,INE028A01039
Federal Bank Ltd.,Financial Services,FEDERALBNK,EQ,INE171A01029
HDFC Bank Ltd.,Financial Services,HDFCBANK,EQ,INE040A01034
ICICI Bank Ltd.,Financial Services,ICICIBANK,EQ,INE090A01021
IDFC First Bank Ltd.,Financial Services,IDFCFIRSTB,EQ,INE092T01019
IndusInd Bank Ltd.,Financial Services,INDUSINDBK,EQ,INE095A01012
Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK,EQ,INE237A01028
Punjab National Bank,Financial Services,PNB,EQ,INE160A01022
State Bank of India,Financial Services,SBIN,EQ,INE062A01020
