Company Name,Industry,Symbol,Series,ISIN Code
Amber Enterprises India Ltd.,Consumer Durables,AMBER,EQ,INE371P01015
Bata India Ltd.,Consumer Durables,BATAINDIA,EQ,INE176A01028
Blue Star Ltd.,Consumer Durables,BLUESTARCO,EQ,INE472A01039
Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,CROMPTON,EQ,INE299U01018
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON,EQ,INE935N01020
Havells India Ltd.,Consumer Durables,HAVELLS,EQ,INE176B01034
Kajaria Ceramics Ltd.,Consumer Durables,KAJARIACER,EQ,INE217B01036
Orient Electric Ltd.,Consumer Durables,ORIENTELEC,EQ,INE142Z01019
Rajesh Exports Ltd.,Consumer Durables,RAJESHEXPO,EQ,INE343B01030
Relaxo Footwears Ltd.,Consumer Durables,RELAXO,EQ,INE131B01039
TTK Prestige Ltd.,Consumer Durables,TTKPRESTIG,EQ,INE690A01028
Titan Company Ltd.,Consumer Durables,TITAN,EQ,INE280A01028
V-Guard Industries Ltd.,Consumer Durables,VGUARD,EQ,INE951I01027
Voltas Ltd.,Consumer Durables,VOLTAS,EQ,INE226A01021
Whirlpool of India Ltd.,Consumer Durables,WHIRLPOOL,EQ,INE716A01013
