Title,Description,Date,Source,Source_Link
MRF posts Rs 509.71 crore consolidated PAT for Q3,"The consolidated total income during the quarter under review went up to Rs 6,240.08 crore, from Rs 5,715.91 crore registered in the same period of last financial year, MRF Ltd said in a BSE filing.","07:13 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=MRF+posts+Rs+509.71+crore+consolidated+PAT+for+Q3&url=https%3A%2F%2Fwww.moneycontrol.com%2Fnews%2Fbusiness%2Fearnings%2Fmrf-posts-rs-509-71-crore-consolidated-pat-for-q3-12236301.html
"Nirma Rs 1,343 crore open offer to buy more stake in Glenmark Life Sciences to start on Feb 15","The opening date (commencement of the tendering period) for the open offer has been fixed on February 15, 2024, and will close on February 29, 2024, as per the letter of offer, the letter said.","07:08 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Nirma+Rs+1%2C343+crore+open+offer+to+buy+more+stake+in+Glenmark+Life+Sciences+to+start+on+Feb+15&url=https%3A%2F%2Fwww.moneycontrol.com%2Fnews%2Fbusiness%2Fnirma-rs-1343-crore-open-offer-to-buy-more-stake-in-glenmark-life-sciences-to-start-on-feb-15-12236201.html
Paytm forms Group Advisory Committee under former Sebi chief Damodaran,"The RBI, on January 31, imposed major business restrictions on Paytm Payments Bank citing prolonged non-compliance to prudential regulations.","07:08 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Paytm+forms+Group+Advisory+Committee+under+former+Sebi+chief+Damodaran&url=https%3A%2F%2Fwww.moneycontrol.com%2Fnews%2Fbusiness%2Fpaytm-forms-group-advisory-committee-under-former-sebi-chief-damodaran-12236271.html
Rane Group announces merger of Rane Brake Lining and Rane Engine Valve into Rane (Madras),RBL shareholders will receive 21 fully paid-up equity shares of RML for every 20 fully paid-up equity shares of RBL held by them as on the record date. REVL shareholders will receive 9 fully paid-up equity shares of RML for 20 fully paid-up equity shares of REVL held by them.,"07:05 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Rane+Group+announces+merger+of+Rane+Brake+Lining+and+Rane+Engine+Valve+into+Rane+%28Madras%29&url=https%3A%2F%2Fwww.moneycontrol.com%2Fnews%2Fbusiness%2Fmarkets%2Frane-group-announces-merger-of-rane-brake-lining-and-rane-engine-valve-into-rane-madras-12236191.html
HUL aims to double ecommerce contribution in the next 5 years: CEO Jawa,"Talking about digital adoption, the HUL CEO said that the focus is on driving growth, reducing costs, and enhancing our capabilities","07:04 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=HUL+aims+to+double+ecommerce+contribution+in+the+next+5+years%3A+CEO+Jawa&url=https%3A%2F%2Fwww.moneycontrol.com%2Fnews%2Fbusiness%2Fmarkets%2Fhul-aims-to-double-ecommerce-contribution-in-the-next-5-years-ceo-jawa-12236181.html
"Mamaearth Q3: Expect slowdown in short-term but will grow ahead of industry in long-term, says CEO Varun Alagh","Overall, about one-third of Honasa’s business comes from offline channels while the remaining comes from online. For Mamaearth, the split is 50:50.","07:04 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Mamaearth+Q3%3A+Expect+slowdown+in+short-term+but+will+grow+ahead+of+industry+in+long-term%2C+says+CEO+Varun+Alagh&url=https%3A%2F%2Fwww.moneycontrol.com%2Fnews%2Ftechnology%2Fmamaearth-q3-expect-slowdown-in-short-term-but-will-grow-ahead-of-industry-in-long-term-says-ceo-varun-alagh-12236211.html
Bandhan Bank Q3 Results: Profit surges 2.5 times YoY to Rs 733 crore,The bank's net interest margin (NIM) for the quarter improved to 7.2% from 6.5% while credit cost eased to 2.5% from 6.4%. Provisions were at Rs 684 crore as compared with Rs 1542 crore.,"06:59 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Bandhan+Bank+Q3+Results%3A+Profit+surges+2.5+times+YoY+to+Rs+733+crore+&url=https%3A%2F%2Feconomictimes.indiatimes.com%2Fmarkets%2Fstocks%2Fearnings%2Fbandhan-bank-q3-results-profit-surges-2-5-times-yoy-to-rs-733-crore%2Farticleshow%2F107560829.cms
ETIG IPO Analysis: Entero Healthcare may Offer Better Value Post Listing,"Incorporated in 2018 and founded by a former chief executive of Alkem Laboratories, Mumbai-based Entero Healthcare Solutions has grown to be among India's top three pharma distribution companies.","06:52 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=ETIG+IPO+Analysis%3A+Entero+Healthcare+may+Offer+Better+Value+Post+Listing+&url=https%3A%2F%2Feconomictimes.indiatimes.com%2Fmarkets%2Fipos%2Ffpos%2Fetig-ipo-analysis-entero-healthcare-may-offer-better-value-post-listing%2Farticleshow%2F107560614.cms
"Andhra CM meets Modi, seeks special category status and clearance of pending projects",Reddy’s visit to the national capital comes days after TDP chief Chandrababu Naidu met Shah and BJP president J P Nadda for talks on possible tie up with the saffron party in Andhra Pradesh for the Lok Sabha and assembly polls in the state.,"06:52 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Andhra+CM+meets+Modi%2C+seeks+special+category+status+and+clearance+of+pending+projects&url=https%3A%2F%2Fwww.moneycontrol.com%2Fnews%2Fbusiness%2Fandhra-cm-meets-modi-seeks-special-category-status-and-clearance-of-pending-projects-12236221.html
Haldwani Riots: shoot-at-sight ordered as demolition of illegal madrasa triggers violent outbreak,"The Haldwani region of Nainital district experienced heightened communal tension on February 9 evening after authorities demolished an illegally constructed madrasa and underground mosque-like structure on government land in the Banbhulpura area. To maintain order, the district administration has enforced a curfew in Banbhulpura, with all access roads barricaded. Additionally, the state government has authorized law enforcement to employ lethal force against any disorderly individuals and to shoot rioters on sight","06:47 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Haldwani+Riots%3A+shoot-at-sight+ordered+as+demolition+of+illegal+madrasa+triggers+violent+outbreak&url=https%3A%2F%2Fwww.moneycontrol.com%2Fnews%2Fvideos%2Findia%2Fhaldwani-riots-shoot-at-sight-ordered-as-demolition-of-illegal-madrasa-triggers-violent-outbreak-12236031.html
"Zydus Lifesciences net profit jumps 27% in Q3FY24, announced buyback","Zydus Lifesciences on Tuesday reported Rs 789.6 crore net profit in Q3FY24, a year-on-year (YoY) jump of 27% led by growth in India, Europe and emerging market formulation sales.","06:45 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Zydus+Lifesciences+net+profit+jumps+27%25+in+Q3FY24%2C+announced+buyback+&url=https%3A%2F%2Feconomictimes.indiatimes.com%2Fmarkets%2Fstocks%2Fearnings%2Fzydus-lifesciences-net-profit-jumps-27-in-q3fy24-announced-buyback%2Farticleshow%2F107560453.cms
"Hyundai picks JP Morgan, Citi and HSBC as advisors for mega IPO of India arm","A potential filing of the draft papers of this mega deal in the works is likely by June 2024 and if the listing plans fructify, it would be the biggest ever IPO on the Indian bourses.","06:39 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Hyundai+picks+JP+Morgan%2C+Citi+and+HSBC+as+advisors+for+mega+IPO+of+India+arm&url=https%3A%2F%2Fwww.moneycontrol.com%2Fnews%2Fbusiness%2Fhyundai-picks-jp-morgan-citi-and-hsbc-as-advisors-for-mega-ipo-of-india-arm-12236111.html
Embraer Defense & Security collaborates with Mahindra for Air Force's transport aircraft procurement project,"As per the pact, Embraer and Mahindra will engage with the Indian Air Force to identify the next steps of the MTA programme, as well as contact the local aerospace industry in India to start developing the industrialization plan for the project, the statement said.","06:39 PM, 09 Feb 2024",Twitter,http://twitter.com/share?text=Embraer+Defense+%26+Security+collaborates+with+Mahindra+for+Air+Force%27s+transport+aircraft+procurement+project&url=https%3A%2F%2Fwww.moneycontrol.com%2Fnews%2Fbusiness%2Fembraer-defense-security-collaborates-with-mahindra-for-air-forces-transport-aircraft-procurement-project-12236051.html
