Unnamed: 0,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Sep 2023
Equity Capital,782,790,795,802,805,1215,1220,1226,1229,1231,1232,1243,1247
Reserves,18010,21498,25467,29934,40852,44126,50180,56724,62800,57774,60167,66351,65996
Borrowings +,89,78,67,53,42,26,18,11,332,329,311,325,335
Other Liabilities +,10107,11652,12901,13407,8333,8849,10963,11837,10874,12246,13382,14343,15316
Total Liabilities,28988,34017,39229,44196,50031,54216,62381,69798,75235,71580,75092,82262,82894
Fixed Assets +,9099,11209,12013,14178,14011,14880,15566,18486,20518,22188,23221,24174,24492
CWIP,2277,1488,2296,2114,2419,3537,5026,3401,2780,3333,2466,1697,1692
Investments,6317,7060,8823,8405,13325,18585,23397,26578,30631,26984,27282,32721,30352
Other Assets +,11296,14260,16097,19498,20277,17213,18393,21332,21307,19075,22123,23670,26357
Total Assets,28988,34017,39229,44196,50031,54216,62381,69798,75235,71580,75092,82262,82894
